games_played_with_card_in_deck,rank_category,dbf_id,card_name
1322,GrindTo15,61,Spiteful Smith
6008,Rank5,622,Stormwind Knight
1371,Rank15,38545,Corrupted Seer
1317,Rank15,38888,Cult Apothecary
2587,Rank15,43277,Bladed Gauntlet
2802,GrindToLegend,914,Shadow Bolt
889,GrindTo15,708,Headcrack
1000,GrindTo10,38832,Scaled Nightmare
2102,Rank10,292,Multi-Shot
87199,Rank5,40409,Potion of Polymorph
7346,Rank10,336,Baron Geddon
12866,GrindTo5,41180,Tortollan Shellraiser
103,Rank15,43489,Toothy Chest
1314,Rank10,43507,Hoarding Dragon
1441,Rank5,804,Mortal Strike
1356,Rank10,41191,Ravenous Pterrordax
461,GrindTo15,40401,Pilfered Power
1778,GrindTo5,45528,Dragon Soul
6015,GrindTo5,43473,Lone Champion
803,GrindTo10,40577,Meanstreet Marshal
212,GrindTo10,1653,Magma Rager
1837,Rank10,38403,"Xaril, Poisoned Mind"
2545,GrindTo5,38517,Nerubian Prophet
7022,Rank5,43486,Dragonslayer
48439,GrindTo15,739,Bluegill Warrior
7665,GrindTo10,41158,Mana Bind
289855,GrindTo15,40596,Aya Blackpaw
6150,GrindTo15,38569,Faceless Shambler
196527,GrindTo15,1243,Unleash the Hounds
449783,GrindTo10,138,Doomsayer
41012,GrindTo10,39481,Kindly Grandmother
62558,GrindToLegend,41263,Bittertide Hydra
73595,Rank15,39169,Babbling Book
81239,Rank10,40465,Patches the Pirate
147950,GrindTo15,41265,Gentle Megasaur
34835,GrindTo15,763,Defender of Argus
202252,Rank15,748,Kirin Tor Mage
340638,GrindTo15,45340,Prince Keleseth
304224,GrindTo10,1662,Eaglehorn Bow
34486,GrindTo15,158,Secretkeeper
22694,GrindTo15,38758,"Ragnaros, Lightlord"
33156,Rank15,43423,Scourgelord Garrosh
1577,Rank15,40364,Public Defender
8454,Rank15,38795,Doomcaller
109693,GrindTo10,39350,Enchanted Raven
64533,Rank15,1261,Savannah Highmane
38628,Rank15,42711,Bearshark
238430,GrindTo10,41176,Radiant Elemental
295222,GrindTo5,985,Dire Wolf Alpha
1464,GrindTo15,1026,Commanding Shout
42838,GrindTo5,9,Prophet Velen
12254,GrindTo15,281,Argent Commander
31117,GrindTo15,43506,Sindragosa
66707,GrindTo5,39442,Priest of the Feast
60350,Rank10,1014,Wild Pyromancer
208909,GrindTo15,43288,Lesser Jasper Spellstone
77631,GrindTo15,46263,Val'anyr
450967,GrindTo5,748,Kirin Tor Mage
101951,Rank15,974,Soulfire
142750,GrindTo5,43357,Flanking Strike
108165,Rank10,39941,Barnes
13082,GrindTo15,1091,Misdirection
61483,Rank10,38433,Shadow Word: Horror
89026,Rank5,40936,Pint-Size Potion
61127,Rank15,268,Cold Blood
98168,Rank5,1186,Ysera
18793,Rank5,40408,Kazakus
10307,Rank5,41081,Earthen Scales
42193,Legend,1158,Preparation
9190,Rank15,38377,On the Hunt
26857,Rank15,38727,Call of the Wild
122160,Rank10,42395,Saronite Chain Gang
8490,GrindTo15,42563,Professor Putricide
27121,Rank15,38505,"Yogg-Saron, Hope's End"
484236,GrindTo10,38745,Rallying Blade
228606,GrindToLegend,41912,Lost in the Jungle
7420,Legend,680,Southsea Captain
401062,GrindTo15,46551,Spiteful Summoner
171177,GrindTo5,43515,Corridor Creeper
37412,GrindTo10,510,Grimscale Oracle
148791,Rank5,1063,Murloc Warleader
35832,GrindTo5,742,Savage Roar
20577,Legend,268,Cold Blood
16452,GrindTo10,38920,Bloodsail Cultist
724144,GrindTo10,950,Hellfire
7245,GrindTo15,1371,Stampeding Kodo
21476,Rank5,40397,Mark of the Lotus
21890,GrindToLegend,40426,Alleycat
351606,GrindToLegend,45899,Duskbreaker
276435,GrindTo5,46032,Grand Archivist
2109,Legend,308,Gnomish Inventor
225870,GrindToLegend,1100,Siphon Soul
480414,GrindToLegend,41566,Mistress of Mixtures
189379,Rank5,8,Mind Control
251819,GrindToLegend,45195,Carnivorous Cube
74312,GrindToLegend,38452,Darkshire Councilman
62135,Rank5,95,Nourish
427224,GrindTo10,531,Faceless Manipulator
29894,GrindTo5,734,Mind Control Tech
21719,Rank10,46103,Tainted Zealot
74837,GrindTo5,43392,Valeera the Hollow
20415,GrindTo10,42525,Venomstrike Trap
122239,Legend,46460,Twilight Acolyte
1372,GrindTo15,38456,Spreading Madness
8806,Legend,38718,Mire Keeper
3141,Rank10,42698,Mountainfire Armor
5778,GrindToLegend,254,Innervate
12158,GrindTo5,46031,Drywhisker Armorer
8779,Rank10,39380,Silverware Golem
18290,Legend,43419,Frost Lich Jaina
1371,GrindTo10,39313,Violet Illusionist
13334,GrindTo15,42633,Archbishop Benedictus
76471,GrindTo10,443,Hungry Crab
80177,GrindTo5,904,Eviscerate
132,Rank5,40493,Blowgill Sniper
4486,GrindTo10,45321,Sanguine Reveler
2991,GrindTo15,38461,Renounce Darkness
11308,GrindTo15,40940,Kabal Trafficker
3472,Rank15,641,Young Dragonhawk
3276,GrindTo15,352,Doomhammer
17140,GrindTo10,38868,Twilight Elder
595,Rank10,42783,Happy Ghoul
14885,Rank5,41105,Primalfin Totem
87741,Rank10,756,Equality
6851,GrindToLegend,420,Cairne Bloodhoof
274,Rank5,38262,Primal Fusion
10678,GrindToLegend,636,Whirlwind
3405,GrindToLegend,41180,Tortollan Shellraiser
686,Rank15,39839,Zoobot
28990,GrindToLegend,46499,Dragoncaller Alanna
6199,GrindTo15,41120,Volcanosaur
13706,GrindTo15,630,Sprint
12731,GrindTo10,38863,C'Thun's Chosen
183,GrindTo5,903,Bestial Wrath
1772,GrindTo15,40381,Mana Geode
4645,GrindTo10,404,Ancestral Spirit
18367,GrindTo10,38547,Disciple of C'Thun
1035,GrindToLegend,601,Keeper of the Grove
28266,Rank10,513,Mana Tide Totem
407,GrindToLegend,605,Ancient Watcher
762,GrindTo15,1653,Magma Rager
13744,Rank15,45287,Silver Vanguard
1013,Rank5,1656,The Black Knight
6390,Rank15,238,Feral Spirit
6312,Rank15,43322,Crushing Hand
21087,GrindTo5,38727,Call of the Wild
4744,GrindTo10,41875,Chittering Tunneler
19793,Rank5,42766,Dead Man's Hand
859,GrindToLegend,38263,Flamewreathed Faceless
21837,Rank5,45539,Lynessa Sunsorrow
6703,Rank5,336,Baron Geddon
2689,GrindTo5,38538,Bilefin Tidehunter
3480,Rank15,39714,Moonglade Portal
950,GrindTo15,43269,Kobold Barbarian
320,GrindTo15,38944,"Hogger, Doom of Elwynn"
4444,GrindTo10,41873,Lakkari Felhound
2722,Rank15,41218,"Sherazin, Corpse Flower"
4745,GrindTo15,42909,Corpse Raiser
3791,Rank15,643,Sword of Justice
1324,Rank15,41499,Unite the Murlocs
753,GrindTo15,12,Mana Addict
2504,GrindTo15,38391,Bladed Cultist
559,Rank15,41874,Feeding Time
718,GrindTo15,38468,"Mukla, Tyrant of the Vale"
2463,GrindTo10,41086,Elder Longneck
428,GrindTo10,37,Pint-Sized Summoner
2773,GrindTo10,348,Dark Iron Dwarf
10947,Rank15,46088,Rummaging Kobold
739,Rank15,41324,Stegodon
2343,Rank15,42469,Dark Conviction
20023,Rank10,41212,Mimic Pod
3242,Rank10,220,Shadow Madness
427,GrindTo5,39839,Zoobot
