games_played_with_card_in_deck,rank_category,dbf_id,card_name
943,Rank15,41872,Bloodbloom
188416,GrindTo10,45537,Candleshot
177494,GrindTo15,43359,Wandering Monster
408149,GrindTo10,41177,Curious Glimmerroot
10283,Legend,279,Holy Smite
38387,GrindTo15,43494,Sleepy Dragon
216564,Rank5,41169,Shadow Visions
158409,GrindToLegend,42818,The Lich King
166376,GrindToLegend,38312,"Y'Shaarj, Rage Unbound"
141398,GrindTo10,45833,Crystal Lion
194670,GrindTo10,40409,Potion of Polymorph
18304,Rank5,636,Whirlwind
155097,Rank15,43417,Malfurion the Pestilent
81330,Rank10,306,Edwin VanCleef
264370,GrindTo10,461,Sap
38642,Rank5,45828,Oaken Summons
125227,Rank15,1117,SI:7 Agent
170221,GrindToLegend,943,Blessing of Kings
69209,Rank15,41912,Lost in the Jungle
98344,GrindTo5,43294,Branching Paths
204415,GrindTo5,46007,Drygulch Jailor
2750,Legend,42773,Acherus Veteran
492667,GrindToLegend,679,Divine Favor
74675,GrindTo10,46263,Val'anyr
3666,Rank15,42328,Skelemancer
40865,GrindTo15,45877,Level Up!
28162,GrindToLegend,459,Deadly Poison
141329,Rank10,906,Acidic Swamp Ooze
111132,GrindTo5,1117,SI:7 Agent
6693,Rank5,40803,"Finja, the Flying Star"
95308,Rank15,41245,Rockpool Hunter
122799,Rank5,41912,Lost in the Jungle
124412,Legend,41145,Sunkeeper Tarim
13668,GrindToLegend,503,Power of the Wild
2267,GrindTo10,46087,Fungal Enchanter
274136,Rank5,45899,Duskbreaker
14439,Legend,64,Swipe
84600,Rank10,48,Voidwalker
40660,Rank10,43284,Ironwood Golem
132979,Rank10,42574,Shadow Ascendant
2714,Rank10,1007,Heroic Strike
330471,Rank5,41566,Mistress of Mixtures
19071,GrindToLegend,40416,Kun the Forgotten King
20031,GrindTo15,41406,Cornered Sentry
5756,Rank10,45859,"Ixlid, Fungal Lord"
61647,Rank10,41111,Glacial Shard
165862,GrindTo5,45341,Prince Taldaram
95325,Rank10,40929,Kabal Songstealer
307538,GrindTo5,859,Twisting Nether
135511,Legend,43272,Lesser Amethyst Spellstone
108927,GrindToLegend,376,Inner Fire
52368,Rank5,40529,Jade Claws
1304,Rank10,864,Lava Burst
258979,Rank5,38496,"N'Zoth, the Corruptor"
1583,Rank15,41400,Explore Un'Goro
2590,GrindTo5,38263,Flamewreathed Faceless
69907,GrindTo5,43237,Cavern Shinyfinder
4710,GrindTo15,672,Kobold Geomancer
5878,Rank15,42791,Nerubian Unraveler
3659,Rank15,42615,Fatespinner
203464,GrindTo5,38843,Stand Against Darkness
1489,GrindTo10,1372,Molten Giant
10760,Rank15,41304,Terrorscale Stalker
25892,GrindTo10,41173,Crystalline Oracle
22521,GrindTo10,763,Defender of Argus
43608,GrindTo10,46303,Unstable Evolution
16924,GrindTo5,420,Cairne Bloodhoof
178592,GrindTo10,41878,Meteor
34158,Rank15,41935,Elise the Trailblazer
8601,Rank5,41096,Bright-Eyed Scout
28167,GrindToLegend,40954,Burgly Bully
121423,GrindTo5,42670,Gnomeferatu
4362,Rank10,46069,Guild Recruiter
1363,Rank10,643,Sword of Justice
17863,Rank15,1373,Blessing of Wisdom
2311,Rank15,41925,Humongous Razorleaf
1867,GrindTo5,394,Explosive Shot
22911,Rank15,45775,Unidentified Shield
10408,Rank15,38876,Shadowcaster
2193,GrindTo5,42596,Acolyte of Agony
4680,Rank15,394,Explosive Shot
12431,Rank15,41155,Mirage Caller
13005,Rank15,41260,Fire Plume Phoenix
3373,GrindTo5,38876,Shadowcaster
6686,GrindTo15,823,Starfire
5142,GrindTo5,41099,Jungle Giants
1958,GrindTo15,38961,Polluted Hoarder
3089,GrindTo15,151,Mark of Nature
12292,Rank10,38943,"Deathwing, Dragonlord"
3216,GrindTo10,41194,Tar Lurker
4852,Rank15,345,Assassinate
2869,Rank10,38578,Shadow Strike
1192,GrindTo15,40911,Hired Gun
5094,GrindTo10,43276,Greater Amethyst Spellstone
514,Rank10,40684,Trogg Beastrager
3598,GrindTo15,40474,Grimestreet Informant
4992,Rank5,189,Fire Elemental
3706,GrindTo15,41116,Stone Sentinel
995,GrindTo10,43485,Green Jelly
8124,GrindTo10,43486,Dragonslayer
10065,Rank15,41479,Hot Spring Guardian
2219,Rank10,42563,Professor Putricide
4920,Rank15,42750,Drakkari Defender
1427,Rank15,774,Unbound Elemental
3515,GrindTo5,41155,Mirage Caller
8505,GrindToLegend,46031,Drywhisker Armorer
2069,Legend,1167,Aldor Peacekeeper
3365,GrindTo10,1019,Dread Infernal
1204,GrindTo10,41368,The Marsh Queen
167,Rank10,42760,Glacial Mysteries
2997,GrindTo10,43474,Stoneskin Basilisk
14650,Rank5,41410,Servant of Kalimos
12637,GrindToLegend,41928,Blazecaller
428,Rank15,45377,Hyldnir Frostrider
308,GrindTo15,40492,Backstreet Leper
1266,GrindTo10,46286,Cataclysm
3517,Rank10,281,Argent Commander
411,Rank15,618,Dust Devil
3147,GrindTo15,642,Scarlet Crusader
17376,Rank15,469,Blood Imp
5474,GrindTo5,42791,Nerubian Unraveler
1321,Rank15,381,Soul of the Forest
2912,Rank15,45547,Feral Gibberer
234,Rank10,38739,Malkorok
708,Rank15,39207,Pantry Spider
2007,GrindTo15,42438,Grim Necromancer
1016,GrindTo10,759,Sunwalker
889,GrindToLegend,38538,Bilefin Tidehunter
427,GrindTo15,339,Ironforge Rifleman
796,GrindTo15,43031,Lilian Voss
2642,GrindTo5,39034,Shifting Shade
165,GrindTo10,42440,Sunborne Val'kyr
433,Rank15,727,Hand of Protection
4036,GrindTo5,45338,Shadowblade
1766,GrindTo10,41881,Tar Lord
1427,GrindToLegend,395,Water Elemental
378,Rank15,971,Frost Shock
21031,Rank10,158,Secretkeeper
342694,GrindTo15,749,Bloodmage Thalnos
39783,GrindTo10,39426,Arcane Giant
80217,GrindTo15,1008,Flametongue Totem
97301,GrindToLegend,1016,Coldlight Oracle
7507,Rank10,401,Fiery War Axe
316822,GrindTo15,296,Kill Command
145659,GrindTo15,757,Argent Squire
391197,GrindTo10,42395,Saronite Chain Gang
27721,GrindTo15,42718,Ghastly Conjurer
598257,GrindTo15,42790,Bonemare
14072,Rank15,28,Kor'kron Elite
10460,Legend,43193,Simulacrum
12255,Rank15,336,Baron Geddon
223647,GrindTo15,43408,Shadowreaper Anduin
153840,GrindTo15,1093,Deadly Shot
154232,GrindTo15,1047,Tracking
134670,Rank15,1087,Pyroblast
100098,GrindTo15,476,Consecration
436657,GrindTo15,42784,Skulking Geist
183288,Rank15,40373,Potion of Madness
152650,GrindTo15,39740,Malchezaar's Imp
141854,Rank15,724,Southsea Deckhand
20374,GrindToLegend,621,Ice Barrier
70723,Rank15,40936,Pint-Size Potion
53196,Rank15,40397,Mark of the Lotus
8251,Legend,9,Prophet Velen
77412,Rank15,40527,Jade Spirit
10662,Rank5,41170,Binding Heal
265710,GrindTo10,43417,Malfurion the Pestilent
129234,GrindTo10,41247,Vicious Fledgling
92219,GrindTo15,896,Flare
107926,Legend,40373,Potion of Madness
100254,GrindTo5,46307,Lesser Diamond Spellstone
36924,Rank5,39442,Priest of the Feast
99144,Rank15,43357,Flanking Strike
212127,GrindTo5,40938,Dragonfire Potion
45224,GrindTo5,40408,Kazakus
49582,Rank5,43369,Rhok'delar
13209,Legend,43515,Corridor Creeper
364098,GrindToLegend,1650,Northshire Cleric
19838,Rank15,596,Armorsmith
112860,GrindTo5,95,Nourish
50674,GrindToLegend,40437,Counterfeit Coin
37481,GrindTo10,546,Shield Slam
46572,GrindToLegend,40372,Jade Idol
63115,Rank5,519,Freezing Trap
117660,GrindTo15,43121,Vulgar Homunculus
81652,Rank10,41217,Vilespine Slayer
583646,GrindTo5,43384,Call to Arms
11886,Legend,724,Southsea Deckhand
86130,GrindToLegend,45531,Elven Minstrel
17062,Legend,45340,Prince Keleseth
152537,GrindTo10,45707,Dire Mole
6105,GrindTo15,40486,White Eyes
283252,GrindTo10,40531,Grimscale Chum
31563,Rank5,39350,Enchanted Raven
46396,GrindTo5,40397,Mark of the Lotus
205775,Rank5,45782,Unidentified Maul
10066,GrindTo15,289,Wolfrider
299166,Rank15,40378,Drakonid Operative
4474,GrindToLegend,997,Bloodsail Corsair
17838,GrindTo5,41081,Earthen Scales
16757,Rank5,742,Savage Roar
19374,Rank10,38337,Mark of Y'Shaarj
300343,GrindToLegend,1037,Twilight Drake
244584,Rank10,45820,Possessed Lackey
25054,Legend,48,Voidwalker
20516,Rank15,46449,Master Oakheart
12552,GrindTo15,505,Lightning Bolt
278428,GrindTo10,45930,Plated Beetle
16374,Legend,42665,Leeching Poison
134028,Rank15,38825,Southsea Squidface
16018,Legend,42801,Doomerang
11627,GrindTo15,45309,Drakkari Enchanter
16346,GrindTo15,45859,"Ixlid, Fungal Lord"
5497,Legend,43284,Ironwood Golem
59051,Rank10,43294,Branching Paths
39124,Legend,40929,Kabal Songstealer
43810,Rank5,41683,Gluttonous Ooze
17018,GrindTo10,42998,Forge of Souls
34080,Rank10,1003,Houndmaster
125234,Rank10,1100,Siphon Soul
470177,GrindTo10,46299,Skull of the Man'ari
130253,Rank10,993,Mountain Giant
26620,Rank15,45353,Twilight's Call
4270,Rank15,38403,"Xaril, Poisoned Mind"
4864,GrindTo15,38740,Selfless Hero
2302,Rank5,791,Questing Adventurer
12899,GrindTo15,46296,Lesser Onyx Spellstone
8801,GrindTo15,755,Blood Knight
22336,Rank15,45539,Lynessa Sunsorrow
74583,Rank5,443,Hungry Crab
2903,Rank5,1029,Violet Teacher
256,Rank15,45777,Sacred Maul
8827,GrindTo10,40574,Alley Armorsmith
29083,GrindTo15,43526,Violet Wurm
2367,GrindTo10,39119,Soggoth the Slitherer
63169,Rank5,45271,Dragon's Fury
76562,Rank10,581,Alexstrasza
49140,GrindToLegend,1004,Flamestrike
20991,GrindTo5,41105,Primalfin Totem
9636,GrindTo5,46454,The Darkness
13101,Legend,38825,Southsea Squidface
2688,Legend,45353,Twilight's Call
23031,GrindTo5,45995,"Grumble, Worldshaker"
915,Rank15,42777,Fallen Sun Cleric
32150,GrindTo5,43373,Potion of Heroism
1168,Rank15,1241,Starving Buzzard
13375,GrindTo10,41406,Cornered Sentry
11039,Rank10,40496,Kabal Courier
2548,Rank5,914,Shadow Bolt
2517,Rank15,886,Lightspawn
795,GrindTo10,39207,Pantry Spider
83541,Rank5,376,Inner Fire
35013,GrindTo10,46067,Healing Rain
2652,Legend,38943,"Deathwing, Dragonlord"
821,Rank5,41242,Giant Mastodon
56483,Rank10,42598,Obsidian Statue
1364,GrindTo10,39696,Menagerie Warden
3189,Rank10,39026,Undercity Huckster
2147,Rank5,40537,Krul the Unshackled
5278,Rank10,38859,Beckoner of Evil
1848,GrindTo15,391,Perdition's Blade
12319,Rank10,41286,Charged Devilsaur
4046,Rank10,38876,Shadowcaster
8305,Rank10,41494,Awaken the Makers
1692,Rank15,635,Sen'jin Shieldmasta
10593,GrindTo15,40839,I Know a Guy
285,GrindToLegend,43277,Bladed Gauntlet
18424,Rank15,41259,Devilsaur Egg
25101,Rank5,42700,Blood Razor
8555,Rank10,46026,Reckless Flurry
8249,Rank15,818,Far Sight
59556,Rank10,38843,Stand Against Darkness
1246,GrindTo10,43289,Jasper Spellstone
3072,Rank15,41357,Raptor Hatchling
3151,GrindTo15,38832,Scaled Nightmare
398,Rank5,40742,Lotus Agents
880,GrindTo15,765,Thrallmar Farseer
304,Rank15,39694,Spirit Claws
5755,Rank15,38666,Forbidden Healing
10405,GrindTo10,41479,Hot Spring Guardian
4655,Rank15,43507,Hoarding Dragon
2346,GrindTo15,351,Master Swordsmith
834,Rank15,46440,Windshear Stormcaller
324,Rank15,39417,Fool's Bane
63913,GrindToLegend,1142,Demonfire
1338,Rank15,38265,Eternal Sentinel
1226,Rank15,41404,Ornery Direhorn
2443,GrindTo5,45519,Lesser Mithril Spellstone
4550,Rank10,45338,Shadowblade
665,Rank5,46544,Temporus
1131,GrindTo10,40679,Smuggler's Crate
418,Rank10,45314,Mindbreaker
825,GrindTo15,38463,Anomalus
472,GrindTo10,38961,Polluted Hoarder
4064,Rank10,39034,Shifting Shade
2487,Rank10,38528,Corrupted Healbot
3053,Rank10,42658,Drain Soul
226806,Rank15,559,Leeroy Jenkins
58723,GrindTo5,40889,Naga Corsair
5776,GrindTo5,999,Bloodsail Raider
57784,Rank10,724,Southsea Deckhand
321972,GrindTo10,749,Bloodmage Thalnos
492240,GrindTo15,555,Arcane Intellect
18867,GrindTo15,41479,Hot Spring Guardian
202442,GrindTo15,251,Loot Hoarder
2562,GrindTo15,39207,Pantry Spider
168236,Rank15,613,Power Word: Shield
69083,Rank15,40426,Alleycat
287286,GrindTo5,559,Leeroy Jenkins
394596,GrindTo15,42395,Saronite Chain Gang
8261,Legend,513,Mana Tide Totem
227570,Rank10,192,Ice Block
116535,GrindTo15,756,Equality
34804,GrindTo10,42718,Ghastly Conjurer
31577,Rank5,621,Ice Barrier
83028,Rank15,38452,Darkshire Councilman
636381,GrindTo5,43415,Bloodreaver Gul'dan
454287,GrindTo10,42790,Bonemare
23493,Rank10,9,Prophet Velen
200278,Rank15,859,Twisting Nether
21056,GrindTo10,38758,"Ragnaros, Lightlord"
244380,GrindTo10,43408,Shadowreaper Anduin
24379,Rank15,254,Innervate
12544,GrindToLegend,41170,Binding Heal
69803,Rank15,912,Harrison Jones
2297,GrindTo15,1050,Claw
48681,GrindTo5,40426,Alleycat
38689,GrindTo15,45988,Marin the Fox
112890,GrindTo10,41358,Crackling Razormaw
25917,Rank15,420,Cairne Bloodhoof
13309,GrindTo5,254,Innervate
183833,GrindTo5,613,Power Word: Shield
450049,GrindTo5,40583,Kabal Crystal Runner
511210,GrindTo5,39715,Firelands Portal
133451,GrindTo10,1093,Deadly Shot
55882,GrindToLegend,39442,Priest of the Feast
41954,Rank15,195,Mirror Entity
83246,GrindToLegend,42804,Shadow Essence
81578,Rank10,974,Soulfire
161644,GrindTo10,41111,Glacial Shard
31261,Legend,39160,Cat Trick
72577,Rank15,42670,Gnomeferatu
10069,Rank15,38263,Flamewreathed Faceless
165045,Rank5,1016,Coldlight Oracle
184839,GrindTo15,45707,Dire Mole
23467,GrindTo5,436,Malygos
63116,GrindToLegend,43369,Rhok'delar
210912,Rank5,405,Mana Wyrm
26552,GrindTo15,40696,Gadgetzan Ferryman
64635,Rank5,40437,Counterfeit Coin
39010,Rank10,39169,Babbling Book
75839,Rank15,43228,Fal'dorei Strider
21027,GrindTo15,46077,Woecleaver
288639,Rank5,1650,Northshire Cleric
53951,GrindTo15,546,Shield Slam
97501,Rank10,45340,Prince Keleseth
10756,Rank10,42439,Bone Drake
111523,Rank10,43515,Corridor Creeper
402486,GrindToLegend,45782,Unidentified Maul
104626,GrindTo5,912,Harrison Jones
38902,Legend,180,Backstab
1773,Legend,510,Grimscale Oracle
305064,GrindTo5,41245,Rockpool Hunter
3451,Legend,38337,Mark of Y'Shaarj
144298,Rank15,43237,Cavern Shinyfinder
8814,Rank5,847,Truesilver Champion
149262,Rank5,41567,Dirty Rat
73342,GrindTo5,43228,Fal'dorei Strider
30446,GrindTo15,42652,Play Dead
5610,Rank5,997,Bloodsail Corsair
13097,GrindToLegend,41094,Living Mana
696385,GrindTo10,43128,Dark Pact
150451,GrindToLegend,46032,Grand Archivist
469202,GrindTo5,39554,Netherspite Historian
69577,Rank15,46499,Dragoncaller Alanna
15852,Legend,38452,Darkshire Councilman
35519,Rank10,1261,Savannah Highmane
235040,Rank5,1037,Twilight Drake
9038,Rank15,511,Upgrade!
23026,GrindToLegend,1064,Blade Flurry
27291,Rank15,41180,Tortollan Shellraiser
137954,Legend,950,Hellfire
25778,GrindTo15,46442,Geosculptor Yip
136362,Rank5,45531,Elven Minstrel
35823,Legend,1662,Eaglehorn Bow
19910,GrindTo10,41331,"Kalimos, Primal Lord"
64153,Legend,993,Mountain Giant
20168,Legend,42759,Ultimate Infestation
54031,GrindToLegend,1124,Wild Growth
136563,Legend,45820,Possessed Lackey
654,GrindTo15,39477,Nightbane Templar
5404,GrindTo15,41425,King Mosh
15391,GrindTo5,1074,Slam
7102,GrindTo10,38738,Bloodhoof Brave
72502,Rank10,42665,Leeching Poison
9569,Rank10,596,Armorsmith
66633,GrindToLegend,519,Freezing Trap
6397,Rank5,654,Frothing Berserker
52329,Rank5,39210,Book Wyrm
5418,GrindTo15,42327,Phantom Freebooter
11284,GrindTo15,220,Shadow Madness
709,GrindTo5,39468,Purify
6005,GrindTo15,38958,Crazed Worshipper
70664,Rank5,1004,Flamestrike
218,Legend,45979,Psionic Probe
3739,GrindTo10,38569,Faceless Shambler
183,Rank10,855,Millhouse Manastorm
10081,Rank10,43505,Bring It On!
4363,GrindTo15,39696,Menagerie Warden
23409,GrindTo15,40567,Grimestreet Outfitter
18885,Rank5,45535,Evasion
30630,Rank15,39225,The Curator
81009,GrindToLegend,40391,Crystalweaver
11602,GrindTo10,45309,Drakkari Enchanter
25782,GrindTo5,41935,Elise the Trailblazer
5039,Rank15,43028,Plague Scientist
5073,Rank15,1099,Mind Vision
7050,GrindTo10,41478,Primalfin Lookout
3182,GrindTo10,38740,Selfless Hero
263,GrindTo15,38304,Silithid Swarmer
7045,GrindTo15,38329,Infest
33457,GrindTo5,41159,Volcano
16115,Rank15,43414,Lesser Ruby Spellstone
9483,Rank15,46445,Seeping Oozeling
152819,GrindTo5,43398,Deathstalker Rexxar
12812,GrindToLegend,41414,Sleep with the Fishes
2086,Rank15,45392,"Bolvar, Fireblood"
1212,GrindTo15,40411,Greater Arcane Missiles
448,Rank10,41120,Volcanosaur
5735,GrindTo10,46305,The Runespear
3757,Rank10,38666,Forbidden Healing
814,Rank10,1026,Commanding Shout
461,GrindTo10,41152,Air Elemental
14102,Rank10,38727,Call of the Wild
100704,GrindToLegend,443,Hungry Crab
1963,Rank5,45528,Dragon Soul
8584,Rank10,338,Grommash Hellscream
414,Rank10,39215,Arcane Anomaly
249,GrindTo15,45771,Serrated Shield
1909,GrindTo10,40684,Trogg Beastrager
5380,GrindTo15,496,Frostwolf Warlord
719,GrindTo15,38669,Validated Doomsayer
8446,Rank15,976,Murloc Tidehunter
2005,GrindTo15,922,Goldshire Footman
4295,GrindTo15,285,Cruel Taskmaster
4465,GrindTo10,45529,Sudden Betrayal
36321,Rank15,41945,Lightfused Stegodon
4531,GrindTo10,38393,Journey Below
10978,GrindTo10,38439,Embrace the Shadow
1789,GrindTo5,804,Mortal Strike
11337,GrindTo5,622,Stormwind Knight
3496,GrindTo10,40486,White Eyes
1591,GrindToLegend,40957,Blastcrystal Potion
3813,GrindTo15,40295,Grimestreet Protector
2969,Rank15,601,Keeper of the Grove
138824,GrindTo15,41263,Bittertide Hydra
139367,GrindTo10,39698,Swashburglar
66472,GrindTo15,41410,Servant of Kalimos
255051,GrindTo15,1073,Knife Juggler
9106,Rank5,878,Dread Corsair
250714,Rank5,41496,Primordial Glyph
11891,GrindTo15,43028,Plague Scientist
20984,Rank15,42011,Hallucination
51978,GrindTo15,636,Whirlwind
26593,Rank10,40408,Kazakus
97272,Rank15,43398,Deathstalker Rexxar
104617,GrindTo10,476,Consecration
56168,GrindTo15,43406,Uther of the Ebon Blade
337223,GrindTo10,40373,Potion of Madness
31321,Rank5,42992,Spirit Lash
196957,GrindTo10,1047,Tracking
417860,Rank15,43415,Bloodreaver Gul'dan
104073,GrindTo15,40437,Counterfeit Coin
207366,Rank10,315,Fireball
420546,GrindTo15,45531,Elven Minstrel
119480,Rank5,1363,Shadow Word: Death
487360,GrindTo15,45899,Duskbreaker
94441,Rank15,43483,Arcane Tyrant
289485,Rank15,39715,Firelands Portal
198902,Rank15,40583,Kabal Crystal Runner
17701,GrindToLegend,237,Auchenai Soulpriest
76040,Rank15,1366,Mass Dispel
17085,Rank10,42711,Bearshark
60420,GrindTo15,46541,Leyline Manipulator
90432,GrindTo5,1093,Deadly Shot
74385,Rank5,306,Edwin VanCleef
124484,GrindTo15,41912,Lost in the Jungle
63622,Legend,39767,Medivh's Valet
21413,Legend,42598,Obsidian Statue
354037,Rank15,42471,Defile
18208,GrindTo15,46107,Twig of the World Tree
18844,GrindTo10,43463,Wax Elemental
599855,GrindTo15,41566,Mistress of Mixtures
108509,GrindTo5,42656,Spreading Plague
64263,Rank10,40936,Pint-Size Potion
241351,GrindTo10,48,Voidwalker
130915,GrindTo10,43121,Vulgar Homunculus
499015,GrindToLegend,38745,Rallying Blade
23148,Rank10,45263,Sonya Shadowdancer
277170,GrindToLegend,1063,Murloc Warleader
4652,GrindToLegend,38914,N'Zoth's First Mate
255913,Rank5,631,Doomguard
328132,GrindTo15,1100,Siphon Soul
11772,Rank5,43025,Crypt Lord
110937,Rank5,437,Animal Companion
215852,Rank15,41243,Stonehill Defender
239405,GrindToLegend,8,Mind Control
164090,Rank5,41139,Hydrologist
83510,GrindToLegend,42597,Eternal Servitude
159220,GrindTo10,459,Deadly Poison
171895,Rank5,46551,Spiteful Summoner
13336,Rank10,45520,Cheat Death
24158,Legend,41217,Vilespine Slayer
16721,GrindTo15,43420,Shifting Scroll
2280,Legend,41099,Jungle Giants
260125,GrindTo10,40929,Kabal Songstealer
4451,GrindTo10,505,Lightning Bolt
45898,Rank10,268,Cold Blood
11756,GrindTo10,45859,"Ixlid, Fungal Lord"
14995,GrindTo10,45594,Cursed Disciple
2878,Rank15,43275,Amethyst Spellstone
15371,Legend,40889,Naga Corsair
12835,Legend,43294,Branching Paths
18919,GrindTo10,395,Water Elemental
10975,GrindTo15,811,Cult Master
4519,GrindTo15,38409,Twilight Flamecaller
48693,Rank5,43288,Lesser Jasper Spellstone
39433,Rank15,45945,Greedy Sprite
3795,GrindTo5,43127,Chillblade Champion
6070,GrindTo15,38833,Twilight Summoner
43830,GrindToLegend,41929,Primordial Drake
4096,GrindTo15,605,Ancient Watcher
86525,Rank10,196,Vanish
126684,GrindTo5,77,Polymorph
4444,GrindTo10,1634,Young Priestess
13811,Rank10,38505,"Yogg-Saron, Hope's End"
945,Legend,41494,Awaken the Makers
66254,Rank10,38825,Southsea Squidface
7963,GrindTo15,43022,Strongshell Scavenger
3254,Legend,834,Deathwing
7501,Rank10,42642,Howlfiend
20801,GrindToLegend,456,Captain Greenskin
5778,Rank5,763,Defender of Argus
1651,GrindTo15,43528,Gravelsnout Knight
5602,GrindToLegend,1365,Holy Fire
299,GrindTo15,41261,Emerald Hive Queen
2160,GrindTo15,39190,Wicked Witchdoctor
2609,Rank5,46495,Gilded Gargoyle
4505,Legend,195,Mirror Entity
762,Legend,511,Upgrade!
1273,Legend,401,Fiery War Axe
24329,GrindTo5,39225,The Curator
16277,GrindToLegend,38267,Thing from Below
3386,GrindTo15,1364,Temple Enforcer
13468,GrindToLegend,42700,Blood Razor
33425,GrindToLegend,609,Faerie Dragon
6618,GrindTo10,281,Argent Commander
4240,GrindTo10,430,Cone of Cold
18437,Rank10,43423,Scourgelord Garrosh
5989,GrindTo5,45759,Unidentified Elixir
2230,Rank5,630,Sprint
4110,GrindTo10,41191,Ravenous Pterrordax
12774,GrindToLegend,1023,Shield Block
4707,GrindTo5,46445,Seeping Oozeling
7067,Rank15,45366,Arfus
2941,Rank15,286,Vaporize
2305,Rank15,39468,Purify
323,Rank5,39747,Ironforge Portal
2668,Rank10,41926,Igneous Elemental
1152,Rank15,512,Frost Elemental
3599,GrindToLegend,467,Moonfire
1128,GrindTo15,42735,Light's Sorrow
1439,GrindTo10,352,Doomhammer
923,GrindTo10,38391,Bladed Cultist
2147,Rank10,238,Feral Spirit
1229,Rank15,42948,Howling Commander
512,GrindTo10,391,Perdition's Blade
2003,GrindTo10,38408,Evolved Kobold
5208,Rank15,42822,Corpse Widow
11550,GrindTo10,755,Blood Knight
1020,Rank10,39714,Moonglade Portal
359,Rank15,42462,Arrogant Crusader
599,Rank10,41521,Tidal Surge
553,Rank10,46118,Shrieking Shroom
32398,GrindTo10,43526,Violet Wurm
662,GrindTo10,41138,Sated Threshadon
2546,Rank10,45519,Lesser Mithril Spellstone
3667,Rank15,777,Lord Jaraxxus
1497,Rank15,41885,"Hemet, Jungle Hunter"
1299,Rank10,41218,"Sherazin, Corpse Flower"
541,GrindTo10,38797,Spawn of N'Zoth
215,GrindTo10,765,Thrallmar Farseer
150,GrindTo10,40344,Hozen Healer
2403,GrindToLegend,43469,Corrosive Sludge
356,GrindTo10,670,Nightblade
199790,GrindToLegend,41859,Vinecleaver
951,Rank10,40991,Evolving Spores
8225,GrindToLegend,1167,Aldor Peacekeeper
3024,Rank10,43322,Crushing Hand
4748,GrindTo10,854,Humility
3772,GrindTo5,41427,Fire Plume's Heart
1870,Rank5,42765,Snowfury Giant
342,Rank5,45778,Blessed Maul
258,GrindTo5,41328,Giant Wasp
114,Rank10,866,Shieldbearer
154,GrindTo5,41257,Thunder Lizard
1435,GrindTo5,38734,Infested Wolf
2981,GrindToLegend,42707,Stitched Tracker
829,Rank15,132,Voodoo Doctor
18075,GrindToLegend,40422,Jade Chieftain
532,Rank5,311,Gladiator's Longbow
1044,GrindTo5,43290,Greater Jasper Spellstone
21352,GrindTo15,445,Reckless Rocketeer
12345,GrindTo15,564,Arcane Missiles
27974,GrindTo15,304,Arcanite Reaper
57716,GrindTo15,395,Water Elemental
8088,GrindTo5,28,Kor'kron Elite
30691,GrindToLegend,587,Frost Nova
25228,GrindTo15,147,Shadowflame
204799,GrindTo15,1087,Pyroblast
14903,GrindTo15,38538,Bilefin Tidehunter
8421,GrindTo15,430,Cone of Cold
154988,GrindTo15,376,Inner Fire
358362,GrindTo15,113,Counterspell
206229,GrindTo15,459,Deadly Poison
49073,Rank15,766,Hex
81940,GrindTo15,38266,Evolve
285670,GrindToLegend,41496,Primordial Glyph
332,GrindTo5,42327,Phantom Freebooter
319961,GrindTo15,42818,The Lich King
157832,GrindTo15,40527,Jade Spirit
173257,GrindTo15,943,Blessing of Kings
3963,GrindTo15,447,Arcane Explosion
11616,GrindTo15,39008,Master of Evolution
760147,GrindTo10,41566,Mistress of Mixtures
36471,GrindTo15,596,Armorsmith
260267,Rank15,365,Shadowstep
99216,GrindTo15,40391,Crystalweaver
73443,GrindTo15,503,Power of the Wild
58148,Rank5,40523,Jade Blossom
401860,GrindTo5,42442,Cobalt Scalebane
21133,GrindTo10,42652,Play Dead
134511,Rank15,39841,"Medivh, the Guardian"
160959,Rank15,1659,Acolyte of Pain
9470,GrindTo10,41304,Terrorscale Stalker
483046,GrindTo15,40378,Drakonid Operative
203293,Rank10,40432,Kabal Talonpriest
2162,Legend,38377,On the Hunt
231944,GrindTo5,39941,Barnes
396489,GrindToLegend,41418,Tar Creeper
96252,Rank5,41176,Radiant Elemental
158353,GrindToLegend,1363,Shadow Word: Death
338973,GrindToLegend,631,Doomguard
2591,GrindTo15,43064,Blood-Queen Lana'thel
143234,Rank15,45590,Arcane Artificer
27177,Legend,43357,Flanking Strike
17291,Rank5,237,Auchenai Soulpriest
30105,Rank5,279,Holy Smite
11991,Rank5,40323,Raza the Chained
207250,GrindTo10,41912,Lost in the Jungle
81285,GrindTo10,46403,Zola the Gorgon
256703,GrindToLegend,43407,Explosive Runes
26313,GrindTo10,366,Spellbender
672244,GrindTo10,45899,Duskbreaker
36434,Rank5,41929,Primordial Drake
46506,GrindToLegend,43288,Lesser Jasper Spellstone
32115,Rank15,46432,Murmuring Elemental
12359,Legend,39169,Babbling Book
81050,Rank5,45590,Arcane Artificer
10127,GrindTo15,41366,Swamp King Dred
189209,Rank15,42467,Righteous Protector
568600,GrindTo5,42467,Righteous Protector
190402,GrindTo10,38452,Darkshire Councilman
277350,Rank5,38745,Rallying Blade
13210,GrindToLegend,42651,Druid of the Swarm
103918,Rank10,41245,Rockpool Hunter
22387,GrindTo15,43463,Wax Elemental
