plays	turn	game_type	play_category
361	56	3	Other
1975	46	3	WARRIOR
79485	21	3	DRUID
121137	15	30	Other
1937	11	30	HUNTER
1116	8	30	HUNTER
369	27	30	PALADIN
9145	35	30	Other
1590	20	30	MAGE
657	23	30	DRUID
3328	9	30	ROGUE
1202	24	30	WARRIOR
37911	16	3	SHAMAN
240	29	30	PALADIN
78	35	30	PALADIN
47	21	30	The Coin
31	81	2	PRIEST
136	53	3	SHAMAN
13	37	30	WARLOCK
59	57	3	MAGE
226	32	3	NEUTRAL
30	66	30	WARRIOR
15	54	2	PALADIN
12	86	30	PRIEST
192	79	2	Other
2	50	2	HUNTER
51	61	3	Other
15	73	30	PRIEST
52	41	3	NEUTRAL
12	57	3	PALADIN
41	58	3	MAGE
58	40	3	NEUTRAL
13	54	2	DRUID
26	57	3	DRUID
3	58	2	WARLOCK
1	79	30	NEUTRAL
2	61	2	ROGUE
7	61	3	DRUID
15	61	3	MAGE
1	76	30	NEUTRAL
1	60	30	DRUID
2	63	3	SHAMAN
2	57	2	ROGUE
3	54	3	NEUTRAL
3	67	2	HUNTER
2	46	30	HUNTER
2	84	30	WARRIOR
2	49	30	WARLOCK
1	77	2	HUNTER
1	61	3	PALADIN
1	87	30	NEUTRAL
31061	20	2	HUNTER
463	33	2	WARLOCK
70896	17	2	WARLOCK
17120	25	2	PRIEST
21179	23	2	PRIEST
13687	23	2	SHAMAN
6194	27	2	SHAMAN
3884	29	2	SHAMAN
45372	14	2	WARRIOR
93	1	2	WARRIOR
40328	16	2	WARRIOR
25418	19	2	ROGUE
31766	17	2	ROGUE
2962	30	2	The Coin
176	48	2	The Coin
1536	63	2	WARRIOR
523	75	2	Other
938	59	2	NEUTRAL
26401	35	2	NEUTRAL
76478	15	2	NEUTRAL
2675	53	2	NEUTRAL
232	78	2	Other
573	71	2	WARRIOR
1413989	24	3	Other
43065	8	3	WARLOCK
26443	30	3	PRIEST
1930	2	3	SHAMAN
1275	49	3	WARRIOR
91710	24	3	MAGE
2644	44	3	MAGE
53412	24	3	DRUID
4701	28	3	The Coin
28430	24	3	PALADIN
1693	36	3	HUNTER
60990	14	3	ROGUE
87106	19	30	Other
125320	10	30	Other
101053	17	30	Other
7014	37	30	Other
1532	12	30	HUNTER
1738	9	30	HUNTER
2711	6	30	WARLOCK
3405	7	30	PRIEST
335	48	30	PRIEST
1897	47	30	Other
1490	21	30	WARRIOR
2613	10	30	MAGE
4606	10	30	DRUID
1374	18	30	ROGUE
22	69	30	PRIEST
8	75	30	WARRIOR
81	38	2	WARLOCK
581	37	2	The Coin
7935	30	3	HUNTER
6816	33	3	PALADIN
31	35	30	ROGUE
331	49	30	NEUTRAL
34947	9	3	HUNTER
323	41	3	WARLOCK
138	8	2	NEUTRAL
70	58	30	WARRIOR
86	49	2	DRUID
252	60	2	PRIEST
46	50	3	HUNTER
21	51	3	ROGUE
89	68	2	PRIEST
31	55	3	PALADIN
6	55	3	HUNTER
30	1	30	ROGUE
7	5	30	The Coin
3	70	2	DRUID
4	53	2	HUNTER
9	40	30	WARLOCK
15	47	2	ROGUE
33	70	30	PRIEST
9	47	2	WARLOCK
13	88	30	PRIEST
1	64	2	MAGE
2	78	2	DRUID
8	50	2	WARLOCK
8	53	3	ROGUE
1	62	3	PALADIN
2	68	2	HUNTER
1	61	2	SHAMAN
131449	36	2	Other
2006656	9	2	Other
11686	55	2	Other
2608	30	2	HUNTER
277	37	2	HUNTER
9059	26	2	WARLOCK
56	39	2	WARLOCK
48642	9	2	PALADIN
4255	37	2	PRIEST
4649	62	2	Other
18913	21	2	SHAMAN
42082	4	2	SHAMAN
33950	22	2	WARRIOR
37316	7	2	WARRIOR
93	40	2	ROGUE
35061	13	2	MAGE
23246	19	2	MAGE
18336	5	2	MAGE
520	38	2	MAGE
137219	5	2	DRUID
73780	13	2	DRUID
44484	17	2	DRUID
1298	38	2	DRUID
5466	19	2	The Coin
4236	17	2	The Coin
4867	13	2	The Coin
8621	42	2	WARRIOR
3251	52	2	NEUTRAL
1892	61	2	WARRIOR
1972497	6	3	Other
1689	40	3	PALADIN
20852	6	3	PALADIN
72193	17	3	PRIEST
1771	47	3	PRIEST
21671	26	3	SHAMAN
38906	13	3	WARRIOR
43834	17	3	WARRIOR
6267	38	3	WARRIOR
21471	5	3	WARRIOR
26901	32	3	MAGE
136692	11	3	MAGE
5847	40	3	MAGE
1687	46	3	MAGE
879	54	3	Other
2997	40	3	DRUID
42443	6	3	DRUID
11272	15	3	The Coin
666	35	3	The Coin
55955	13	3	HUNTER
12711	28	3	HUNTER
54206	8	3	DRUID
843	5	30	HUNTER
13968	32	30	Other
3265	13	30	PRIEST
820	38	30	PRIEST
4359	19	30	SHAMAN
9688	13	30	SHAMAN
59	43	30	SHAMAN
1215	6	30	MAGE
4652	11	30	DRUID
700	22	30	ROGUE
86	55	30	WARRIOR
1318	36	30	NEUTRAL
598	44	30	NEUTRAL
144	55	30	NEUTRAL
182	9	30	NEUTRAL
729	2	2	MAGE
560	24	3	NEUTRAL
44488	7	3	ROGUE
26	40	30	MAGE
7	67	30	NEUTRAL
165	47	2	The Coin
133	32	30	DRUID
57	2	30	WARRIOR
44	34	30	ROGUE
14	46	30	DRUID
139	32	30	PALADIN
47	34	30	The Coin
11	52	3	WARLOCK
5	50	3	NEUTRAL
19	84	30	Other
6	67	3	WARRIOR
44	62	30	WARRIOR
27	82	2	PRIEST
14	50	30	SHAMAN
30	54	3	PALADIN
20	46	2	ROGUE
9	87	30	Other
9	53	3	The Coin
12	46	30	PALADIN
8	55	2	PALADIN
1	71	30	DRUID
1	87	2	ROGUE
3	59	2	WARLOCK
1	5	30	NEUTRAL
3	54	30	MAGE
1	65	3	DRUID
1	65	3	MAGE
24666	49	2	Other
42	42	2	HUNTER
168	80	2	Other
64020	18	2	WARLOCK
3510	30	2	PALADIN
1049	36	2	PALADIN
320	57	2	PRIEST
9423	25	2	SHAMAN
26219	27	2	WARRIOR
36740	20	2	WARRIOR
164211	3	2	ROGUE
2111	2	2	DRUID
87	48	2	PALADIN
89185	22	2	NEUTRAL
180	61	2	PRIEST
853	32	2	ROGUE
319	74	2	WARRIOR
299030	32	3	Other
13621	46	3	Other
16108	28	3	PALADIN
72711	13	3	PRIEST
8227	38	3	PRIEST
1411	43	3	SHAMAN
365	2	3	WARRIOR
330	55	3	WARRIOR
13706	33	3	WARRIOR
24130	25	3	ROGUE
4689	41	3	MAGE
710	46	3	DRUID
316	39	3	The Coin
231	41	3	The Coin
9992	29	3	ROGUE
40460	22	3	ROGUE
87226	11	3	DRUID
2331	41	3	DRUID
48589	3	30	Other
4778	3	30	PALADIN
310	50	30	PRIEST
6064	17	30	SHAMAN
1393	9	30	WARRIOR
1048	20	30	ROGUE
3607	6	30	DRUID
2781	14	30	ROGUE
5	80	30	WARRIOR
1289	12	30	NEUTRAL
313	44	2	DRUID
6	41	30	The Coin
333	50	3	SHAMAN
21	1	3	The Coin
288	30	3	NEUTRAL
311	24	30	HUNTER
232	31	30	MAGE
12	81	30	PRIEST
152	55	30	PRIEST
150	38	30	SHAMAN
138	31	30	DRUID
122	36	3	NEUTRAL
26	47	30	SHAMAN
24	40	30	The Coin
5	48	2	HUNTER
3	59	3	The Coin
12	2	30	PRIEST
27	33	30	HUNTER
1	60	3	ROGUE
3	54	30	DRUID
1	58	30	WARLOCK
1	79	2	ROGUE
1	55	3	NEUTRAL
1352188	5	2	Other
64497	4	2	HUNTER
102233	1	2	WARLOCK
93439	14	2	WARLOCK
63958	15	2	WARLOCK
52041	5	2	PALADIN
32114	12	2	SHAMAN
48386	10	2	SHAMAN
42263	6	2	ROGUE
30292	17	2	MAGE
5242	31	2	DRUID
403	43	2	DRUID
12451	37	2	WARRIOR
11548	42	2	NEUTRAL
198	35	2	WARLOCK
2788477	11	3	Other
53491	40	3	Other
47772	18	3	HUNTER
46831	14	3	HUNTER
19801	26	3	HUNTER
43155	26	3	PRIEST
60773	3	3	SHAMAN
3512	43	3	WARRIOR
1372	37	3	ROGUE
81512	8	3	MAGE
441	51	3	MAGE
25920	20	3	The Coin
37971	18	3	SHAMAN
428	42	3	ROGUE
23960	8	3	PALADIN
93842	6	30	Other
2150	46	30	Other
1745	28	30	PRIEST
1912	13	30	WARRIOR
411	38	30	WARRIOR
2780	11	30	MAGE
13421	8	30	The Coin
1158	5	30	WARRIOR
241	44	30	WARRIOR
19	79	30	Other
2099	31	30	NEUTRAL
2359	6	30	PALADIN
610	33	30	WARRIOR
173	43	2	MAGE
123	28	30	HUNTER
10309	34	3	DRUID
487	43	30	PRIEST
31	62	30	NEUTRAL
7	51	2	WARLOCK
181	32	30	MAGE
25	56	3	DRUID
180	33	3	NEUTRAL
85	15	30	The Coin
25	76	30	Other
16	88	2	WARRIOR
14	58	3	DRUID
18	83	2	PRIEST
39	7	2	NEUTRAL
