nzoth_created_entity,week_of_year,year,game_type,card_class,num_occurances,wins
Loot Hoarder,38,2017,BGT_RANKED_WILD,HUNTER,576,324
Cairne Bloodhoof,38,2017,BGT_RANKED_WILD,PRIEST,1701,1207
Sludge Belcher,38,2017,BGT_RANKED_WILD,HUNTER,2296,1322
Sludge Belcher,38,2017,BGT_RANKED_WILD,SHAMAN,1270,761
Piloted Shredder,38,2017,BGT_RANKED_WILD,ROGUE,761,440
Harvest Golem,31,2017,BGT_RANKED_STANDARD,PALADIN,167,108
Sylvanas Windrunner,31,2017,BGT_RANKED_WILD,PALADIN,889,628
Zombie Chow,31,2017,BGT_RANKED_WILD,WARLOCK,532,328
Haunted Creeper,31,2017,BGT_RANKED_WILD,ROGUE,129,69
Voidcaller,31,2017,BGT_RANKED_WILD,WARLOCK,254,150
Infested Tauren,31,2017,BGT_RANKED_STANDARD,HUNTER,180,89
Rat Pack,31,2017,BGT_RANKED_STANDARD,HUNTER,422,202
Loot Hoarder,31,2017,BGT_RANKED_WILD,WARRIOR,128,76
Mistress of Mixtures,31,2017,BGT_RANKED_WILD,PALADIN,240,154
"Sherazin, Corpse Flower",31,2017,BGT_RANKED_STANDARD,PRIEST,114,76
Loot Hoarder,31,2017,BGT_RANKED_STANDARD,MAGE,101,49
Abomination,32,2017,BGT_RANKED_WILD,PRIEST,423,255
Bloodmage Thalnos,32,2017,BGT_RANKED_WILD,PRIEST,2715,1829
Explosive Sheep,32,2017,BGT_RANKED_WILD,PRIEST,373,223
Piloted Sky Golem,32,2017,BGT_RANKED_WILD,PRIEST,353,231
Infested Wolf,32,2017,BGT_RANKED_STANDARD,HUNTER,15046,7289
Infested Tauren,32,2017,BGT_RANKED_STANDARD,DRUID,1635,956
Infested Tauren,32,2017,BGT_RANKED_WILD,PALADIN,423,254
Volatile Elemental,32,2017,BGT_RANKED_STANDARD,ROGUE,265,128
Abomination,32,2017,BGT_RANKED_STANDARD,WARRIOR,201,113
Mistress of Mixtures,32,2017,BGT_RANKED_WILD,HUNTER,861,421
Mistress of Mixtures,32,2017,BGT_RANKED_WILD,SHAMAN,222,132
Chillmaw,32,2017,BGT_RANKED_WILD,PALADIN,115,68
Twilight Summoner,32,2017,BGT_RANKED_STANDARD,HUNTER,262,132
Mistress of Mixtures,32,2017,BGT_RANKED_WILD,WARRIOR,106,60
Arrogant Crusader,32,2017,BGT_RANKED_STANDARD,PALADIN,1166,678
Shallow Gravedigger,32,2017,BGT_RANKED_STANDARD,HUNTER,828,401
Polluted Hoarder,32,2017,BGT_RANKED_STANDARD,HUNTER,193,109
Skelemancer,32,2017,BGT_RANKED_WILD,PALADIN,126,76
Skelemancer,32,2017,BGT_RANKED_STANDARD,DRUID,127,67
Bloodmage Thalnos,32,2017,BGT_RANKED_STANDARD,WARRIOR,141,93
Cairne Bloodhoof,33,2017,BGT_RANKED_WILD,HUNTER,200,118
Deathlord,33,2017,BGT_RANKED_WILD,ROGUE,20522,14579
Sludge Belcher,33,2017,BGT_RANKED_WILD,WARLOCK,5069,3183
Dark Cultist,33,2017,BGT_RANKED_WILD,PRIEST,4101,2749
Boom Bot,33,2017,BGT_RANKED_WILD,PALADIN,1011,573
Infested Tauren,33,2017,BGT_RANKED_STANDARD,PRIEST,8934,5906
Twilight Summoner,33,2017,BGT_RANKED_STANDARD,WARLOCK,135,66
Shifting Shade,33,2017,BGT_RANKED_STANDARD,PRIEST,37875,25166
Runic Egg,33,2017,BGT_RANKED_STANDARD,HUNTER,217,98
Kindly Grandmother,33,2017,BGT_RANKED_STANDARD,HUNTER,20524,9575
White Eyes,33,2017,BGT_RANKED_STANDARD,PRIEST,268,194
Sated Threshadon,33,2017,BGT_RANKED_STANDARD,PRIEST,421,299
Devilsaur Egg,33,2017,BGT_RANKED_STANDARD,PALADIN,422,239
Devilsaur Egg,33,2017,BGT_RANKED_WILD,HUNTER,406,212
Raptor Hatchling,33,2017,BGT_RANKED_STANDARD,HUNTER,2019,896
Mistress of Mixtures,33,2017,BGT_RANKED_STANDARD,DRUID,141,68
Skelemancer,33,2017,BGT_RANKED_STANDARD,PRIEST,2991,2103
Southsea Squidface,33,2017,BGT_RANKED_WILD,ROGUE,132,79
Southsea Squidface,33,2017,BGT_RANKED_STANDARD,PRIEST,115,86
Igneous Elemental,33,2017,BGT_RANKED_WILD,PRIEST,215,138
Sylvanas Windrunner,34,2017,BGT_RANKED_WILD,PRIEST,6810,4965
Huge Toad,34,2017,BGT_RANKED_WILD,PRIEST,365,218
Fiery Bat,34,2017,BGT_RANKED_WILD,HUNTER,508,226
Undercity Huckster,34,2017,BGT_RANKED_STANDARD,ROGUE,7359,3971
Shaky Zipgunner,34,2017,BGT_RANKED_STANDARD,HUNTER,1145,537
Pyros,34,2017,BGT_RANKED_STANDARD,PRIEST,682,495
Eggnapper,34,2017,BGT_RANKED_STANDARD,PRIEST,368,233
Meat Wagon,34,2017,BGT_RANKED_STANDARD,PRIEST,141,86
Arfus,34,2017,BGT_RANKED_WILD,HUNTER,401,222
Aya Blackpaw,34,2017,BGT_RANKED_WILD,PRIEST,131,95
Loot Hoarder,35,2017,BGT_RANKED_WILD,HUNTER,703,345
Loot Hoarder,35,2017,BGT_RANKED_WILD,SHAMAN,131,66
Cairne Bloodhoof,35,2017,BGT_RANKED_STANDARD,WARRIOR,5381,3402
Bloodmage Thalnos,35,2017,BGT_RANKED_WILD,PRIEST,3782,2552
Tirion Fordring,35,2017,BGT_RANKED_STANDARD,PALADIN,8293,5733
Savannah Highmane,35,2017,BGT_RANKED_WILD,HUNTER,1963,1181
Haunted Creeper,35,2017,BGT_RANKED_WILD,PALADIN,304,153
Sludge Belcher,35,2017,BGT_RANKED_WILD,WARRIOR,3286,2177
Boom Bot,35,2017,BGT_RANKED_WILD,PALADIN,814,435
Twilight Summoner,35,2017,BGT_RANKED_STANDARD,SHAMAN,149,73
Mistress of Mixtures,35,2017,BGT_RANKED_STANDARD,ROGUE,4952,2569
Shimmering Tempest,35,2017,BGT_RANKED_WILD,PRIEST,148,108
Twilight Summoner,35,2017,BGT_RANKED_STANDARD,HUNTER,134,76
Bone Drake,35,2017,BGT_RANKED_WILD,ROGUE,104,56
Tortollan Shellraiser,35,2017,BGT_RANKED_STANDARD,ROGUE,119,56
Cairne Bloodhoof,36,2017,BGT_RANKED_WILD,WARRIOR,409,270
Bloodmage Thalnos,36,2017,BGT_RANKED_WILD,MAGE,638,349
Tirion Fordring,36,2017,BGT_RANKED_WILD,PALADIN,1516,1023
Corrupted Healbot,36,2017,BGT_RANKED_STANDARD,PRIEST,155,103
Feugen,36,2017,BGT_RANKED_WILD,SHAMAN,121,86
Boom Bot,36,2017,BGT_RANKED_WILD,DRUID,123,62
Abomination,37,2017,BGT_RANKED_STANDARD,ROGUE,171,95
Bloodmage Thalnos,37,2017,BGT_RANKED_STANDARD,ROGUE,3023,1642
Deathlord,37,2017,BGT_RANKED_WILD,DRUID,278,165
Piloted Shredder,37,2017,BGT_RANKED_WILD,PRIEST,3640,2424
Fiery Bat,37,2017,BGT_RANKED_STANDARD,PRIEST,116,89
Cairne Bloodhoof,31,2017,BGT_RANKED_STANDARD,SHAMAN,1065,746
Bloodmage Thalnos,31,2017,BGT_RANKED_WILD,SHAMAN,442,274
Deathlord,31,2017,BGT_RANKED_WILD,MAGE,1525,1012
Piloted Shredder,31,2017,BGT_RANKED_WILD,ROGUE,1192,765
Sneed's Old Shredder,31,2017,BGT_RANKED_WILD,SHAMAN,962,751
Boom Bot,31,2017,BGT_RANKED_WILD,MAGE,1619,1050
Infested Tauren,31,2017,BGT_RANKED_WILD,MAGE,105,66
Deadly Fork,31,2017,BGT_RANKED_WILD,ROGUE,113,64
Jade Swarmer,31,2017,BGT_RANKED_WILD,ROGUE,1754,1166
Mistress of Mixtures,31,2017,BGT_RANKED_WILD,WARLOCK,2325,1556
Sated Threshadon,31,2017,BGT_RANKED_STANDARD,PRIEST,175,119
Harvest Golem,32,2017,BGT_RANKED_WILD,ROGUE,108,57
Sylvanas Windrunner,32,2017,BGT_RANKED_WILD,PRIEST,7728,5696
Deathlord,32,2017,BGT_RANKED_WILD,WARRIOR,2303,1354
Boom Bot,32,2017,BGT_RANKED_WILD,WARRIOR,1198,753
Mistress of Mixtures,32,2017,BGT_RANKED_WILD,PRIEST,4100,2640
"Xaril, Poisoned Mind",32,2017,BGT_RANKED_STANDARD,PRIEST,253,154
Obsidian Statue,32,2017,BGT_RANKED_STANDARD,PRIEST,79435,60466
Shallow Gravedigger,32,2017,BGT_RANKED_STANDARD,PRIEST,13590,8779
Hadronox,32,2017,BGT_RANKED_STANDARD,PRIEST,127,110
Bone Drake,32,2017,BGT_RANKED_STANDARD,ROGUE,654,362
Meat Wagon,32,2017,BGT_RANKED_STANDARD,PRIEST,333,216
Abomination,32,2017,BGT_RANKED_STANDARD,HUNTER,211,99
Abomination,33,2017,BGT_RANKED_WILD,PRIEST,421,248
Bloodmage Thalnos,33,2017,BGT_RANKED_WILD,PRIEST,3705,2526
Bloodmage Thalnos,33,2017,BGT_RANKED_STANDARD,WARRIOR,252,154
Tirion Fordring,33,2017,BGT_RANKED_STANDARD,PALADIN,14049,9495
Savannah Highmane,33,2017,BGT_RANKED_WILD,HUNTER,3123,1890
