player_class,card_name,dbfid,times_played,wins
DRUID,Branching Paths,43294,241229,127207
WARLOCK,Dirty Rat,41567,236722,123292
MAGE,Raven Familiar,45269,235814,116895
WARLOCK,Gnomeferatu,42670,235229,122202
WARLOCK,Vulgar Homunculus,43121,234785,112718
WARLOCK,"Rin, the First Disciple",46040,234208,127788
DRUID,Spreading Plague,42656,233705,93731
PALADIN,Blessing of Kings,943,230129,116541
PRIEST,Potion of Madness,40373,227423,111564
MAGE,Potion of Polymorph,40409,223368,121119
MAGE,Babbling Book,39169,222329,102862
ROGUE,Counterfeit Coin,40437,222258,111700
MAGE,Flamestrike,1004,221288,108134
PRIEST,Dragonfire Potion,40938,221124,107890
PRIEST,Shadow Word: Death,1363,220914,110212
PRIEST,Shadow Essence,42804,217843,124024
MAGE,Cabalist's Tome,38418,216312,109966
HUNTER,Tracking,1047,215050,104340
ROGUE,Vilespine Slayer,41217,213158,97813
MAGE,Tar Creeper,41418,212993,105594
WARLOCK,Darkshire Councilman,38452,210590,102771
HUNTER,Cat Trick,39160,209176,112564
WARLOCK,Soulfire,974,208233,102348
PALADIN,Spellbreaker,754,207781,90224
PRIEST,Inner Fire,376,205836,126040
PALADIN,Sunkeeper Tarim,41145,202443,103475
ROGUE,Fire Fly,41323,201831,97973
HUNTER,Flanking Strike,43357,201648,93635
PRIEST,Eternal Servitude,42597,199649,130477
MAGE,Ice Barrier,621,197837,89188
DRUID,Malfurion the Pestilent,43417,196069,104887
PRIEST,Mind Control,8,193944,112268
WARLOCK,Tar Creeper,41418,189065,94758
HUNTER,Explosive Trap,585,187900,83109
HUNTER,Crackling Razormaw,41358,186334,96364
PRIEST,Silence,1189,185608,90519
ROGUE,Edwin VanCleef,306,183799,93946
HUNTER,Candleshot,45537,183157,89487
ROGUE,Flame Elemental,42044,181330,87161
MAGE,Novice Engineer,284,176650,79724
DRUID,Ironwood Golem,43284,173759,83710
MAGE,Mirror Entity,195,169831,89674
ROGUE,Shiv,573,165154,79287
MAGE,Molten Reflection,41690,162750,109828
HUNTER,Alleycat,40426,162230,79931
ROGUE,Gadgetzan Auctioneer,932,161334,80684
MAGE,Fireblast,39791,157472,75929
MAGE,Dirty Rat,41567,157299,78534
WARLOCK,Bloodfury Potion,40393,157254,81431
ROGUE,Cold Blood,268,156286,87768
PRIEST,Shadow Word: Horror,38433,155854,89650
HUNTER,Freezing Trap,519,153659,73406
WARLOCK,Crystalweaver,40391,149594,79502
ROGUE,Doomsayer,138,149323,68077
ROGUE,Swashburglar,39698,148451,66014
WARLOCK,Prince Taldaram,45341,147922,83197
MAGE,Frost Lich Jaina,43419,143517,84403
HUNTER,Houndmaster,1003,139602,71603
ROGUE,Valeera the Hollow,43392,139495,79748
DRUID,Excess Mana,1725,139057,71259
MAGE,Simulacrum,43193,138521,75347
PRIEST,Obsidian Statue,42598,138373,72935
PRIEST,Greater Healing Potion,40375,138355,71058
ROGUE,Doomerang,42801,137938,73665
