player_class,card_name,dbfid,times_played,wins
DRUID,Anti-Magic Shell,45387,3720,2350
WARRIOR,Blood To Ichor,38918,3715,1301
HUNTER,River Crocolisk,1369,3683,1275
PALADIN,Wax Elemental,43463,3681,1482
DRUID,"N'Zoth, the Corruptor",38496,3674,1640
PRIEST,Gadgetzan Auctioneer,932,3669,1429
SHAMAN,Tol'vir Stoneshaper,41241,3662,1534
SHAMAN,Spirit Echo,41879,3660,1758
PRIEST,Malfurion the Pestilent,43417,3658,1669
DRUID,Dirty Rat,41567,3656,1545
PRIEST,Elven Minstrel,45531,3644,1386
PRIEST,Branching Paths,43294,3635,1898
WARLOCK,Abomination,440,3604,1718
DRUID,Claw,1050,3600,962
PRIEST,Sunfury Protector,891,3592,1358
WARRIOR,Bittertide Hydra,41263,3591,1728
SHAMAN,Tidal Surge,41521,3582,1262
WARLOCK,Sea Giant,211,3581,1847
HUNTER,Stonehill Defender,41243,3576,1314
DRUID,Verdant Longneck,40971,3565,1448
DRUID,Loot Hoarder,251,3562,1416
HUNTER,Weasel Tunneler,40549,3554,1208
DRUID,Deathwing,834,3552,1227
DRUID,Gluttonous Ooze,41683,3547,1728
MAGE,Coldwraith,42836,3537,1321
PRIEST,Marin the Fox,45988,3534,1505
WARLOCK,Pompous Thespian,39476,3524,1787
PALADIN,Hand of Protection,727,3522,1008
ROGUE,Evolved Kobold,38408,3521,1778
MAGE,"N'Zoth, the Corruptor",38496,3517,2046
MAGE,Cult Sorcerer,38900,3512,1449
WARLOCK,INFERNO!,1178,3502,1770
WARLOCK,Patches the Pirate,40465,3495,1453
WARLOCK,Loot Hoarder,251,3487,1394
DRUID,Frostmourne,43012,3484,2109
PRIEST,Babbling Book,39169,3472,1556
ROGUE,Harrison Jones,912,3460,1708
WARLOCK,Squirming Tentacle,39003,3455,1751
SHAMAN,The Lich King,42818,3445,1525
HUNTER,Queen Carnassa,41367,3439,1408
DRUID,Second-Rate Bruiser,40906,3435,1525
SHAMAN,Dire Mole,45707,3434,1508
DRUID,Healing Touch,773,3430,744
WARLOCK,Soggoth the Slitherer,39119,3426,1802
WARLOCK,Dark Iron Dwarf,348,3422,1603
ROGUE,Onyx Spellstone,46297,3418,1289
DRUID,Evolving Spores,40991,3417,1552
WARLOCK,Ironfur Grizzly,1182,3414,1553
WARRIOR,Naga Corsair,40889,3407,1541
WARLOCK,Ancient of Blossoms,40744,3396,1852
MAGE,Beckoner of Evil,38859,3380,1259
PRIEST,Voidwalker,48,3379,1753
WARRIOR,Dream,808,3379,2071
WARRIOR,Harrison Jones,912,3375,1691
PRIEST,Vilespine Slayer,41217,3374,1653
HUNTER,Dinomancy,41363,3359,1225
DRUID,Bloodmage Thalnos,749,3358,1587
PRIEST,Lone Champion,43473,3356,1313
PRIEST,Corrosive Sludge,43469,3353,1603
PRIEST,Dire Wolf Alpha,985,3352,1520
SHAMAN,Barnes,39941,3347,1554
HUNTER,King Mukla,1693,3340,1251
WARLOCK,Shroom Brewer,45784,3325,1598
PRIEST,Darkshire Alchemist,38764,3321,1267
DRUID,Obliterate,43120,3318,1664
DRUID,Shellshifter,40973,3315,1361
WARLOCK,Nether Portal,41942,3296,1218
SHAMAN,Voodoo Hexxer,42762,3296,1125
WARRIOR,Ironforge Portal,39747,3294,1181
HUNTER,Stampede,41360,3292,1222
PALADIN,Lone Champion,43473,3287,1200
ROGUE,Bloodsail Raider,999,3280,1239
SHAMAN,The Runespear,46305,3272,1312
WARRIOR,Greater Mithril Spellstone,46064,3266,1400
WARLOCK,Obliterate,43120,3266,1614
PALADIN,Sen'jin Shieldmasta,635,3262,1083
SHAMAN,Stone Sentinel,41116,3261,1328
PRIEST,Skelemancer,42328,3244,1373
SHAMAN,Greater Sapphire Spellstone,43332,3233,1960
PRIEST,Eaglehorn Bow,1662,3228,1980
PRIEST,Possessed Lackey,45820,3218,1390
DRUID,Jade Golem,42099,3215,1944
PRIEST,The Final Seal,46034,3206,1995
SHAMAN,Stormforged Axe,960,3203,1098
PRIEST,Hooded Acolyte,39033,3203,1235
HUNTER,Stubborn Gastropod,41318,3199,1155
PRIEST,Lightwarden,1655,3177,1338
DRUID,Lotus Agents,40742,3176,1299
SHAMAN,Igneous Elemental,41926,3175,1255
SHAMAN,Bonemare,42790,3175,1428
WARLOCK,Crazed Worshipper,38958,3158,1675
PALADIN,Hungry Crab,443,3155,1460
PRIEST,C'Thun's Chosen,38863,3154,1306
PRIEST,Kill Command,296,3145,1763
PALADIN,Sunwalker,759,3135,1199
ROGUE,Fungalmancer,45265,3122,1633
DRUID,Klaxxi Amber-Weaver,38621,3104,1466
WARRIOR,Grimy Gadgeteer,40568,3102,1107
WARLOCK,Abusive Sergeant,242,3099,1353
PRIEST,Flamestrike,1004,3093,1367
ROGUE,The Darkness,46454,3092,1307
PALADIN,Ironbeak Owl,290,3090,1134
WARRIOR,Sen'jin Shieldmasta,635,3087,776
PALADIN,Howling Commander,42948,3085,1145
PRIEST,Nourish,95,3078,1391
HUNTER,Emerald Hive Queen,41261,3069,1113
WARRIOR,Ysera Awakens,301,3068,1933
DRUID,Skulking Geist,42784,3040,1415
DRUID,Novice Engineer,284,3023,988
HUNTER,Glacial Shard,41111,3019,1150
HUNTER,Toxic Arrow,42648,3019,1162
WARLOCK,Sneaky Devil,43493,3017,1201
ROGUE,Headcrack,708,3012,1109
WARRIOR,Choose Your Path,42881,3007,963
PALADIN,Blood Knight,755,3003,1375
SHAMAN,Eater of Secrets,38792,2997,1281
MAGE,Marin the Fox,45988,2965,1267
ROGUE,Cairne Bloodhoof,420,2965,1279
MAGE,Kazakus Potion,41603,2958,1472
DRUID,Barkskin,43282,2956,1124
WARLOCK,Cataclysm,46286,2942,894
PRIEST,Medivh's Valet,39767,2942,1573
PRIEST,Despicable Dreadlord,42743,2924,1662
HUNTER,Eater of Secrets,38792,2919,1304
PALADIN,Holy Light,291,2915,595
WARRIOR,Animated Berserker,42810,2914,890
WARLOCK,Shattered Sun Cleric,608,2912,965
PRIEST,Wrath,836,2900,1379
HUNTER,Raptor Patriarch,41356,2899,1034
SHAMAN,Novice Engineer,284,2896,1206
WARRIOR,Loot Hoarder,251,2876,1103
SHAMAN,Dirty Rat,41567,2872,1155
PALADIN,Guardian of Kings,1068,2871,741
PRIEST,Leeroy Jenkins,559,2869,1845
WARRIOR,Leeroy Jenkins,559,2867,1622
HUNTER,Saronite Chain Gang,42395,2858,1159
DRUID,Sen'jin Shieldmasta,635,2857,885
WARRIOR,Youthful Brewmaster,415,2854,1381
ROGUE,Barnes,39941,2853,1153
WARRIOR,Death Grip,42590,2851,1449
PRIEST,Valeera the Hollow,43392,2848,672
WARLOCK,Renounce Darkness,38461,2841,904
ROGUE,Beckoner of Evil,38859,2839,1079
WARRIOR,"Deathwing, Dragonlord",38943,2829,1422
WARLOCK,Shieldbearer,866,2825,1381
PRIEST,Sunkeeper Tarim,41145,2822,1411
PRIEST,Wild Growth,1124,2821,1311
PRIEST,Wandering Monster,43359,2807,1402
WARRIOR,Laughing Sister,340,2806,1553
SHAMAN,Skulking Geist,42784,2806,1305
PRIEST,Cabalist's Tome,38418,2802,1161
HUNTER,Princess Huhuran,38910,2797,1229
WARRIOR,Death and Decay,46194,2790,1620
DRUID,Addled Grizzly,38916,2783,1021
WARRIOR,Death Coil,45384,2781,1568
PRIEST,Build-A-Beast,43183,2771,1447
WARRIOR,Val'kyr Soulclaimer,42671,2765,911
WARRIOR,Twilight Elder,38868,2764,1102
PRIEST,Volatile Elemental,41524,2747,1142
PRIEST,The Curator,39225,2747,1258
PALADIN,Stoneskin Basilisk,43474,2747,1101
WARLOCK,Kazakus Potion,41604,2745,1562
WARLOCK,Goldshire Footman,922,2741,1261
WARLOCK,Mogu'shan Warden,700,2736,1358
HUNTER,Pantry Spider,39207,2735,938
WARLOCK,Harrison Jones,912,2735,1384
DRUID,Marin the Fox,45988,2731,1210
ROGUE,Spiritsinger Umbra,41289,2727,1271
PALADIN,Stubborn Gastropod,41318,2717,1076
PRIEST,Kirin Tor Mage,748,2714,1599
PALADIN,"Bolvar, Fireblood",45392,2708,1202
PRIEST,Kazakus Potion,41604,2701,1286
WARRIOR,C'Thun,38857,2697,1384
SHAMAN,Air Elemental,41152,2694,906
PRIEST,Ultimate Infestation,42759,2691,1428
PRIEST,Acherus Veteran,42773,2682,1104
HUNTER,Coldlight Oracle,1016,2681,931
MAGE,The Darkness,46454,2679,1310
WARRIOR,Emerald Drake,489,2676,1511
PRIEST,The Four Horsemen,43013,2660,1530
WARLOCK,Young Priestess,1634,2654,1277
WARLOCK,Tauren Warrior,45,2649,1283
PRIEST,Infested Tauren,38784,2648,1178
WARLOCK,Frostwolf Grunt,41,2647,1233
PRIEST,Flanking Strike,43357,2645,1412
SHAMAN,Mistress of Mixtures,41566,2644,1083
PRIEST,Spikeridged Steed,41864,2642,1632
PRIEST,Unstable Evolution,45904,2641,1703
DRUID,Cenarius,36,2630,1299
SHAMAN,Zola the Gorgon,46403,2621,1248
SHAMAN,Loot Hoarder,251,2620,1040
ROGUE,Assassin's Blade,421,2615,786
WARRIOR,Cobalt Scalebane,42442,2611,1051
ROGUE,Tainted Zealot,46103,2586,1098
HUNTER,Leokk,226,2578,1550
PRIEST,Soulfire,974,2577,1283
PRIEST,Blessing of Kings,943,2573,1577
PALADIN,Carnivorous Cube,45195,2570,1254
ROGUE,C'Thun's Chosen,38863,2570,1092
PRIEST,Temple Enforcer,1364,2562,1013
WARLOCK,Happy Ghoul,42783,2560,1140
WARLOCK,Marin the Fox,45988,2559,1184
ROGUE,Twilight Elder,38868,2559,1026
DRUID,Jade Golem,42102,2555,1380
ROGUE,Acolyte of Pain,1659,2553,973
DRUID,Fatespinner,42615,2552,1336
PRIEST,Kabal Lackey,40299,2548,1351
PRIEST,Shattered Sun Cleric,608,2547,836
ROGUE,Wicked Knife,46054,2547,522
PALADIN,Psych-o-Tron,38526,2531,991
WARLOCK,Wrathion,40603,2530,1329
DRUID,Menagerie Warden,39696,2523,1384
ROGUE,Malygos,436,2519,1413
DRUID,Mark of Nature,151,2519,813
WARLOCK,Un'Goro Pack,41491,2518,1426
DRUID,Acolyte of Pain,1659,2507,1023
PRIEST,Southsea Captain,680,2507,1255
HUNTER,Bloodmage Thalnos,749,2504,1034
PRIEST,The Darkness,46454,2497,1087
PRIEST,Ironbeak Owl,290,2495,1049
WARLOCK,Twilight Geomancer,38864,2495,1140
WARLOCK,Booty Bay Bodyguard,1140,2478,1239
DRUID,Barnes,39941,2477,1150
PALADIN,Stampeding Kodo,1371,2471,1121
PALADIN,Barnes,39941,2471,1157
PALADIN,Faceless Manipulator,531,2467,1115
MAGE,Twilight Drake,1037,2464,1175
WARLOCK,Summoning Portal,969,2453,843
ROGUE,Earthen Ring Farseer,1651,2445,942
ROGUE,Voidform,45397,2445,1356
ROGUE,Kabal Courier,40496,2438,1029
SHAMAN,Gentle Megasaur,41265,2437,1160
WARLOCK,Murloc Tidehunter,976,2430,682
SHAMAN,Totemic Might,830,2426,718
PRIEST,Chillwind Yeti,90,2421,771
SHAMAN,Megafin,41498,2420,1060
ROGUE,Argent Commander,281,2419,1135
WARLOCK,Lord Jaraxxus,777,2419,1089
HUNTER,Abominable Bowman,43245,2412,1127
MAGE,Volatile Elemental,41524,2411,890
PRIEST,Fan of Knives,667,2409,852
DRUID,Charged Devilsaur,41286,2408,1330
PRIEST,Molten Reflection,41690,2403,964
HUNTER,Acherus Veteran,42773,2402,943
SHAMAN,Stormcrack,38724,2380,784
PRIEST,C'Thun,38857,2379,1243
PRIEST,SI:7 Agent,1117,2378,1269
DRUID,Acherus Veteran,42773,2376,1151
PRIEST,Arcane Tyrant,43483,2372,1122
PALADIN,Infested Tauren,38784,2361,1054
DRUID,Ironbeak Owl,290,2356,921
PRIEST,Spreading Plague,42656,2352,553
SHAMAN,Healing Totem,764,2350,1111
PALADIN,Argent Commander,281,2342,946
WARLOCK,Sleepy Dragon,43494,2341,1158
HUNTER,Gladiator's Longbow,311,2335,961
SHAMAN,Harrison Jones,912,2324,1182
SHAMAN,Blowgill Sniper,40493,2322,853
PRIEST,Dragon's Fury,45271,2322,780
PRIEST,Shadowform,1368,2318,1080
ROGUE,Wicked Knife,485,2314,510
WARRIOR,King Mosh,41425,2308,1023
SHAMAN,Arcane Giant,39426,2304,917
SHAMAN,Cobalt Scalebane,42442,2303,938
PALADIN,Skelemancer,42328,2300,1074
WARLOCK,Weasel Tunneler,40549,2284,1136
MAGE,Fire Dragon,46498,2281,1117
WARRIOR,Anti-Magic Shell,45387,2278,1424
WARLOCK,Void Ripper,46461,2273,1035
WARLOCK,Lord of the Arena,157,2268,1091
MAGE,Twilight Elder,38868,2268,892
MAGE,Bananas,1694,2267,1282
PRIEST,Southsea Squidface,38825,2266,709
PALADIN,Meanstreet Marshal,40577,2265,989
ROGUE,Ethereal Peddler,39700,2248,969
HUNTER,Cat in a Hat,39173,2240,1372
PRIEST,Jade Behemoth,40797,2237,879
WARRIOR,Un'Goro Pack,41491,2236,1046
WARRIOR,Nightmare,217,2225,1507
DRUID,Fatespinner,43430,2224,1026
DRUID,Knife Juggler,1073,2223,965
WARLOCK,Bananas,1694,2219,1441
DRUID,Zola the Gorgon,46403,2215,1128
PALADIN,Silver Vanguard,45287,2210,1155
WARLOCK,Deathspeaker,42394,2203,1083
HUNTER,Stoneskin Basilisk,43474,2202,774
PRIEST,Arcane Giant,39426,2198,1046
HUNTER,Volcanosaur,41120,2193,735
PRIEST,Happy Ghoul,42783,2190,905
HUNTER,Hidden Cache,40339,2188,868
DRUID,Corrosive Sludge,43469,2186,1078
ROGUE,Shroom Brewer,45784,2184,959
PRIEST,Consecration,476,2181,1274
MAGE,Frost Elemental,512,2178,889
WARLOCK,Cairne Bloodhoof,420,2178,1190
ROGUE,Perdition's Blade,391,2171,755
ROGUE,Runeforge Haunter,42819,2159,936
ROGUE,Corpsetaker,46102,2158,1022
PALADIN,Avenging Wrath,1174,2155,887
WARRIOR,Amani Berserker,790,2155,639
PRIEST,Explosive Trap,585,2151,1078
MAGE,Chillwind Yeti,90,2143,825
MAGE,Mirror Image,968,2133,1162
WARRIOR,Rampage,1108,2132,720
WARRIOR,Gorehowl,810,2130,847
SHAMAN,Plated Beetle,45930,2125,825
PRIEST,Gurubashi Berserker,768,2124,623
PRIEST,Fal'dorei Strider,43228,2124,1068
ROGUE,Lone Champion,43473,2115,849
MAGE,Disciple of C'Thun,38547,2114,819
SHAMAN,Wrath of Air Totem,458,2111,946
HUNTER,Stranglethorn Tiger,68,2110,868
SHAMAN,Primal Fusion,38262,2109,828
WARRIOR,Patches the Pirate,40465,2109,754
PRIEST,"Azari, the Devourer",46033,2108,1416
HUNTER,Wolfrider,289,2102,957
SHAMAN,Primal Talismans,45905,2101,687
SHAMAN,Murloc Raider,191,2097,666
MAGE,Un'Goro Pack,41491,2093,1100
WARRIOR,Obliterate,43120,2093,1018
PRIEST,Freezing Trap,519,2083,1150
MAGE,Netherspite Historian,39554,2071,869
WARLOCK,Novice Engineer,284,2068,725
MAGE,Shattered Sun Cleric,608,2056,778
PRIEST,Herald Volazj,38922,2055,1125
HUNTER,Carrion Grub,38985,2049,801
MAGE,Kabal Chemist,40407,2049,821
ROGUE,Spider Ambush!,45870,2044,1140
PALADIN,Faerie Dragon,609,2041,874
MAGE,C'Thun's Chosen,38863,2041,869
SHAMAN,Forked Lightning,299,2041,558
HUNTER,Silverback Patriarch,67,2038,514
SHAMAN,The Storm Guardian,41842,2038,953
WARRIOR,Frostmourne,43012,2036,1185
WARLOCK,Doom Pact,42587,2027,623
WARLOCK,Kazakus Potion,41577,2025,878
PRIEST,Stubborn Gastropod,41318,2021,792
SHAMAN,Moat Lurker,39465,2019,903
WARRIOR,Dire Mole,45707,2016,813
WARRIOR,Bloodmage Thalnos,749,2015,873
WARRIOR,Gurubashi Berserker,768,2011,532
WARLOCK,The Curator,39225,2009,1032
DRUID,Doom Pact,42587,1999,649
MAGE,Bloodfen Raptor,216,1996,543
PALADIN,Shattered Sun Cleric,608,1995,653
WARLOCK,Nerubian Unraveler,42791,1990,1048
PALADIN,Glacial Shard,41111,1985,870
WARLOCK,Army of the Dead,42586,1982,800
ROGUE,Acherus Veteran,42773,1976,854
ROGUE,Reckless Rocketeer,445,1965,958
MAGE,Archmage,525,1965,592
PRIEST,Sindragosa,43506,1962,975
PRIEST,Lesser Jasper Spellstone,43288,1960,882
WARLOCK,Beckoner of Evil,38859,1953,735
PRIEST,Cat Trick,39160,1951,1126
MAGE,Spellbender,1086,1951,1208
SHAMAN,Frost Shock,971,1951,412
WARLOCK,Void Terror,1221,1950,678
ROGUE,Firebloom Toxin,38935,1946,874
HUNTER,Feral Gibberer,45547,1938,780
HUNTER,Harrison Jones,912,1932,929
ROGUE,Weasel Tunneler,40549,1927,813
WARLOCK,Voodoo Doctor,132,1927,503
PRIEST,Cavern Shinyfinder,43237,1926,595
PRIEST,Young Priestess,1634,1923,875
SHAMAN,Windfury,51,1917,837
ROGUE,Kingsblood Toxin,38934,1916,795
ROGUE,Sheep,796,1912,666
SHAMAN,Eternal Sentinel,38265,1912,721
SHAMAN,Patches the Pirate,40465,1910,784
WARLOCK,Acolyte of Pain,1659,1905,769
PALADIN,Devilsaur Egg,41259,1905,763
PRIEST,Grimscale Chum,40531,1903,848
DRUID,Crazed Alchemist,801,1899,835
PALADIN,Novice Engineer,284,1898,692
PRIEST,Deadly Shot,1093,1894,1000
PRIEST,Raven Familiar,45269,1892,839
WARLOCK,Forbidden Ritual,38454,1888,673
PRIEST,Jade Blossom,40523,1884,789
DRUID,Army of the Dead,42586,1878,834
MAGE,Ironbeak Owl,290,1867,764
PALADIN,Feral Gibberer,45547,1866,831
PRIEST,Bananas,1694,1865,1057
SHAMAN,Wicked Witchdoctor,39190,1857,589
DRUID,Dream,808,1856,1172
SHAMAN,Hallazeal the Ascended,38722,1849,754
DRUID,Jade Golem,42098,1848,1089
ROGUE,Kabal Chemist,40407,1847,770
MAGE,Inkmaster Solia,40701,1844,916
PRIEST,Hungry Ettin,46082,1843,684
MAGE,Boulderfist Ogre,1686,1826,646
SHAMAN,Dust Devil,618,1824,482
SHAMAN,Doomhammer,352,1821,766
HUNTER,Oasis Snapjaw,1370,1812,567
PRIEST,Tirion Fordring,890,1810,1079
SHAMAN,Sen'jin Shieldmasta,635,1808,442
ROGUE,The Curator,39225,1808,822
MAGE,Mind Control Tech,734,1807,728
SHAMAN,Mind Control Tech,734,1804,674
PRIEST,Execute,785,1804,1020
WARRIOR,Arathi Weaponsmith,538,1800,534
PALADIN,Stegodon,41324,1795,772
HUNTER,Patches the Pirate,40465,1792,691
DRUID,Jade Golem,42103,1791,976
HUNTER,Stegodon,41324,1790,639
ROGUE,Golakka Crawler,41316,1783,723
SHAMAN,Cult Master,811,1783,771
PRIEST,Knife Juggler,1073,1780,830
PALADIN,Second-Rate Bruiser,40906,1779,655
WARLOCK,Bloodsail Corsair,997,1774,815
DRUID,Hoarding Dragon,43507,1772,776
WARRIOR,Twin Emperor Vek'lor,38488,1770,789
WARRIOR,Gluttonous Ooze,41683,1770,819
HUNTER,Jungle Panther,921,1764,657
ROGUE,Mind Control Tech,734,1763,619
ROGUE,Lotus Agents,40742,1762,676
WARRIOR,Eater of Secrets,38792,1761,777
DRUID,Silver Vanguard,45287,1760,775
DRUID,Doomcaller,38795,1758,777
WARRIOR,Corridor Creeper,43515,1757,711
SHAMAN,Elise the Trailblazer,41935,1756,806
SHAMAN,Hungry Crab,443,1756,805
SHAMAN,Ancestral Healing,149,1753,406
ROGUE,Bittertide Hydra,41263,1752,828
MAGE,Raid Leader,1401,1750,428
MAGE,Choose Your Path,42881,1747,524
PALADIN,Servant of Kalimos,41410,1745,715
WARRIOR,Explore Un'Goro,41400,1743,740
PRIEST,Cold Blood,268,1742,1057
WARRIOR,Raging Worgen,1155,1738,501
HUNTER,Cult Master,811,1737,737
DRUID,Stranglethorn Tiger,68,1737,833
MAGE,Kazakus Potion,41604,1735,954
ROGUE,Phantom Freebooter,42327,1735,732
SHAMAN,Golakka Crawler,41316,1734,682
PRIEST,Deathstalker Rexxar,43398,1730,901
PRIEST,Edwin VanCleef,306,1729,872
ROGUE,Blade of C'Thun,38861,1728,796
PALADIN,Small-Time Recruits,40634,1725,744
WARRIOR,Second-Rate Bruiser,40906,1721,667
PRIEST,Archmage Antonidas,1080,1720,864
WARLOCK,Blood-Queen Lana'thel,43064,1719,705
PRIEST,Embrace Darkness,45308,1718,585
PRIEST,Twilight Darkmender,38429,1716,600
PALADIN,Grimestreet Informant,40474,1715,618
WARRIOR,Stolen Goods,40566,1714,585
ROGUE,Fireball,315,1709,904
PALADIN,Mana Wraith,715,1708,857
PRIEST,Silver Hand Recruit,1652,1707,979
DRUID,Chillwind Yeti,90,1704,492
DRUID,Soul of the Forest,381,1704,703
MAGE,Prince Malchezaar,39840,1703,746
WARLOCK,Prince Malchezaar,39840,1700,720
PRIEST,Aya Blackpaw,40596,1696,836
PALADIN,Dread Corsair,878,1696,808
PALADIN,Scarlet Crusader,642,1689,659
PALADIN,Raid Leader,1401,1687,535
DRUID,Ticking Abomination,42782,1686,807
WARRIOR,Infested Tauren,38784,1684,722
DRUID,Ysera Awakens,301,1683,1136
ROGUE,Sen'jin Shieldmasta,635,1679,453
PRIEST,Drakkari Enchanter,45309,1665,771
ROGUE,Skeleton,43052,1661,481
ROGUE,Dire Mole,45707,1661,707
WARRIOR,Kobold Barbarian,43269,1658,576
SHAMAN,Avalanche,42747,1656,432
PRIEST,Twilight Geomancer,38864,1655,568
ROGUE,Briarthorn Toxin,38940,1655,825
WARRIOR,Marin the Fox,45988,1653,665
MAGE,Green Jelly,43485,1648,502
WARLOCK,Silverback Patriarch,67,1644,832
SHAMAN,Southsea Deckhand,724,1639,724
WARLOCK,Fungal Enchanter,46087,1639,693
MAGE,Weasel Tunneler,40549,1637,809
DRUID,The Curator,39225,1637,691
MAGE,Servant of Yogg-Saron,38414,1634,515
DRUID,Crazed Worshipper,38958,1633,635
WARRIOR,Mithril Spellstone,46063,1633,596
MAGE,Ironfur Grizzly,1182,1631,452
ROGUE,Infested Tauren,38784,1629,601
ROGUE,Ironbeak Owl,290,1629,593
PALADIN,Un'Goro Pack,41491,1625,770
ROGUE,Greater Onyx Spellstone,46295,1623,794
MAGE,Death Grip,42590,1618,832
PALADIN,Blackguard,42825,1614,708
WARLOCK,Youthful Brewmaster,415,1611,810
DRUID,Ghoul Infestor,46389,1610,969
PALADIN,Sea Giant,211,1608,768
DRUID,Ravasaur Runt,41137,1606,709
PALADIN,Dire Mole,45707,1605,763
PALADIN,Stormwind Champion,753,1604,573
DRUID,Frost Widow,45302,1603,950
HUNTER,Worgen Infiltrator,994,1603,590
DRUID,Nightmare,217,1603,1044
MAGE,Gurubashi Berserker,768,1601,539
DRUID,Twilight Geomancer,38864,1600,620
WARLOCK,Chillwind Yeti,90,1599,438
PRIEST,Sunwalker,759,1599,641
SHAMAN,Deadscale Knight,42663,1597,469
PRIEST,Candleshot,45537,1596,929
WARLOCK,Cruel Dinomancer,41869,1594,656
HUNTER,Death Grip,42590,1592,584
WARRIOR,The Darkness,46454,1589,710
HUNTER,Death Coil,45384,1587,733
PRIEST,Ebon Dragonsmith,43465,1585,719
PRIEST,Frost Nova,587,1584,571
ROGUE,Deadly Fork,39822,1582,529
PRIEST,Kazakus Potion,41577,1580,691
WARRIOR,Wax Elemental,43463,1580,592
WARLOCK,Giant Mastodon,41242,1580,800
PALADIN,Death Grip,42590,1576,746
WARLOCK,Razorfen Hunter,257,1575,432
PRIEST,Noble Sacrifice,584,1575,725
DRUID,Mana Treant,41432,1574,415
PRIEST,Mana Geode,40381,1573,701
PALADIN,Death Coil,45384,1572,860
DRUID,Infested Tauren,38784,1569,664
PALADIN,Goldshire Footman,922,1565,449
PRIEST,Shield Block,1023,1561,868
PALADIN,Light's Justice,383,1560,393
PRIEST,Potion of Polymorph,40409,1554,848
WARLOCK,Elven Archer,389,1552,456
HUNTER,Huffer,100,1552,986
DRUID,Youthful Brewmaster,415,1552,625
PRIEST,Ironfur Grizzly,1182,1550,454
HUNTER,Giant Sand Worm,38909,1549,638
HUNTER,Silithid Swarmer,38304,1546,503
MAGE,Anomalus,38463,1545,566
PRIEST,Devolve,40694,1541,705
MAGE,Primordial Drake,41929,1540,701
PRIEST,Vulgar Homunculus,43121,1539,784
ROGUE,Servant of Kalimos,41410,1538,612
PRIEST,Vanish,196,1536,260
PRIEST,Oaken Summons,45828,1535,611
SHAMAN,Fireball,315,1530,1059
PRIEST,Jade Lightning,40455,1527,864
HUNTER,Acolyte of Pain,1659,1522,582
PALADIN,Blowgill Sniper,40493,1521,576
SHAMAN,Stoneclaw Totem,850,1521,761
PALADIN,Death and Decay,46194,1521,875
DRUID,Laughing Sister,340,1520,796
PRIEST,Green Jelly,43485,1518,488
PALADIN,Bone Drake,42439,1513,713
ROGUE,Faceless Manipulator,531,1513,675
MAGE,Death Coil,45384,1512,863
WARRIOR,Doom Pact,42587,1501,599
PALADIN,Stonetusk Boar,648,1500,524
MAGE,Wax Elemental,43463,1498,525
ROGUE,C'Thun,38857,1498,836
PALADIN,Fungalmancer,45265,1497,839
WARRIOR,King Togwaggle,46589,1497,658
MAGE,Gnomish Inventor,308,1496,602
PALADIN,Reckless Rocketeer,445,1494,652
WARLOCK,Twilight Elder,38868,1492,601
HUNTER,Death and Decay,46194,1491,715
MAGE,The Storm Guardian,41842,1489,706
HUNTER,Bloodsail Raider,999,1489,627
ROGUE,Fadeleaf Toxin,38942,1489,635
DRUID,Emerald Drake,489,1488,823
ROGUE,Bone Baron,42712,1486,525
MAGE,River Crocolisk,1369,1481,436
WARLOCK,Corrosive Sludge,43469,1481,724
WARLOCK,Frostwolf Warlord,496,1473,494
ROGUE,Defender of Argus,763,1464,620
MAGE,Burgly Bully,40954,1462,751
DRUID,Elise the Trailblazer,41935,1459,710
WARRIOR,Frostwolf Grunt,41,1458,341
PALADIN,Lesser Pearl Spellstone,43382,1458,408
MAGE,Ysera,1186,1452,694
MAGE,Death and Decay,46194,1450,829
SHAMAN,Shattered Sun Cleric,608,1449,412
PRIEST,Fungal Enchanter,46087,1446,580
PRIEST,Tracking,1047,1441,684
PRIEST,Wax Elemental,43463,1441,554
ROGUE,Bloodthistle Toxin,38938,1436,635
HUNTER,Snowflipper Penguin,42338,1436,599
PRIEST,Kabal Crystal Runner,40583,1435,860
WARRIOR,Sunwalker,759,1435,524
MAGE,Faerie Dragon,609,1433,563
PALADIN,Mind Control Tech,734,1425,537
DRUID,King Togwaggle,46589,1421,653
PRIEST,Dead Man's Hand,42766,1419,882
WARRIOR,Shattered Sun Cleric,608,1416,275
PRIEST,Transmute Spirit,42982,1414,801
SHAMAN,Corrupted Seer,38545,1410,412
PALADIN,Hungry Ettin,46082,1408,498
PALADIN,Blessed Champion,1522,1407,739
MAGE,Manic Soulcaster,40935,1406,738
PALADIN,Crazed Alchemist,801,1405,612
MAGE,C'Thun,38857,1398,667
PALADIN,Anti-Magic Shell,45387,1394,838
WARRIOR,Goldshire Footman,922,1393,457
PRIEST,Abomination,440,1391,475
DRUID,King Mukla,1693,1388,716
ROGUE,Tol'vir Stoneshaper,41241,1388,593
MAGE,Direhorn Matriarch,41889,1385,586
WARLOCK,Wolfrider,289,1383,435
ROGUE,Dirty Rat,41567,1383,489
PALADIN,Boisterous Bard,43523,1382,623
MAGE,Tainted Zealot,46103,1381,551
ROGUE,Obsidian Shard,41213,1376,576
HUNTER,Spiritsinger Umbra,41289,1374,614
DRUID,Feral Gibberer,45547,1372,562
PALADIN,Marin the Fox,45988,1371,546
WARRIOR,Tauren Warrior,45,1367,455
