"games_played_with_card_in_deck","rank_category","card_name"
269071,"GrindTo5","The Curator"
71394,"GrindTo15","Ancient Watcher"
100184,"Rank15","Kabal Crystal Runner"
80743,"Rank15","Hallucination"
95941,"GrindTo15","Counterfeit Coin"
43508,"Rank5","Animal Companion"
138774,"GrindToLegend","Murloc Warleader"
74336,"GrindTo15","Mistress of Mixtures"
320404,"GrindTo10","Potion of Madness"
23035,"other","Blessing of Kings"
89187,"GrindToLegend","Aldor Peacekeeper"
72640,"GrindTo10","Kabal Songstealer"
35584,"Rank10","Sherazin, Corpse Flower"
69567,"Rank10","Yogg-Saron, Hope's End"
10514,"Rank15","Mass Dispel"
7461,"other","Blastcrystal Potion"
21373,"GrindTo10","Tracking"
11427,"other","Freezing Trap"
2016,"GrindTo10","Bladed Cultist"
20068,"Rank10","Cold Blood"
2516,"other","Crazed Alchemist"
20019,"Rank10","Kazakus"
8239,"Rank10","Pint-Size Potion"
8090,"Rank10","Moonglade Portal"
3051,"Rank15","Voodoo Doctor"
2290,"Rank5","DOOM!"
2262,"Rank5","Sprint"
1827,"Rank5","Mukla, Tyrant of the Vale"
1182,"GrindTo5","Giant Wasp"
2953,"Rank10","Evolving Spores"
1190,"GrindToLegend","Flame Geyser"
550,"GrindToLegend","Bane of Doom"
462,"GrindTo10","Nightblade"
351,"Rank5","Ironforge Portal"
597,"GrindToLegend","Kabal Chemist"
2086,"GrindToLegend","Faerie Dragon"
732,"GrindTo10","Perdition's Blade"
353,"Rank15","Archmage"
173,"Legend","Drain Life"
383881,"GrindTo15","Golakka Crawler"
34724,"GrindTo15","Open the Waygate"
63430,"other","Novice Engineer"
59793,"other","Sorcerer's Apprentice"
64422,"Rank15","Slam"
4449,"other","Giant Anaconda"
90794,"Rank15","Brawl"
20308,"Legend","Rockpool Hunter"
61271,"other","Wrath"
164802,"Rank15","Jade Claws"
42953,"GrindTo5","Pyros"
93737,"Rank10","Consecration"
12544,"other","Malchezaar's Imp"
46464,"GrindTo15","Tol'vir Warden"
870,"GrindTo10","Young Dragonhawk"
63595,"GrindTo5","Book Wyrm"
44148,"Rank5","Frost Nova"
4908,"GrindTo10","I Know a Guy"
16907,"GrindTo15","Abyssal Enforcer"
5863,"GrindTo15","Drain Life"
1675,"other","Ultrasaur"
4942,"Rank10","Ravenous Pterrordax"
2970,"other","Kun the Forgotten King"
10631,"Rank10","Lightning Bolt"
2668,"other","Mindgames"
6827,"Rank10","Xaril, Poisoned Mind"
2423,"Rank10","Swamp King Dred"
1527,"GrindTo10","Feeding Time"
6705,"Legend","Loot Hoarder"
4800,"GrindTo5","Mass Dispel"
359,"GrindTo10","Forked Lightning"
3110,"Rank5","Malygos"
2314,"GrindTo5","Hemet, Jungle Hunter"
1428,"other","Demolisher"
1554,"GrindTo10","Leper Gnome"
453,"GrindTo5","Nerubian Prophet"
656,"Rank15","Windspeaker"
153,"Rank5","Princess Huhuran"
1011,"GrindTo5","Demonfire"
167,"Rank5","Shatter"
171,"Rank5","Stormwind Knight"
104,"GrindToLegend","Iron Hide"
74351,"GrindTo5","Spellbreaker"
59975,"Rank10","Frothing Berserker"
57475,"Rank10","Upgrade!"
467338,"GrindTo15","Arcanologist"
212776,"GrindTo15","Dire Wolf Alpha"
180788,"GrindTo15","Wild Growth"
88264,"GrindTo15","Druid of the Claw"
97954,"other","Power Word: Shield"
152746,"GrindTo15","Vanish"
10000,"other","Call in the Finishers"
47649,"GrindTo15","Jade Chieftain"
49349,"GrindTo15","Lay on Hands"
17378,"GrindTo15","Vinecleaver"
2737,"other","Noble Sacrifice"
237762,"GrindTo5","Swipe"
17707,"Rank15","Auchenai Soulpriest"
29543,"GrindTo15","Greater Healing Potion"
27759,"Legend","Earthen Scales"
6203,"Rank5","Ethereal Arcanist"
15869,"other","Infested Tauren"
6541,"Rank15","Kabal Chemist"
27390,"GrindTo5","Cabal Shadow Priest"
5049,"other","Goldshire Footman"
85693,"GrindTo5","Fan of Knives"
10030,"Rank15","Faerie Dragon"
3558,"GrindTo10","Blessing of Wisdom"
1314,"other","Herald Volazj"
1614,"GrindTo15","Bestial Wrath"
1096,"GrindTo10","Menagerie Magician"
781,"Rank15","Imp Master"
1986,"other","Pompous Thespian"
6990,"GrindTo10","Abusive Sergeant"
307,"Legend","Baron Geddon"
529,"Rank15","Angry Chicken"
2156,"GrindTo5","Kabal Chemist"
356,"Rank15","Blubber Baron"
390,"Rank10","Frost Elemental"
132,"GrindTo5","Angry Chicken"
1535,"Rank10","Vaporize"
253,"Rank15","Patient Assassin"
5217,"GrindToLegend","Lightwarden"
106,"GrindTo5","Forlorn Stalker"
391,"GrindToLegend","Forbidden Flame"
763,"GrindTo10","Holy Light"
142,"GrindTo15","Grook Fu Master"
150,"GrindToLegend","Gladiator's Longbow"
185,"Rank10","Wisps of the Old Gods"
198,"GrindToLegend","Avenging Wrath"
40377,"other","Feral Rage"
