"games_played_with_card_in_deck","rank_category","card_name"
600,"Rank5","Menagerie Magician"
34415,"GrindTo10","Mire Keeper"
3392,"other","Sword of Justice"
24925,"Rank10","Shaku, the Collector"
2601,"other","Ozruk"
1328,"Rank15","Stormcrack"
1127,"other","Blackwater Pirate"
1617,"other","Onyxia"
12184,"Rank5","Thoughtsteal"
719,"other","Wrathion"
114,"Rank10","Sergeant Sally"
670,"Rank10","Humility"
1168,"Rank10","The Last Kaleidosaur"
1171,"Rank10","Kabal Trafficker"
7186,"GrindTo5","Lost in the Jungle"
1571,"Rank5","Tar Lord"
12759,"Rank10","Jade Swarmer"
291,"GrindTo10","Arcanosmith"
2042,"Rank5","Abusive Sergeant"
173,"GrindTo10","Ogre Magi"
785,"GrindTo10","Shattered Sun Cleric"
1806,"Legend","Knife Juggler"
848,"Rank5","Twilight Darkmender"
313,"Legend","Emerald Hive Queen"
144,"GrindToLegend","Nat Pagle"
49224,"Legend","Bloodsail Cultist"
63555,"GrindTo15","Spellbreaker"
39931,"GrindTo15","Darkshire Librarian"
47305,"other","Direhorn Hatchling"
499642,"GrindTo15","Swipe"
483164,"GrindTo15","Jade Lightning"
327703,"GrindTo15","Dragonfire Potion"
125388,"other","Tundra Rhino"
31759,"GrindTo10","Smuggler's Run"
487069,"GrindTo10","Animal Companion"
131782,"Rank10","Crackling Razormaw"
8404,"GrindTo5","Grimestreet Outfitter"
270554,"GrindTo15","Divine Spirit"
1004570,"GrindTo10","Firelands Portal"
182211,"Rank15","Gadgetzan Ferryman"
170281,"GrindToLegend","Vanish"
538676,"Rank10","Fire Fly"
61362,"GrindToLegend","Savannah Highmane"
340651,"GrindTo15","Aldor Peacekeeper"
410468,"GrindTo10","Jeweled Macaw"
348001,"GrindToLegend","Ice Block"
102937,"Rank10","Bluegill Warrior"
2034,"GrindTo10","Twilight Geomancer"
194928,"GrindToLegend","Babbling Book"
124925,"GrindTo10","Harrison Jones"
32586,"Rank10","Argent Squire"
1656,"GrindTo15","Bite"
70573,"Rank10","Meteor"
30241,"GrindTo5","Knife Juggler"
8076,"Legend","Shield Slam"
211122,"GrindTo5","Bittertide Hydra"
45091,"Rank5","Free From Amber"
2907,"GrindTo5","Keeper of the Grove"
7739,"Rank15","Shadow Madness"
1049,"Rank5","Stand Against Darkness"
14774,"Rank15","Cruel Taskmaster"
29401,"Rank10","Infested Wolf"
2729,"GrindTo15","Imp Master"
5889,"Rank15","Frostwolf Warlord"
2000,"GrindTo15","Angry Chicken"
5129,"GrindTo15","Kara Kazham!"
1678,"Rank10","Ironbark Protector"
422,"other","Ravenholdt Assassin"
1480,"other","Commanding Shout"
2751,"GrindTo10","Thunder Lizard"
3712,"Legend","Kabal Lackey"
3903,"GrindTo5","Mind Vision"
2488,"Rank15","Claw"
1411,"GrindTo10","Fight Promoter"
875,"GrindTo5","Runic Egg"
1370,"Rank10","Spreading Madness"
254,"Rank5","Pilfered Power"
320,"other","Hogger, Doom of Elwynn"
245,"GrindTo5","Blood of The Ancient One"
686,"GrindTo5","Emerald Hive Queen"
556,"Rank10","Sunwalker"
442,"Rank5","Emerald Reaver"
16489,"GrindTo15","Captain Greenskin"
393324,"Rank15","Patches the Pirate"
59330,"other","Brawl"
77888,"other","Jade Claws"
358548,"GrindTo15","Eviscerate"
35488,"other","Circle of Healing"
320941,"Rank15","Gadgetzan Auctioneer"
388744,"GrindTo5","Gadgetzan Auctioneer"
68155,"Rank10","Slam"
227753,"GrindTo5","Youthful Brewmaster"
254398,"GrindToLegend","Aya Blackpaw"
99758,"Rank10","Stonetusk Boar"
301826,"Rank15","Swipe"
194763,"Rank15","Aldor Peacekeeper"
120959,"Rank5","Bloodsail Cultist"
107690,"Rank10","Jeweled Macaw"
388302,"GrindTo10","Flamestrike"
383852,"Rank5","Arcane Intellect"
353788,"GrindTo10","Jade Idol"
217392,"Rank15","Dragonfire Potion"
15008,"GrindTo15","Hammer of Wrath"
129538,"GrindTo5","Divine Spirit"
193880,"Rank10","Doppelgangster"
100974,"Rank10","Hallucination"
916,"GrindTo15","Blade Flurry"
18423,"GrindTo10","Grimestreet Enforcer"
4388,"Rank5","Timber Wolf"
2398,"GrindTo15","Sudden Genesis"
2441,"GrindTo15","Totemic Might"
5030,"Rank15","Hallazeal the Ascended"
76694,"Rank5","Eaglehorn Bow"
808,"Rank15","Bite"
26845,"Rank5","Kabal Lackey"
6584,"GrindTo15","Amani Berserker"
3255,"Rank15","Soggoth the Slitherer"
575,"other","Lotus Assassin"
2371,"Rank10","Voodoo Doctor"
5347,"GrindTo5","Darkshire Librarian"
4597,"GrindTo10","Corrupted Seer"
4569,"Rank10","Mass Dispel"
831,"GrindTo10","Ironfur Grizzly"
4299,"Rank10","DOOM!"
889,"GrindTo10","Pompous Thespian"
946,"GrindToLegend","Shadow Sensei"
982,"GrindToLegend","Mukla, Tyrant of the Vale"
123,"GrindTo5","Psych-o-Tron"
647,"GrindTo5","Charged Devilsaur"
3797,"Rank15","Kara Kazham!"
2189,"Legend","Mana Bind"
566,"Rank5","Wicked Witchdoctor"
168,"Legend","Raptor Hatchling"
677,"Legend","Devilsaur Egg"
681,"GrindToLegend","Doomhammer"
333,"GrindToLegend","Ironforge Portal"
206610,"GrindTo15","Lightning Storm"
31542,"GrindTo15","Fire Plume Harbinger"
129018,"Rank5","Eviscerate"
155205,"Rank15","Bilefin Tidehunter"
237937,"Rank15","Counterspell"
220938,"GrindTo5","Execute"
146899,"Rank5","Novice Engineer"
129722,"Rank15","Gluttonous Ooze"
232764,"GrindToLegend","Rockpool Hunter"
110237,"GrindToLegend","Elise the Trailblazer"
432027,"GrindTo10","Medivh, the Guardian"
43122,"Legend","Pyroblast"
76175,"Rank15","Blessing of Kings"
342676,"GrindTo5","Counterspell"
36790,"Rank15","Burgly Bully"
52440,"Rank15","Spirit Echo"
12367,"GrindTo15","Blessing of Might"
309791,"GrindTo15","Doppelgangster"
10473,"other","Healing Touch"
27271,"Rank15","Binding Heal"
4904,"GrindTo5","Raptor Hatchling"
36081,"Rank15","Water Elemental"
64307,"Legend","Power of the Wild"
10277,"Rank15","Blastcrystal Potion"
19348,"Rank10","Spellbender"
5742,"Rank15","Deadly Poison"
6105,"GrindTo10","Kobold Geomancer"
24033,"Rank15","Jade Shuriken"
2847,"GrindTo15","Ancient of Blossoms"
13956,"GrindTo5","Ancient of War"
3922,"other","Sense Demons"
3382,"Rank15","The Last Kaleidosaur"
12321,"Rank10","Menagerie Warden"
2567,"GrindTo5","Deadly Poison"
572,"GrindTo5","Giant Mastodon"
1021,"Rank10","Assassinate"
1877,"Rank15","Murloc Raider"
134,"GrindTo5","Eternal Sentinel"
3643,"Legend","Lightwarden"
461,"Rank10","Explore Un'Goro"
496,"GrindTo5","Sen'jin Shieldmasta"
192,"GrindTo10","Shifter Zerus"
119,"Legend","Doomhammer"
129,"Rank10","Spiked Hogrider"
141,"Legend","Mana Addict"
227,"Legend","Madam Goya"
197,"Rank5","Ultrasaur"
21428,"GrindTo15","Doomcaller"
640376,"GrindTo10","Golakka Crawler"
335672,"GrindTo15","Kirin Tor Mage"
7896,"GrindTo5","Devilsaur Egg"
2006,"other","Small-Time Recruits"
26890,"Rank15","Lay on Hands"
10428,"GrindTo10","Earth Elemental"
41513,"Rank10","Loot Hoarder"
164213,"Rank15","Hungry Crab"
24519,"Legend","Sleep with the Fishes"
218736,"Rank15","Wild Growth"
385259,"GrindToLegend","Mana Wyrm"
341022,"GrindTo5","Volcanic Potion"
43167,"other","Free From Amber"
268532,"Rank5","Maelstrom Portal"
43640,"Rank15","Jade Chieftain"
24471,"GrindTo10","Mirror Image"
30349,"GrindToLegend","Circle of Healing"
21463,"GrindTo10","Open the Waygate"
12803,"other","Dark Arakkoa"
18666,"Rank5","Jade Chieftain"
5561,"GrindTo15","Moat Lurker"
8689,"Rank15","Vinecleaver"
7710,"Rank15","Moroes"
29043,"GrindTo15","Feral Spirit"
7417,"GrindTo10","Stormforged Axe"
575,"other","Shifter Zerus"
2475,"GrindTo10","Carrion Grub"
78494,"Rank5","Grimscale Chum"
8287,"other","Rockbiter Weapon"
7218,"Rank10","Cruel Taskmaster"
1763,"Rank15","Getaway Kodo"
