"games_played_with_card_in_deck","rank_category","card_name"
230310,"GrindToLegend","Spikeridged Steed"
243608,"Rank15","Truesilver Champion"
85639,"Rank10","Sleep with the Fishes"
155564,"Rank15","Netherspite Historian"
124903,"other","Jade Spirit"
170576,"GrindTo10","Nesting Roc"
100565,"Rank5","Hallucination"
1716,"GrindTo15","Ancestral Healing"
32141,"GrindTo15","Mind Vision"
1335,"other","Fool's Bane"
24239,"Legend","Counterfeit Coin"
4443,"Legend","Fire Elemental"
4769,"GrindTo5","Grimestreet Enforcer"
197162,"Rank5","Doppelgangster"
20849,"GrindTo10","C'Thun"
13399,"Rank15","Molten Giant"
250080,"GrindTo5","Dread Corsair"
959,"GrindTo10","Southsea Squidface"
5509,"other","Ancient Brewmaster"
83772,"GrindToLegend","Blizzard"
40681,"Rank10","Questing Adventurer"
88523,"Rank10","Inner Fire"
6701,"Rank10","Seadevil Stinger"
1964,"other","Blessed Champion"
1883,"GrindTo10","Wrathion"
4073,"Rank10","Faceless Summoner"
4046,"Rank10","Snake Trap"
711,"Rank10","Public Defender"
3442,"Rank10","Arcane Missiles"
2082,"Rank5","Voodoo Doctor"
1147,"GrindTo5","Corrupted Seer"
168,"GrindToLegend","Chittering Tunneler"
195,"GrindTo10","Sergeant Sally"
2398,"Rank10","Blood Warriors"
52317,"Legend","Shadow Visions"
2730,"GrindTo5","Tar Lurker"
1925,"other","Southsea Squidface"
3639,"GrindTo5","Trogg Beastrager"
1338,"Legend","Earthen Ring Farseer"
10827,"Legend","Cabalist's Tome"
1426,"Rank15","Sabretooth Stalker"
16647,"Rank5","Lightwarden"
838,"GrindToLegend","Dinomancy"
241,"Rank5","Avenging Wrath"
770,"Legend","Abyssal Enforcer"
339,"Rank10","Light's Justice"
120602,"Rank5","Arcanite Reaper"
14838,"GrindTo10","Shadow Bolt"
238612,"Rank15","Bloodmage Thalnos"
9643,"other","Stampede"
71563,"GrindTo15","Explosive Trap"
120919,"GrindTo5","Razorpetal Lasher"
237799,"GrindTo5","Novice Engineer"
198995,"GrindTo5","Igneous Elemental"
85930,"Legend","Swashburglar"
63111,"other","Wild Pyromancer"
248844,"Rank15","Consecration"
123603,"GrindTo15","Jinyu Waterspeaker"
26105,"Rank10","Grimscale Oracle"
74885,"GrindTo10","Jade Chieftain"
30484,"other","Grimscale Chum"
46893,"Legend","Heroic Strike"
110698,"GrindToLegend","Brawl"
215142,"Rank10","Radiant Elemental"
31358,"Rank15","Lightning Bolt"
106759,"Rank10","Fan of Knives"
356548,"GrindToLegend","Jade Claws"
6444,"other","Shadow Word: Horror"
9338,"GrindTo5","Sunfury Protector"
19833,"GrindTo10","Volatile Elemental"
10892,"GrindToLegend","Cult Master"
2308,"Legend","Fiery Bat"
414,"Legend","Shadow Sensei"
1902,"GrindTo15","Ogre Magi"
22296,"Rank15","Jade Swarmer"
8499,"Rank15","Trogg Beastrager"
14824,"GrindTo10","Vinecleaver"
7284,"GrindTo5","Tidal Surge"
4919,"Rank15","Lava Burst"
951,"Rank10","Big Game Hunter"
6219,"other","Corruption"
726,"other","Ancient Harbinger"
3088,"Rank15","Crazed Alchemist"
19983,"GrindTo5","Soulfire"
2663,"other","Midnight Drake"
3724,"Rank10","Elder Longneck"
3190,"Rank5","Bane of Doom"
6526,"GrindToLegend","Twilight Summoner"
11719,"Rank5","Lightning Bolt"
290,"Rank5","King Mukla"
325,"GrindTo10","Felguard"
576,"GrindTo15","Ancient Mage"
937,"GrindTo5","Shieldbearer"
2428,"GrindToLegend","Call in the Finishers"
326,"Rank5","Iron Hide"
423,"Legend","Malkorok"
580,"GrindTo10","Scarlet Crusader"
175,"other","Eldritch Horror"
624,"Legend","Smuggler's Run"
245,"Rank5","Nat Pagle"
369,"Rank10","Windfury"
152,"GrindTo5","Ultrasaur"
152,"Legend","Mark of the Wild"
200,"Legend","Spiritsinger Umbra"
10946,"GrindTo15","Cruel Dinomancer"
136950,"other","Unleash the Hounds"
34677,"GrindToLegend","Sherazin, Corpse Flower"
4379,"GrindTo15","Rampage"
307799,"GrindTo15","Medivh, the Guardian"
155493,"GrindToLegend","Igneous Elemental"
146000,"Rank10","Gentle Megasaur"
26295,"other","Edwin VanCleef"
5471,"Rank10","Blood To Ichor"
21292,"GrindTo15","Twin Emperor Vek'lor"
17346,"Rank5","Undercity Huckster"
10121,"GrindTo15","Earth Shock"
5248,"Rank10","Potion of Polymorph"
17874,"GrindTo5","Menagerie Warden"
229181,"Rank5","Fiery War Axe"
33116,"other","Mortal Coil"
22839,"Rank15","Menagerie Warden"
85192,"Rank5","Mirror Entity"
62612,"GrindToLegend","Razorpetal Lasher"
84979,"GrindToLegend","Yogg-Saron, Hope's End"
25281,"Rank15","Silverware Golem"
6336,"GrindTo15","Friendly Bartender"
489,"GrindTo15","Blubber Baron"
3302,"other","Envenom Weapon"
9616,"other","Injured Blademaster"
53878,"Rank10","Crystalline Oracle"
79219,"Rank10","Curious Glimmerroot"
18080,"Rank5","Infested Tauren"
4401,"Rank10","Tar Lurker"
26128,"GrindToLegend","Cold Blood"
846,"GrindTo15","Lotus Illusionist"
2055,"GrindTo5","Terrorscale Stalker"
311,"GrindTo10","Forbidden Ancient"
288,"GrindTo5","Stormcrack"
3121,"Rank5","Call in the Finishers"
669,"Rank10","Arcane Explosion"
517,"Rank5","Herald Volazj"
11153,"GrindToLegend","Moonglade Portal"
2347,"Rank10","Crazed Alchemist"
750,"Rank10","Raging Worgen"
6698,"GrindToLegend","Soulfire"
262,"GrindTo10","Alarm-o-Bot"
450,"GrindToLegend","Shieldbearer"
150,"Rank15","Warsong Commander"
180,"GrindTo10","Summoning Portal"
473,"Legend","Crazed Worshipper"
227,"Rank5","Sacrificial Pact"
631,"Legend","Ethereal Arcanist"
172,"GrindTo10","Frostwolf Grunt"
312,"Rank15","Greater Arcane Missiles"
296,"Legend","Stormforged Axe"
387,"GrindTo10","Ancient of Lore"
197,"other","The Boogeymonster"
310,"Rank5","Lotus Assassin"
417,"Legend","Earth Elemental"
751605,"GrindTo15","Primordial Drake"
310227,"GrindTo15","Earthen Scales"
5078,"GrindTo10","Demonfire"
650516,"GrindTo10","Northshire Cleric"
58927,"other","Hallucination"
451120,"GrindTo15","Thing from Below"
671419,"GrindTo10","Devolve"
33346,"GrindTo15","Steward of Darkshire"
11363,"Rank15","Stone Sentinel"
7299,"other","Voodoo Doctor"
24494,"GrindTo15","Lakkari Felhound"
188375,"Rank5","Mimic Pod"
309190,"GrindTo15","Jade Behemoth"
31302,"other","Book Wyrm"
360606,"Rank5","Patches the Pirate"
116123,"GrindTo10","Humongous Razorleaf"
11110,"other","Mass Dispel"
46002,"GrindTo15","Mind Control"
2643,"GrindTo15","Primal Fusion"
56444,"GrindTo15","C'Thun's Chosen"
3312,"Rank15","King Mosh"
56846,"other","Kabal Crystal Runner"
16403,"GrindTo15","Ethereal Peddler"
5295,"GrindTo15","Baron Geddon"
5889,"Rank5","Mirage Caller"
16508,"Rank5","Ravasaur Runt"
2176,"GrindTo5","Blessing of Wisdom"
2993,"GrindTo15","Don Han'Cho"
8072,"GrindTo15","Stormwind Champion"
5075,"GrindTo15","Power Word: Tentacles"
5082,"GrindTo10","Hemet, Jungle Hunter"
110303,"Rank10","Netherspite Historian"
10087,"Rank15","Bog Creeper"
3463,"GrindTo10","Cult Apothecary"
11684,"Rank10","Molten Giant"
417,"GrindTo5","Mark of Nature"
889,"GrindTo5","Grimestreet Protector"
691,"GrindToLegend","Molten Blade"
819,"GrindTo10","Pilfered Power"
1685,"GrindTo15","Zealous Initiate"
728,"Rank10","Avenging Wrath"
324,"GrindToLegend","Renounce Darkness"
714,"Rank15","Hired Gun"
222,"Legend","Holy Fire"
12340,"Rank10","Lightwarden"
1134,"GrindTo5","Infest"
106,"GrindTo10","Squirming Tentacle"
479,"GrindTo5","Starfire"
213,"Rank10","Shatter"
363,"Rank5","Carrion Grub"
267,"Legend","Hammer of Wrath"
272,"Rank10","Sabretooth Stalker"
231,"GrindTo10","Weasel Tunneler"
246,"GrindToLegend","Fire Plume Harbinger"
482,"GrindTo5","Unbound Elemental"
107,"Legend","Lightspawn"
19404,"GrindTo15","Wolfrider"
17816,"other","Open the Waygate"
112396,"other","Golakka Crawler"
319115,"GrindTo10","Alley Armorsmith"
657705,"GrindTo15","Kill Command"
72912,"GrindToLegend","Counterfeit Coin"
265984,"GrindTo5","Earthen Scales"
38037,"Rank15","Forbidden Healing"
139510,"Rank10","Alexstrasza"
153490,"GrindToLegend","Flamestrike"
125714,"GrindTo15","Deadly Shot"
165108,"GrindToLegend","Jade Idol"
290071,"GrindTo5","Mark of the Lotus"
21491,"GrindTo15","White Eyes"
130192,"Rank10","Houndmaster"
108355,"Rank5","Gluttonous Ooze"
198559,"GrindToLegend","Northshire Cleric"
135628,"Rank5","Hungry Crab"
161047,"Rank5","Priest of the Feast"
1351,"Rank10","Stand Against Darkness"
2799,"Rank15","Baron Geddon"
694,"Rank10","Emerald Reaver"
7440,"other","Crazed Worshipper"
5096,"Rank15","Inner Rage"
5277,"other","Stormforged Axe"
1049,"Rank15","Fool's Bane"
3110,"Rank10","Obsidian Shard"
3972,"GrindTo10","Cornered Sentry"
461,"GrindTo5","Totemic Might"
20390,"Rank5","Binding Heal"
6546,"Rank5","Shadow Bolt"
290,"Rank15","Fen Creeper"
398,"Rank15","Silver Hand Knight"
2392,"Rank5","Freezing Trap"
463,"GrindToLegend","Cult Apothecary"
9723,"Legend","Shellshifter"
459,"GrindTo5","Freezing Potion"
258,"GrindTo15","Anomalus"
823,"GrindTo5","Primal Fusion"
2317,"GrindTo10","Backstreet Leper"
213,"Rank15","Kidnapper"
215,"GrindTo5","Raid Leader"
448,"Legend","Renounce Darkness"
201,"GrindTo15","Thrallmar Farseer"
332,"Rank10","Corrupted Healbot"
132,"Legend","Fire Plume Harbinger"
32785,"other","Leeroy Jenkins"
256085,"GrindTo10","Naga Corsair"
64288,"other","Bloodsail Raider"
778858,"GrindTo10","Jade Claws"
48229,"GrindToLegend","Archmage Antonidas"
301725,"GrindTo15","Volcanic Potion"
27321,"other","Eggnapper"
1054133,"GrindTo10","Mana Wyrm"
49473,"other","Netherspite Historian"
29138,"Rank15","Timber Wolf"
152894,"Rank15","Lyra the Sunshard"
27302,"other","Volcano"
24813,"GrindTo15","Naturalize"
168259,"Rank10","Truesilver Champion"
198458,"GrindTo5","Mirror Entity"
39508,"GrindToLegend","Lightning Storm"
36109,"other","Primalfin Lookout"
16834,"other","Steam Surger"
11674,"Rank15","Ironbeak Owl"
11902,"GrindTo15","Dinosize"
41097,"GrindTo10","Thoughtsteal"
9761,"other","Gurubashi Berserker"
11461,"Legend","Captain Greenskin"
4717,"other","Betrayal"
19840,"GrindTo15","Lightspawn"
16169,"other","Tar Lord"
4255,"GrindToLegend","White Eyes"
1512,"Rank5","King Mosh"
5335,"other","Molten Giant"
52366,"GrindTo5","Grimscale Oracle"
11475,"GrindTo5","Hammer of Twilight"
11609,"Rank5","Pantry Spider"
1553,"GrindToLegend","Wolfrider"
1675,"Rank15","Polluted Hoarder"
10320,"GrindToLegend","Deadly Shot"
874,"GrindTo10","Lotus Assassin"
2048,"GrindToLegend","Master of Evolution"
62136,"Legend","Thing from Below"
1041,"Legend","C'Thun's Chosen"
720,"GrindToLegend","Doomcaller"
361,"GrindToLegend","Elven Archer"
7733,"GrindToLegend","Tortollan Forager"
2242,"Rank15","Mark of Nature"
234,"GrindTo5","Windfury"
139,"Rank10","Street Trickster"
4305,"Legend","Mind Control"
926,"GrindTo5","Lightwell"
4405,"Legend","Steward of Darkshire"
1608,"Rank5","Stone Sentinel"
438,"GrindToLegend","Blessing of Might"
273,"GrindTo5","Unlicensed Apothecary"
860,"Legend","Ethereal Peddler"
110,"Legend","Power Word: Tentacles"
15823,"GrindTo15","Grimy Gadgeteer"
568772,"GrindTo15","Acolyte of Pain"
395214,"GrindTo15","Shadowstep"
68459,"GrindTo15","Ornery Direhorn"
186499,"Rank15","Execute"
308689,"GrindTo5","Doomsayer"
180676,"Rank15","Savage Roar"
142266,"Rank5","Alexstrasza"
198097,"GrindTo5","Houndmaster"
220147,"Rank15","Doomsayer"
115480,"Rank10","Ice Barrier"
48238,"GrindToLegend","Tundra Rhino"
16511,"GrindToLegend","Nesting Roc"
172048,"GrindTo5","Kindly Grandmother"
6846,"other","Dread Infernal"
209017,"GrindTo5","Sunkeeper Tarim"
30509,"other","Purify"
524,"Legend","Faceless Summoner"
9492,"other","Lord Jaraxxus"
12221,"GrindTo15","Dispatch Kodo"
11379,"GrindTo15","Cult Sorcerer"
21751,"Rank5","Tol'vir Stoneshaper"
92705,"GrindTo10","Murloc Tidehunter"
2980,"GrindTo10","King Krush"
314862,"GrindToLegend","Bloodlust"
19619,"Rank15","Raza the Chained"
8060,"GrindTo15","Oasis Snapjaw"
32715,"Rank15","Disciple of C'Thun"
8650,"GrindTo15","Klaxxi Amber-Weaver"
34651,"Rank10","Faceless Shambler"
2468,"Rank15","The Voraxx"
35604,"Rank10","Sap"
164389,"GrindToLegend","Southsea Captain"
1355,"other","Inkmaster Solia"
4182,"GrindTo10","Snipe"
18043,"Rank10","Doomguard"
6860,"GrindTo15","Spirit Claws"
14852,"GrindToLegend","Kalimos, Primal Lord"
11244,"Rank10","Journey Below"
1104,"GrindTo5","Divine Strength"
738,"GrindToLegend","Gnomish Inventor"
3680,"GrindTo5","Grievous Bite"
1758,"Rank5","Dinosize"
12421,"Legend","Shield Block"
11304,"GrindToLegend","Mire Keeper"
10256,"Legend","Questing Adventurer"
1736,"Rank15","Nightbane Templar"
258,"GrindToLegend","Perdition's Blade"
1173,"GrindToLegend","Onyxia"
429,"Rank5","Finders Keepers"
130,"GrindToLegend","Wrathion"
244,"Legend","Faceless Manipulator"
101,"Rank5","Scarlet Crusader"
231,"Rank15","Repentance"
161,"GrindTo5","Bloodfen Raptor"
300686,"GrindTo15","Bloodsail Raider"
161382,"Rank15","Heroic Strike"
16171,"GrindTo15","Corrupted Seer"
13105,"other","Lakkari Felhound"
436079,"GrindTo15","Truesilver Champion"
100827,"Rank15","Fiery Bat"
5583,"other","Assassin's Blade"
150986,"Rank10","Medivh, the Guardian"
164561,"Rank10","Volcanic Potion"
145809,"Rank10","Earthen Scales"
362565,"GrindTo10","Living Mana"
15150,"GrindTo15","Molten Giant"
23316,"GrindToLegend","Spellbender"
39032,"GrindTo10","Tortollan Forager"
9679,"other","Mind Control Tech"
54826,"GrindTo5","Fiery Bat"
1751,"Rank15","Malkorok"
6173,"Legend","Book Wyrm"
1375,"Rank5","Secretkeeper"
27378,"Legend","Hallucination"
5857,"other","Darkscale Healer"
4156,"GrindTo15","Pompous Thespian"
3725,"other","Cenarius"
8148,"GrindTo10","Moonfire"
1935,"Rank10","Clutchmother Zavas"
108203,"Rank5","Bluegill Warrior"
15371,"Rank10","Steward of Darkshire"
1948,"GrindTo5","Malkorok"
1781,"Rank5","Volcanosaur"
2287,"GrindTo5","Mark of the Wild"
2099,"Rank15","Gnomish Inventor"
10067,"Rank5","Razorpetal Volley"
27191,"Legend","Kabal Crystal Runner"
2491,"GrindToLegend","Stormforged Axe"
1278,"Rank15","Mad Bomber"
509,"Rank5","Humility"
880,"Rank5","Argent Commander"
852,"other","Venture Co. Mercenary"
179,"GrindTo10","Priestess of Elune"
373,"GrindToLegend","Crazed Worshipper"
400,"Rank5","Void Terror"
1123,"Rank5","Spreading Madness"
424,"Rank15","Arcanosmith"
110,"Rank5","Spawn of N'Zoth"
493,"Legend","Voodoo Doctor"
185,"Legend","Mass Dispel"
102,"GrindTo5","Master of Disguise"
62625,"other","Heroic Strike"
528054,"GrindTo15","Radiant Elemental"
108532,"other","Swashburglar"
294844,"GrindTo15","Enchanted Raven"
140308,"Legend","Patches the Pirate"
92251,"other","Hydrologist"
204088,"GrindToLegend","Counterspell"
135570,"Rank10","Vilefin Inquisitor"
75879,"Legend","Gadgetzan Auctioneer"
47038,"Rank10","Jinyu Waterspeaker"
42317,"GrindToLegend","Forbidden Healing"
290664,"GrindToLegend","Evolve"
64851,"GrindTo10","Hunter's Mark"
48412,"GrindTo5","Cabalist's Tome"
23653,"other","Prince Malchezaar"
247121,"Rank10","Flametongue Totem"
120828,"Rank5","Elise the Trailblazer"
8126,"other","Spiritsinger Umbra"
4304,"other","Lakkari Sacrifice"
3542,"other","Spawn of N'Zoth"
8166,"GrindTo5","Dark Arakkoa"
6771,"Rank15","Drain Life"
152940,"Rank5","Rockpool Hunter"
13630,"Rank15","Abyssal Enforcer"
2497,"Rank15","King Krush"
1151,"GrindTo5","Drain Life"
662,"GrindTo15","Patient Assassin"
3374,"GrindTo10","Forbidden Flame"
9543,"GrindTo5","Earthen Ring Farseer"
972,"GrindTo10","Virmen Sensei"
2553,"Rank15","Red Mana Wyrm"
1399,"other","Shadow Sensei"
735,"other","Malkorok"
1220,"GrindTo10","Gladiator's Longbow"
4553,"Rank10","Shadowflame"
118,"Rank5","Frost Shock"
1345,"GrindToLegend","Baron Geddon"
127,"Rank10","Ogre Magi"
159,"GrindToLegend","Eternal Sentinel"
193,"Legend","King Mosh"
362,"Rank10","Shattered Sun Cleric"
126,"GrindToLegend","Freezing Potion"
492,"Legend","Stone Sentinel"
244,"Legend","Charged Devilsaur"
114,"GrindTo10","Hogger, Doom of Elwynn"
15421,"other","Onyx Bishop"
196020,"Rank15","Jade Blossom"
165053,"Rank15","Arcane Giant"
785730,"GrindTo10","Innervate"
325952,"Rank15","Radiant Elemental"
182125,"Rank15","Enchanted Raven"
128643,"Rank10","Flamestrike"
383698,"Rank10","Primordial Glyph"
159167,"GrindTo5","Arcane Giant"
97857,"Rank5","Lyra the Sunshard"
9050,"GrindTo5","Darkshire Councilman"
108760,"Legend","Primordial Drake"
19046,"Rank5","Cabal Shadow Priest"
119200,"GrindTo10","Free From Amber"
2833,"GrindTo15","Holy Wrath"
18372,"other","Grimestreet Enforcer"
7789,"Rank15","Stampede"
34618,"GrindToLegend","Volcano"
10629,"GrindTo5","Disciple of C'Thun"
5495,"Rank15","Corruption"
3000,"other","Raging Worgen"
9910,"GrindTo5","Cruel Taskmaster"
2055,"other","Demented Frostcaller"
7846,"GrindTo5","Siphon Soul"
8670,"GrindToLegend","Eggnapper"
1499,"Rank10","Cult Apothecary"
236,"GrindTo15","Backroom Bouncer"
1481,"Rank15","Midnight Drake"
494,"Rank15","Ancient Harbinger"
3057,"GrindTo5","Ancient Shieldbearer"
9646,"GrindToLegend","Giant Anaconda"
5813,"Rank5","Bog Creeper"
3036,"Rank10","Demonfire"
702,"GrindTo5","Nightbane Templar"
187,"GrindTo10","Pit Lord"
182,"Rank15","Dalaran Mage"
542,"Rank5","Starfire"
1061,"Rank10","Corrupted Seer"
2248,"Legend","Mind Control Tech"
544,"Rank5","Infest"
422,"Rank5","Charged Devilsaur"
541,"Legend","Lakkari Felhound"
327,"GrindTo10","Hidden Cache"
698,"GrindToLegend","Betrayal"
249,"Rank5","Grimestreet Protector"
24859,"GrindTo10","Captain Greenskin"
196931,"Rank15","Sorcerer's Apprentice"
37168,"other","Volatile Elemental"
12623,"Rank10","Flame Imp"
651182,"GrindTo15","Crackling Razormaw"
127424,"GrindTo15","Sap"
83401,"Rank5","Sleep with the Fishes"
276372,"GrindTo5","Wrath"
224590,"Rank10","Gadgetzan Auctioneer"
7138,"Rank10","Darkshire Librarian"
108497,"Rank15","Stampeding Kodo"
13482,"Legend","Polymorph"
265942,"GrindTo10","Gluttonous Ooze"
29396,"GrindTo15","Journey Below"
15534,"Legend","Direhorn Hatchling"
219471,"GrindTo5","Sorcerer's Apprentice"
22329,"Rank10","Cabal Shadow Priest"
30546,"GrindToLegend","Hot Spring Guardian"
1322,"GrindTo10","Sudden Genesis"
60109,"GrindToLegend","SI:7 Agent"
2900,"other","Shadowform"
1503,"other","Felguard"
28148,"GrindTo5","Flare"
354,"Rank5","Starving Buzzard"
1327,"Rank15","Mindgames"
9476,"GrindTo15","Mind Blast"
3984,"Rank15","Kun the Forgotten King"
8020,"GrindTo15","A Light in the Darkness"
10283,"GrindTo15","Sunwalker"
2327,"Rank15","Moat Lurker"
5031,"GrindTo10","Hammer of Wrath"
1319,"GrindTo10","Power Word: Tentacles"
1055,"other","Cyclopian Horror"
7623,"GrindToLegend","Hammer of Twilight"
4494,"Rank10","Holy Smite"
4780,"Rank10","Stubborn Gastropod"
301,"GrindTo5","Southsea Squidface"
1785,"Rank5","Blood Warriors"
6093,"Legend","Tundra Rhino"
2920,"GrindToLegend","Shadowcaster"
837,"Rank10","Starfire"
1727,"GrindToLegend","Mirage Caller"
1262,"other","Repentance"
748,"Rank5","Crystalweaver"
937,"GrindToLegend","Soggoth the Slitherer"
215,"Rank10","Tinkmaster Overspark"
171,"GrindTo10","Blade Flurry"
987,"GrindToLegend","Tortollan Primalist"
234,"GrindTo5","Young Dragonhawk"
860,"Legend","Lord Jaraxxus"
823,"GrindToLegend","Blessing of Wisdom"
715,"Rank10","Smuggler's Crate"
1103,"GrindTo5","Unite the Murlocs"
117,"GrindTo5","Forked Lightning"
191,"Rank5","Air Elemental"
361807,"GrindTo10","Execute"
273071,"GrindTo10","Sunkeeper Tarim"
504538,"GrindTo15","Bloodsail Corsair"
68805,"other","Thing from Below"
80476,"Rank5","Razorpetal Lasher"
83341,"Rank15","Edwin VanCleef"
117205,"Rank5","Igneous Elemental"
320272,"GrindTo5","Vilefin Inquisitor"
51774,"Legend","Stonetusk Boar"
384471,"GrindTo5","Babbling Book"
85891,"GrindTo5","Divine Favor"
134058,"Rank10","Jade Behemoth"
17414,"GrindToLegend","Fire Plume Phoenix"
540549,"GrindTo5","Flametongue Totem"
393401,"GrindTo10","Savage Roar"
29218,"Rank5","Shaku, the Collector"
30701,"other","C'Thun's Chosen"
5213,"other","Ethereal Peddler"
11061,"Legend","Animal Companion"
1841,"Rank15","Prophet Velen"
2648,"GrindTo15","Shatter"
6557,"Legend","Jeweled Macaw"
6814,"Rank15","Deathwing, Dragonlord"
3910,"GrindTo15","Forbidden Flame"
1974,"Rank15","Shattered Sun Cleric"
5026,"Rank10","Naturalize"
7160,"Rank15","Forbidden Ritual"
10145,"GrindTo10","Holy Fire"
2017,"GrindTo10","Giant Mastodon"
3920,"Rank15","Argent Commander"
5527,"Rank15","Evolved Kobold"
2330,"Rank10","Dinosize"
1155,"other","Sudden Genesis"
8696,"GrindToLegend","Menagerie Warden"
4534,"GrindTo15","Gladiator's Longbow"
2915,"Rank15","Celestial Dreamer"
128,"other","Defias Cleaner"
1729,"GrindTo10","Bloodfen Raptor"
4097,"Rank5","Tidal Surge"
3228,"Rank5","Blastcrystal Potion"
9071,"Legend","Lightning Storm"
2356,"Rank15","Ancient Brewmaster"
1004,"Rank10","Primal Fusion"
50278,"Legend","Doppelgangster"
123,"GrindToLegend","Mayor Noggenfogger"
1208,"Legend","Explosive Trap"
520,"Rank5","Hooded Acolyte"
2318,"GrindTo5","I Know a Guy"
856,"GrindToLegend","Terrorscale Stalker"
102,"Rank10","Zealous Initiate"
662,"Rank10","Kooky Chemist"
348,"Rank10","Stormwind Champion"
126,"GrindToLegend","Explore Un'Goro"
90505,"GrindToLegend","Leeroy Jenkins"
169593,"GrindToLegend","Bloodsail Raider"
122696,"Rank5","N'Zoth's First Mate"
14108,"GrindTo5","Mana Bind"
254595,"Rank15","Murloc Warleader"
144579,"GrindTo15","Blazecaller"
58696,"other","Equality"
22245,"other","Silverware Golem"
393376,"GrindTo10","Alexstrasza"
200486,"GrindToLegend","Power Word: Shield"
191345,"GrindTo5","Gluttonous Ooze"
250149,"GrindTo5","Hungry Crab"
207711,"Rank15","Priest of the Feast"
13877,"GrindTo10","Naturalize"
25079,"Legend","Fandral Staghelm"
30221,"GrindTo15","Call of the Wild"
20972,"other","Tol'vir Warden"
90380,"GrindToLegend","Netherspite Historian"
51034,"Legend","Evolve"
59879,"GrindTo5","Ivory Knight"
5203,"GrindTo15","Zoobot"
163281,"Rank5","Vicious Fledgling"
23829,"Rank10","Fire Plume Phoenix"
157,"Legend","Arcane Anomaly"
4110,"other","Stormwatcher"
3965,"other","Sacrificial Pact"
7160,"GrindTo10","Dinosize"
11809,"Rank15","Freezing Trap"
37208,"Rank10","Humongous Razorleaf"
159,"GrindTo15","Millhouse Manastorm"
15154,"GrindToLegend","Infested Tauren"
896,"GrindTo10","Finders Keepers"
9346,"GrindToLegend","Molten Giant"
277,"other","Validated Doomsayer"
358,"GrindToLegend","Worgen Infiltrator"
933,"GrindTo10","Corrupted Healbot"
2186,"Rank10","Terrorscale Stalker"
1060,"GrindTo10","Kooky Chemist"
2582,"GrindTo5","Frozen Crusher"
257,"Rank10","Usher of Souls"
3677,"Rank15","Hooded Acolyte"
613,"Rank10","Twilight Flamecaller"
164,"GrindTo5","Biteweed"
171,"GrindTo5","Gruul"
887,"GrindToLegend","Grimestreet Enforcer"
342,"GrindTo5","Getaway Kodo"
2379,"Legend","Y'Shaarj, Rage Unbound"
288,"Legend","Reckless Rocketeer"
137,"Rank10","The Beast"
401,"Rank5","Mark of Nature"
361,"Legend","Adaptation"
186,"Rank5","Cryomancer"
13779,"other","Blowgill Sniper"
287023,"GrindTo15","Ice Barrier"
555597,"Rank15","Frostbolt"
46751,"other","Drakonid Operative"
309414,"GrindTo10","Bilefin Tidehunter"
125245,"Rank10","Novice Engineer"
42377,"GrindToLegend","Rat Pack"
522748,"GrindTo10","Counterspell"
60082,"GrindTo10","Shaku, the Collector"
26844,"GrindTo15","Wisp"
65362,"GrindToLegend","Spellbreaker"
261046,"GrindToLegend","Swipe"
143568,"GrindTo5","Curious Glimmerroot"
86233,"GrindTo10","Forbidden Healing"
151092,"GrindToLegend","Dragonfire Potion"
65478,"GrindTo10","Burgly Bully"
213798,"GrindToLegend","Enchanted Raven"
352228,"GrindToLegend","Jade Lightning"
128909,"Rank5","Eater of Secrets"
3939,"other","Swamp King Dred"
45613,"GrindTo10","Binding Heal"
4802,"other","Gorehowl"
3710,"Rank15","Twilight Darkmender"
3282,"other","Frozen Crusher"
2320,"other","Far Sight"
11271,"Rank15","Steam Surger"
6651,"Rank15","Verdant Longneck"
929,"Rank15","Stormwind Knight"
7567,"GrindTo5","Potion of Polymorph"
20102,"Rank5","Acidic Swamp Ooze"
5938,"Rank10","The Black Knight"
58716,"GrindToLegend","Divine Spirit"
3781,"GrindTo5","Steam Surger"
1917,"Rank5","Tyrantus"
1991,"Rank15","Nerubian Prophet"
192,"Rank10","Ultrasaur"
1868,"GrindToLegend","Hallazeal the Ascended"
195,"Legend","Lunar Visions"
6739,"Legend","Purify"
1529,"Legend","Dark Arakkoa"
153,"GrindToLegend","Bite"
581,"Rank15","Tauren Warrior"
1036,"GrindTo5","Leper Gnome"
1669,"Rank5","Sinister Strike"
142,"Rank5","Street Trickster"
229,"Legend","Inkmaster Solia"
118,"GrindTo10","Silver Hand Knight"
162,"Rank10","Giant Sand Worm"
176,"GrindToLegend","Kara Kazham!"
164400,"other","Mana Wyrm"
39283,"Rank15","Grimscale Oracle"
45922,"other","Dirty Rat"
178773,"Rank15","Fan of Knives"
231108,"GrindToLegend","Gentle Megasaur"
247617,"Rank10","Northshire Cleric"
235628,"GrindTo5","Equality"
389910,"Rank10","Frostbolt"
93073,"other","Jade Idol"
241409,"GrindTo5","Wild Pyromancer"
233129,"Rank10","Devolve"
4811,"GrindTo10","Inkmaster Solia"
5012,"GrindTo15","Pterrordax Hatchling"
38705,"Legend","Medivh, the Guardian"
1226,"Rank15","Psych-o-Tron"
8537,"Rank15","Holy Smite"
11548,"Rank15","Elder Longneck"
7159,"GrindTo15","Moonfire"
3743,"Rank15","Bloodfury Potion"
5371,"other","Red Mana Wyrm"
18683,"GrindTo10","Dark Arakkoa"
