"player_class","card_name","times_played","wins"
"DRUID","Excess Mana",92683,52369
"SHAMAN","Sir Finley Mrrgglton",91241,44948
"WARLOCK","Defender of Argus",91174,52223
"MAGE","Acidic Swamp Ooze",90595,46247
"DRUID","Aya Blackpaw",87980,57307
"SHAMAN","Patches the Pirate",87046,36087
"WARLOCK","Voidwalker",84580,40978
"PRIEST","Book Wyrm",82747,44360
"MAGE","Reno Jackson",81354,46856
"WARRIOR","Alexstrasza's Champion",81135,44798
"WARRIOR","Slam",79691,36542
"WARLOCK","Shadowflame",76461,43068
"WARRIOR","Life Tap",76326,36449
"MAGE","Brann Bronzebeard",75420,42135
"MAGE","Frost Nova",75073,34198
"WARLOCK","Blastcrystal Potion",74264,37599
"WARLOCK","Sunfury Protector",73483,38411
"WARLOCK","Power Overwhelming",72837,49422
"MAGE","Dirty Rat",72389,36419
"WARRIOR","Fierce Monkey",71630,34178
"ROGUE","Southsea Deckhand",71552,35458
"MAGE","Emperor Thaurissan",71125,40481
"PRIEST","Dragonfire Potion",70224,31259
"WARRIOR","Ravaging Ghoul",68262,31333
"WARLOCK","Twisting Nether",67878,32380
"WARRIOR","Twilight Guardian",66590,32699
"PRIEST","Potion of Madness",66491,32894
"MAGE","Arcane Missiles",66257,32079
"WARLOCK","Lord Jaraxxus",65847,42102
"SHAMAN","Steady Shot",65477,29292
"WARRIOR","Fireblast",65219,28295
"PALADIN","Truesilver Champion",65054,31744
"MAGE","Cabalist's Tome",64098,32724
"MAGE","Mana Wyrm",62618,30268
"DRUID","Mulch",62583,29971
"WARRIOR","Blackwing Corruptor",62421,33002
"ROGUE","Leeroy Jenkins",60593,41815
"WARLOCK","Sylvanas Windrunner",60287,34619
"MAGE","Alexstrasza",59998,36682
"WARRIOR","Bash",59547,26778
"WARLOCK","Faceless Shambler",59538,36154
"PRIEST","Acidic Swamp Ooze",57687,28774
"WARRIOR","Execute",57573,24221
"DRUID","Brann Bronzebeard",57530,34415
"SHAMAN","Life Tap",57402,27064
"MAGE","Forbidden Flame",57007,28142
"WARRIOR","Shield Block",56463,25511
"WARLOCK","Mind Control Tech",56342,29596
"WARLOCK","Soulfire",55688,29009
"WARRIOR","Azure Drake",55638,26243
"PRIEST","Twilight Drake",55132,29427
"WARRIOR","Shield Slam",54687,24659
"SHAMAN","Bloodlust",54581,43343
"WARLOCK","Kazakus Potion",54230,32964
"MAGE","Refreshment Vendor",53912,27134
"MAGE","Acolyte of Pain",53756,27083
"MAGE","Archmage Antonidas",53645,32943
"WARRIOR","Leeroy Jenkins",53643,32359
"WARRIOR","Armor Up!",53381,20527
"MAGE","Fireblast",53285,27179
"PALADIN","Reinforce",53217,24488
"ROGUE","Bloodmage Thalnos",52556,25394
"MAGE","Kazakus Potion",52525,31690
"MAGE","Sorcerer's Apprentice",52307,24508
"ROGUE","Argent Horserider",52063,25573
"PALADIN","Bluegill Warrior",51394,25535
"PALADIN","Consecration",51067,24802
"PRIEST","Blackwing Technician",49767,24913
"PALADIN","Aldor Peacekeeper",49212,21875
"PALADIN","Doomsayer",48599,22972
"WARRIOR","Patches the Pirate",48586,16398
"PRIEST","Mind Spike",48554,29406
"WARLOCK","Kazakus Potion",48161,28688
"WARRIOR","Alley Armorsmith",47952,22534
"MAGE","Flamewaker",47195,23090
"SHAMAN","Healing Wave",47123,22821
"MAGE","Mirror Image",46992,21611
"WARLOCK","Kabal Courier",46939,23607
"WARRIOR","Shapeshift",46342,18303
"WARRIOR","Brawl",46178,17019
"MAGE","Roaring Torch",45973,25853
"MAGE","Mistress of Mixtures",45771,22359
"PRIEST","Entomb",45421,21770
"PRIEST","Kazakus",45273,24815
"PRIEST","Defender of Argus",45241,24726
"PALADIN","Murloc Warleader",45184,23595
"WARRIOR","Drakonid Crusher",44042,24593
"ROGUE","Argent Squire",43823,20631
"PALADIN","Acolyte of Pain",43336,20960
"PALADIN","Equality",43152,20930
"SHAMAN","Fireblast",41825,15969
"ROGUE","Undercity Huckster",41775,18941
"PRIEST","Doomsayer",41387,17647
"WARLOCK","Ragnaros the Firelord",40763,25939
"WARLOCK","Faceless Manipulator",40482,28452
"ROGUE","Shadowstep",40437,20038
"WARLOCK","Leeroy Jenkins",40356,32856
"MAGE","Manic Soulcaster",40216,22573
"MAGE","Ice Barrier",38464,18274
"PRIEST","Kabal Courier",38088,18709
"MAGE","Kazakus Potion",38059,21369
"WARRIOR","Acolyte of Pain",37943,17114
"PRIEST","Excavated Evil",36963,16887
"WARRIOR","Dirty Rat",36803,16940
"PALADIN","The Coin",36616,15760
"ROGUE","Patches the Pirate",36590,13246
"WARLOCK","Corruption",36026,16646
"ROGUE","Shaku, the Collector",35814,17592
"WARRIOR","Revenge",35614,15881
"MAGE","Ice Lance",35441,18184
"PRIEST","Raza the Chained",34648,19720
"PRIEST","Ysera",33812,20293
"PALADIN","Wild Pyromancer",33466,15174
"WARRIOR","Acidic Swamp Ooze",33186,14567
"MAGE","Mind Control Tech",32447,15955
"PRIEST","Priest of the Feast",32406,15667
"DRUID","Bloodmage Thalnos",32289,17145
"PALADIN","Ivory Knight",32060,15977
"PALADIN","Solemn Vigil",32032,17033
"MAGE","Loot Hoarder",31398,14838
"HUNTER","Animal Companion",31199,13869
"WARRIOR","Grommash Hellscream",30901,16613
"WARRIOR","Faerie Dragon",30818,13680
"ROGUE","Jade Shuriken",29550,14901
"PRIEST","Heal",29148,17174
"ROGUE","Shadow Strike",28439,12798
"SHAMAN","Shapeshift",28409,10295
"WARLOCK","Spellbreaker",27968,14361
"ROGUE","Shiv",27060,13623
"ROGUE","Deadly Poison",26906,12520
"MAGE","Second-Rate Bruiser",26874,13432
"ROGUE","Jade Swarmer",26822,13126
"PRIEST","Reno Jackson",26819,14660
"WARRIOR","Justicar Trueheart",26259,12816
"WARRIOR","Argent Horserider",25849,12154
"PALADIN","Tirion Fordring",25576,13568
"WARRIOR","Ragnaros the Firelord",25471,12586
"MAGE","Ethereal Conjurer",25365,12753
"MAGE","Burgly Bully",25303,14008
"PALADIN","Loot Hoarder",25156,11262
"WARLOCK","Flame Imp",24882,11345
"PALADIN","Anyfin Can Happen",24786,17510
"WARRIOR","Gorehowl",24674,11789
"PRIEST","Holy Smite",24487,12005
"MAGE","Cult Sorcerer",24454,11355
"SHAMAN","Evolve",23967,12795
"PALADIN","Grimestreet Outfitter",23451,9552
"PALADIN","Smuggler's Run",23450,9583
"WARRIOR","The Curator",22808,11206
"MAGE","Medivh, the Guardian",22735,14269
"HUNTER","Kill Command",22733,10581
"DRUID","Dark Arakkoa",22703,11769
"DRUID","Doomsayer",22667,10177
"DRUID","Moonfire",22440,12361
"PRIEST","Inner Fire",22320,12402
"WARLOCK","Possessed Villager",22218,10253
"PRIEST","Ragnaros the Firelord",22102,13028
"SHAMAN","Acidic Swamp Ooze",22056,10877
"DRUID","Naturalize",21971,10005
"WARRIOR","Naga Corsair",21504,10150
"ROGUE","Unearthed Raptor",21494,10820
"HUNTER","Eaglehorn Bow",21485,9742
"MAGE","Flame Lance",21272,10773
"PRIEST","Kabal Songstealer",21237,10748
"HUNTER","Quick Shot",21227,9084
"SHAMAN","White Eyes",20889,10443
"PRIEST","Thoughtsteal",20536,9526
"HUNTER","Kindly Grandmother",20313,8994
"WARRIOR","Blood To Ichor",20193,9558
"WARRIOR","Elise Starseeker",20039,8988
"HUNTER","The Coin",19967,8377
"ROGUE","Jade Spirit",19722,9744
"MAGE","Ragnaros the Firelord",19688,10842
"PRIEST","Museum Curator",19659,9429
"PRIEST","Kazakus Potion",19465,11987
"ROGUE","Naga Corsair",19303,9497
"ROGUE","Beneath the Grounds",18994,8966
"WARLOCK","Malchezaar's Imp",18669,8944
"HUNTER","Savannah Highmane",18270,8861
"PALADIN","Barnes",18186,9227
"ROGUE","Xaril, Poisoned Mind",18124,8234
"PRIEST","Chillmaw",18082,7645
"SHAMAN","Lava Shock",17972,8650
"MAGE","Inkmaster Solia",17795,9846
"DRUID","Power of the Wild",17698,8630
"DRUID","Mire Keeper",17542,8895
"ROGUE","Barnes",17532,8744
"ROGUE","Sinister Strike",17384,11676
"WARRIOR","Bloodhoof Brave",17110,7128
"PALADIN","Ragnaros, Lightlord",16995,9157
"PALADIN","Wickerflame Burnbristle",16879,7957
"PALADIN","Finja, the Flying Star",16845,10073
"DRUID","Acidic Swamp Ooze",16788,7922
"DRUID","Enchanted Raven",16583,7431
"SHAMAN","Ragnaros the Firelord",16558,9132
"MAGE","Mirror Entity",16349,8371
"MAGE","Counterspell",16156,8900
"WARLOCK","Kazakus Potion",16119,7657
"PRIEST","Dirty Rat",16030,7692
"WARLOCK","Felfire Potion",15965,8546
"SHAMAN","Thunder Bluff Valiant",15867,8399
"PALADIN","Forbidden Healing",15818,6954
"PRIEST","Kazakus Potion",15722,8634
"HUNTER","Houndmaster",15693,7727
"SHAMAN","Kobold Geomancer",15674,7408
"DRUID","Arcane Giant",15623,9076
"WARRIOR","Cruel Taskmaster",15401,7126
"WARRIOR","Tank Up!",15345,7375
"HUNTER","Explosive Trap",15138,5822
"ROGUE","Bluegill Warrior",15066,7778
"PRIEST","Cabal Shadow Priest",14866,8312
"WARLOCK","Doomguard",14797,7334
"HUNTER","Unleash the Hounds",14783,5891
"DRUID","Mark of Y'Shaarj",14605,7208
"ROGUE","Journey Below",14444,6363
"MAGE","Novice Engineer",14427,6923
"ROGUE","Coldlight Oracle",14406,8204
"SHAMAN","Fire Elemental",14398,7237
"PRIEST","Sylvanas Windrunner",14146,7110
"PRIEST","Divine Spirit",14031,7605
"PALADIN","Grimestreet Enforcer",14013,6234
"PRIEST","Auchenai Soulpriest",13998,5758
"MAGE","Pyroblast",13965,10067
"DRUID","Moonglade Portal",13762,6158
"MAGE","Arcane Explosion",13721,6416
"DRUID","Disciple of C'Thun",13641,6706
"ROGUE","Aya Blackpaw",13631,7819
"MAGE","Freezing Potion",13622,6372
"PRIEST","Acolyte of Pain",13201,5325
"DRUID","Kun the Forgotten King",13124,9466
"SHAMAN","Elemental Destruction",12978,5283
"SHAMAN","Ancestral Knowledge",12922,6088
"MAGE","Faceless Summoner",12903,6541
"PALADIN","Mistress of Mixtures",12894,5438
"WARLOCK","Darkshire Councilman",12792,5775
"PALADIN","Azure Drake",12708,6569
"PRIEST","Faerie Dragon",12687,5665
"DRUID","Mark of the Lotus",12537,6762
"MAGE","Cone of Cold",12439,5725
"WARRIOR","Sylvanas Windrunner",12342,5732
"ROGUE","Southsea Captain",12228,5935
"PRIEST","Mass Dispel",12187,5511
"SHAMAN","Doppelgangster",12171,6672
"SHAMAN","Jeweled Scarab",12152,5927
"PRIEST","Shifting Shade",12126,6137
"WARRIOR","Lesser Heal",12025,4337
"DRUID","Aviana",11920,8807
"MAGE","Potion of Polymorph",11852,6160
"PRIEST","Nefarian",11734,6369
"PRIEST","Loot Hoarder",11650,4784
"HUNTER","King's Elekk",11621,5020
"PALADIN","Argent Horserider",11542,4783
"SHAMAN","Barnes",11537,5760
"DRUID","Ragnaros the Firelord",11525,6451
"PRIEST","Emperor Thaurissan",11520,5930
"ROGUE","Murloc Warleader",11415,5705
"WARRIOR","Totemic Call",11401,3522
"HUNTER","Freezing Trap",11380,4924
"ROGUE","Burgle",11352,4545
"SHAMAN","Doomhammer",11306,5709
"WARLOCK","Abusive Sergeant",11280,5480
"DRUID","Mark of the Wild",11180,5261
"WARLOCK","Dire Wolf Alpha",11167,5254
"ROGUE","Buccaneer",11093,5197
