predator_class,predator_name,num_patches_killed
HUNTER,Ragnaros the Firelord,37
SHAMAN,Backstab,37
PRIEST,Small-Time Buccaneer,37
ROGUE,White Eyes,36
PRIEST,Midnight Drake,36
SHAMAN,Volcanic Potion,36
HUNTER,Fireblast,36
WARRIOR,Second-Rate Bruiser,36
HUNTER,Slime,36
PRIEST,Flamestrike,36
ROGUE,Unbound Elemental,36
ROGUE,Alexstrasza's Champion,36
DRUID,Chillmaw,35
MAGE,Argent Horserider,35
ROGUE,Bloodhoof Brave,35
ROGUE,Coldlight Oracle,35
SHAMAN,Black Whelp,35
SHAMAN,Harrison Jones,35
DRUID,Dirty Rat,35
PALADIN,Blowgill Sniper,35
SHAMAN,Shieldbearer,35
DRUID,Bloodsail Corsair,35
DRUID,Revenge,35
DRUID,Bloodmage Thalnos,34
PRIEST,Searing Totem,34
WARLOCK,Kabal Trafficker,34
ROGUE,Flamewreathed Faceless,34
PRIEST,Elise Starseeker,34
SHAMAN,Dragonfire Potion,34
SHAMAN,Master of Evolution,34
MAGE,Mortal Coil,34
MAGE,Demonfire,34
WARRIOR,C'Thun's Chosen,34
DRUID,Flamestrike,34
PRIEST,Chromaggus,34
MAGE,Doomguard,33
MAGE,Darkshire Alchemist,33
MAGE,Bluegill Warrior,33
PALADIN,Grimestreet Informant,33
DRUID,Tentacle of N'Zoth,33
PRIEST,Edwin VanCleef,33
PALADIN,Ragnaros the Firelord,33
WARLOCK,Gadgetzan Jouster,33
PRIEST,Dread Corsair,33
WARRIOR,Grimestreet Informant,33
SHAMAN,The Curator,33
DRUID,Argent Horserider,32
SHAMAN,Silver Hand Recruit,32
HUNTER,Dire Wolf Alpha,32
MAGE,Gurubashi Berserker,32
PALADIN,Chillmaw,32
WARLOCK,Crazed Alchemist,32
MAGE,Coldlight Oracle,32
HUNTER,Sir Finley Mrrgglton,32
SHAMAN,Ravaging Ghoul,32
DRUID,Treant,32
DRUID,Volcanic Potion,32
PRIEST,Wrathion,32
DRUID,Sunwalker,32
DRUID,Consecration,32
PRIEST,Arcane Blast,32
PRIEST,Harrison Jones,32
ROGUE,Violet Teacher,32
ROGUE,C'Thun,32
PALADIN,Harvest Golem,31
MAGE,C'Thun,31
DRUID,Hellfire,31
PRIEST,Drakonid Crusher,31
DRUID,Slime,31
SHAMAN,Nerubian Prophet,31
ROGUE,Fireguard Destroyer,31
WARRIOR,Soggoth the Slitherer,31
WARRIOR,Cairne Bloodhoof,31
WARLOCK,Harvest Golem,31
SHAMAN,Abyssal Enforcer,31
DRUID,Cleave,31
PRIEST,Kor'kron Elite,31
HUNTER,Flame Juggler,30
DRUID,Menagerie Warden,30
SHAMAN,Tuskarr Totemic,30
PALADIN,Earthen Ring Farseer,30
WARRIOR,Ancient Shieldbearer,30
PALADIN,Whelp,30
SHAMAN,Jeweled Scarab,30
WARLOCK,Youthful Brewmaster,30
MAGE,Boar,30
WARLOCK,Unlicensed Apothecary,30
MAGE,Patches the Pirate,30
DRUID,Crazed Worshipper,30
WARRIOR,Silver Hand Recruit,30
DRUID,Twilight Guardian,29
PRIEST,Holy Champion,29
MAGE,Avian Watcher,29
ROGUE,Alley Armorsmith,29
PALADIN,Mind Control Tech,29
ROGUE,Stranglethorn Tiger,29
PRIEST,Whelp,29
DRUID,Dragonfire Potion,29
PRIEST,Djinni of Zephyrs,29
DRUID,Infested Tauren,29
ROGUE,Tentacle of N'Zoth,29
PALADIN,Psych-o-Tron,29
DRUID,Aviana,28
ROGUE,Shadowcaster,28
PRIEST,Aya Blackpaw,28
PRIEST,Buccaneer,28
PRIEST,"Finja, the Flying Star",28
WARLOCK,Dark Bargain,28
DRUID,Forked Lightning,28
PRIEST,Onyx Bishop,28
PRIEST,Questing Adventurer,28
ROGUE,Frothing Berserker,28
MAGE,Stampeding Kodo,28
ROGUE,Defias Bandit,28
DRUID,Multi-Shot,28
WARLOCK,Twin Emperor Vek'lor,28
PALADIN,Dragon Consort,27
DRUID,Alexstrasza,27
MAGE,Totem Golem,27
WARLOCK,Totem Golem,27
SHAMAN,Second-Rate Bruiser,27
WARLOCK,Stonetusk Boar,27
PRIEST,Dark Iron Skulker,27
WARRIOR,Ysera,27
DRUID,Holy Nova,27
PALADIN,Doppelgangster,27
MAGE,Elise Starseeker,27
WARLOCK,Forgotten Torch,27
MAGE,Psych-o-Tron,27
WARLOCK,Flamestrike,27
PRIEST,Hozen Healer,27
PRIEST,Scaled Nightmare,27
ROGUE,Gadgetzan Ferryman,27
PALADIN,Doppelgangster,27
PRIEST,Twilight Flamecaller,27
ROGUE,Thing from Below,26
DRUID,Burgly Bully,26
SHAMAN,Demonwrath,26
HUNTER,Argent Squire,26
PALADIN,Backstab,26
PRIEST,Shadowflame,26
WARLOCK,Sergeant Sally,26
PALADIN,Knife Juggler,26
PALADIN,Defender,26
WARRIOR,Hellfire,26
DRUID,"Yogg-Saron, Hope's End",26
PRIEST,Youthful Brewmaster,26
PALADIN,Twilight Geomancer,26
ROGUE,Shady Dealer,26
WARRIOR,Tentacle of N'Zoth,26
ROGUE,Jungle Panther,26
DRUID,Faerie Dragon,26
MAGE,Ethereal Arcanist,26
WARLOCK,Bilefin Tidehunter,26
WARLOCK,Friendly Bartender,25
MAGE,Red Mana Wyrm,25
DRUID,Treant,25
MAGE,Crazed Worshipper,25
DRUID,Sen'jin Shieldmasta,25
MAGE,Chillmaw,25
HUNTER,Grimestreet Smuggler,25
DRUID,Corrupted Seer,25
DRUID,Spreading Madness,25
ROGUE,Sylvanas Windrunner,25
SHAMAN,Chillmaw,25
WARLOCK,Tunnel Trogg,25
WARRIOR,Twilight Elder,25
ROGUE,Ragnaros the Firelord,25
SHAMAN,Lotus Agents,25
MAGE,Grook Fu Master,24
PRIEST,Fierce Monkey,24
PALADIN,Sylvanas Windrunner,24
WARLOCK,Young Priestess,24
WARLOCK,Flamewreathed Faceless,24
MAGE,Grim Patron,24
WARRIOR,Flame Juggler,24
WARLOCK,Blood Imp,24
DRUID,Greater Arcane Missiles,24
PRIEST,Drain Life,24
SHAMAN,Excavated Evil,24
ROGUE,Abomination,24
WARLOCK,Southsea Deckhand,24
ROGUE,Magnataur Alpha,24
WARRIOR,Captain Greenskin,24
MAGE,Spirit Wolf,23
SHAMAN,Fireguard Destroyer,23
PALADIN,Murloc Knight,23
WARLOCK,Frostbolt,23
PRIEST,C'Thun,23
WARRIOR,Twin Emperor Vek'lor,23
WARRIOR,Twin Emperor Vek'nilash,23
ROGUE,Shadow Sensei,23
WARRIOR,Public Defender,23
MAGE,Earth Elemental,23
ROGUE,Wicked Witchdoctor,23
PRIEST,Confessor Paletress,23
WARRIOR,Grimestreet Smuggler,23
ROGUE,Thunder Bluff Valiant,23
WARLOCK,Kabal Demon,23
MAGE,Darkscale Healer,22
MAGE,Ysera Awakens,22
WARLOCK,Book Wyrm,22
PRIEST,Alexstrasza,22
SHAMAN,Sylvanas Windrunner,22
WARLOCK,Forbidden Flame,22
WARRIOR,Grimestreet Pawnbroker,22
PALADIN,Silent Knight,22
MAGE,Alley Armorsmith,22
ROGUE,Fierce Monkey,22
PRIEST,Huge Toad,22
PRIEST,Jade Shuriken,22
DRUID,Demonwrath,22
PRIEST,Lava Burst,22
WARLOCK,Dark Iron Dwarf,22
DRUID,Wisp,21
PALADIN,Argent Commander,21
MAGE,Drakonid Operative,21
PRIEST,Thing from Below,21
PALADIN,Steward of Darkshire,21
WARLOCK,Gul'dan,21
ROGUE,Volcanic Potion,21
PRIEST,Nefarian,21
ROGUE,Southsea Squidface,21
WARLOCK,Leeroy Jenkins,21
WARRIOR,Reno Jackson,21
DRUID,Zoobot,20
ROGUE,Deadly Fork,20
DRUID,Reno Jackson,20
ROGUE,Jade Golem,20
WARLOCK,Tournament Attendee,20
SHAMAN,Hallazeal the Ascended,20
WARRIOR,Powershot,20
SHAMAN,Emperor Thaurissan,20
ROGUE,Tunnel Trogg,20
MAGE,Clockwork Knight,20
MAGE,Sen'jin Shieldmasta,20
SHAMAN,Murloc Scout,20
MAGE,Knuckles,20
SHAMAN,Doppelgangster,20
PALADIN,Whelp,20
ROGUE,Hallazeal the Ascended,20
PRIEST,Spreading Madness,20
ROGUE,Patient Assassin,20
ROGUE,Lotus Illusionist,20
MAGE,Soulfire,20
MAGE,Gadgetzan Auctioneer,20
PALADIN,Abusive Sergeant,20
DRUID,Abomination,19
MAGE,Frostwolf Warlord,19
MAGE,Ethereal Peddler,19
MAGE,Spiked Hogrider,19
MAGE,Streetwise Investigator,19
PALADIN,Bloodsail Raider,19
PRIEST,Forbidden Flame,19
WARRIOR,Corrupted Seer,19
PRIEST,Mad Bomber,19
PRIEST,Murloc Warleader,19
ROGUE,Lotus Assassin,19
PRIEST,Slime,19
DRUID,Lance Carrier,19
PRIEST,Kobold Geomancer,19
MAGE,Prince Malchezaar,19
WARRIOR,Crazed Worshipper,19
PALADIN,Grimestreet Protector,19
PALADIN,Murloc Tidehunter,19
WARRIOR,Coldlight Oracle,19
PRIEST,Bane of Doom,19
ROGUE,Bloodsail Raider,19
PALADIN,Coldlight Seer,19
WARLOCK,Felguard,19
WARRIOR,Murloc Tinyfin,19
WARLOCK,Greater Arcane Missiles,19
WARRIOR,Argent Commander,19
WARRIOR,Arathi Weaponsmith,19
ROGUE,Chillmaw,19
MAGE,Usher of Souls,19
PALADIN,Holy Wrath,19
PALADIN,Murloc Scout,19
PRIEST,Laughing Sister,19
WARLOCK,Dread Infernal,19
MAGE,Twilight Elder,19
HUNTER,"Finja, the Flying Star",18
ROGUE,Violet Apprentice,18
MAGE,Bloodsail Raider,18
ROGUE,The Mistcaller,18
PALADIN,Silver Hand Murloc,18
WARRIOR,Emperor Thaurissan,18
SHAMAN,Doppelgangster,18
WARRIOR,Barnes,18
WARLOCK,Dread Corsair,18
PALADIN,Eadric the Pure,18
ROGUE,Dragonfire Potion,18
PRIEST,Hooded Acolyte,18
PALADIN,Ysera Awakens,18
PRIEST,Demonfire,18
PRIEST,Cone of Cold,18
PALADIN,Beckoner of Evil,18
MAGE,Tuskarr Jouster,18
DRUID,Astral Communion,18
MAGE,Darkspeaker,18
WARLOCK,Twin Emperor Vek'nilash,18
PALADIN,Doppelgangster,18
HUNTER,Patches the Pirate,18
WARLOCK,Ravaging Ghoul,18
ROGUE,Burgly Bully,18
DRUID,Cenarius,17
PRIEST,C'Thun's Chosen,17
MAGE,Cryomancer,17
MAGE,Spiteful Smith,17
PALADIN,Book Wyrm,17
MAGE,Shadowcaster,17
WARLOCK,Bloodsail Raider,17
WARLOCK,Cyclopian Horror,17
MAGE,Baron Geddon,17
HUNTER,Mistress of Mixtures,17
MAGE,Dragon Consort,17
ROGUE,Bloodsail Cultist,17
MAGE,Elemental Destruction,17
MAGE,Shado-Pan Rider,17
MAGE,Captain Greenskin,17
MAGE,Kabal Demon,17
PRIEST,Cairne Bloodhoof,17
HUNTER,Southsea Deckhand,17
ROGUE,Kor'kron Elite,17
ROGUE,Lava Burst,17
ROGUE,Slime,17
MAGE,Kor'kron Elite,17
MAGE,Booty Bay Bodyguard,17
SHAMAN,Flame Juggler,17
MAGE,Frothing Berserker,17
MAGE,Fen Creeper,17
PRIEST,Tomb Pillager,17
SHAMAN,Twilight Drake,17
SHAMAN,Lightning Jolt,17
WARLOCK,Frothing Berserker,17
WARLOCK,Kor'kron Elite,17
PRIEST,Forgotten Torch,17
WARLOCK,Abomination,17
MAGE,Djinni of Zephyrs,17
ROGUE,Warsong Commander,17
PRIEST,Slam,17
PRIEST,Auctionmaster Beardo,16
PRIEST,Wisp,16
DRUID,Ancient of Blossoms,16
WARLOCK,Barnes,16
MAGE,Silver Hand Knight,16
WARLOCK,Stampeding Kodo,16
MAGE,Raza the Chained,16
WARRIOR,Twilight Drake,16
MAGE,Ravaging Ghoul,16
MAGE,Starving Buzzard,16
ROGUE,Master of Evolution,16
PALADIN,Elven Archer,16
WARLOCK,Dreadsteed,16
PALADIN,Reno Jackson,16
WARRIOR,Loot Hoarder,16
ROGUE,Eternal Sentinel,16
PRIEST,Elemental Destruction,16
ROGUE,Grimestreet Pawnbroker,16
MAGE,Netherspite Historian,16
WARLOCK,Big Game Hunter,16
MAGE,Leeroy Jenkins,16
PRIEST,Baron Geddon,16
PALADIN,Coldlight Oracle,16
WARLOCK,Twilight Flamecaller,16
ROGUE,Wild Pyromancer,16
MAGE,Bomb Squad,16
SHAMAN,Bilefin Tidehunter,16
MAGE,Spellbreaker,16
WARLOCK,Toxic Sewer Ooze,16
ROGUE,Hobart Grapplehammer,16
ROGUE,Blackwing Corruptor,16
SHAMAN,Ysera Awakens,16
PALADIN,Sunwalker,16
MAGE,Faceless Manipulator,16
WARLOCK,Arcane Anomaly,16
WARLOCK,Corrupted Seer,16
HUNTER,Timber Wolf,15
MAGE,Hallazeal the Ascended,15
MAGE,Onyx Bishop,15
PRIEST,Sergeant Sally,15
WARLOCK,Sir Finley Mrrgglton,15
SHAMAN,Cairne Bloodhoof,15
ROGUE,Malygos,15
WARLOCK,Thing from Below,15
WARLOCK,Fireblast,15
PALADIN,Ancient of Blossoms,15
WARRIOR,Pawn,15
DRUID,Ysera,15
WARRIOR,Avenging Wrath,15
ROGUE,Beckoner of Evil,15
MAGE,Nightblade,15
SHAMAN,Book Wyrm,15
PALADIN,Runic Egg,15
WARLOCK,Bloodsail Cultist,15
PRIEST,Nexus-Champion Saraad,15
HUNTER,Blackwing Corruptor,15
WARRIOR,Prince Malchezaar,15
MAGE,Bloodsail Cultist,15
DRUID,Flame Lance,15
MAGE,Venture Co. Mercenary,15
WARLOCK,Chillmaw,15
MAGE,Lotus Agents,15
WARRIOR,Malkorok,15
SHAMAN,Wild Pyromancer,15
WARLOCK,Mad Bomber,15
DRUID,Explosive Shot,15
MAGE,Dark Iron Skulker,14
MAGE,Nexus-Champion Saraad,14
PALADIN,Black Whelp,14
MAGE,Tunnel Trogg,14
PALADIN,Harrison Jones,14
ROGUE,Excavated Evil,14
PRIEST,Kabal Demon,14
MAGE,Servant of Yogg-Saron,14
ROGUE,Windspeaker,14
PRIEST,Bash,14
WARRIOR,Explosive Trap,14
MAGE,Doppelgangster,14
DRUID,Madam Goya,14
PALADIN,Novice Engineer,14
MAGE,Felguard,14
PRIEST,Hobart Grapplehammer,14
WARLOCK,Edwin VanCleef,14
SHAMAN,Bloodsail Raider,14
WARRIOR,Baine Bloodhoof,14
WARRIOR,Dragonfire Potion,14
HUNTER,Knuckles,14
WARRIOR,Excavated Evil,14
MAGE,Cult Apothecary,14
ROGUE,Demonwrath,14
MAGE,Grimestreet Enforcer,14
WARLOCK,Arcane Missiles,14
PALADIN,Huge Toad,14
WARRIOR,Mistress of Mixtures,14
PRIEST,Sen'jin Shieldmasta,14
HUNTER,Dreadscale,14
SHAMAN,Doppelgangster,14
PALADIN,Baron Geddon,14
WARLOCK,Southsea Captain,14
PALADIN,Refreshment Vendor,14
PALADIN,Grimscale Oracle,14
WARLOCK,Elise Starseeker,14
DRUID,Cairne Bloodhoof,13
MAGE,Wild Pyromancer,13
MAGE,Kvaldir Raider,13
ROGUE,Dread Corsair,13
PALADIN,Tuskarr Jouster,13
WARLOCK,Psych-o-Tron,13
MAGE,Stranglethorn Tiger,13
PALADIN,Stonetusk Boar,13
PRIEST,Bloodsail Cultist,13
MAGE,Tentacle of N'Zoth,13
ROGUE,Grimy Gadgeteer,13
PALADIN,Twilight Drake,13
PALADIN,Sunfury Protector,13
PRIEST,Twin Emperor Vek'lor,13
DRUID,Avenging Wrath,13
WARLOCK,Blowgill Sniper,13
MAGE,Lotus Assassin,13
PRIEST,Earthen Ring Farseer,13
PRIEST,Ravaging Ghoul,13
HUNTER,Whelp,13
ROGUE,Twilight Guardian,13
WARRIOR,Wisp,13
SHAMAN,Infested Tauren,13
MAGE,Blackwing Technician,13
PALADIN,Dread Corsair,13
WARLOCK,SI:7 Agent,13
PRIEST,Volcanic Drake,13
WARRIOR,Lightning Storm,13
WARLOCK,Murloc Raider,13
PRIEST,Emerald Drake,13
ROGUE,Draenei Totemcarver,13
PRIEST,Mortal Strike,13
MAGE,Priest of the Feast,13
DRUID,Silver Hand Recruit,12
ROGUE,Orgrimmar Aspirant,12
DRUID,Mind Control Tech,12
SHAMAN,Wobbling Runts,12
DRUID,Powershot,12
WARLOCK,Small-Time Buccaneer,12
DRUID,Hammer of Wrath,12
MAGE,Southsea Deckhand,12
HUNTER,Murloc Warleader,12
WARLOCK,Mind Spike,12
PALADIN,Sergeant Sally,12
WARLOCK,Doomsayer,12
PRIEST,Argent Squire,12
WARLOCK,Jade Golem,12
PRIEST,Fireblast,12
MAGE,Kabal Demon,12
ROGUE,"N'Zoth, the Corruptor",12
PALADIN,Fight Promoter,12
WARLOCK,Black Whelp,12
WARRIOR,Consecration,12
WARRIOR,Abomination,12
ROGUE,Twilight Elder,12
DRUID,Pantry Spider,12
DRUID,Sea Reaver,12
WARLOCK,Sea Giant,12
MAGE,Ram Wrangler,12
PALADIN,Elise Starseeker,12
MAGE,Thunder Bluff Valiant,12
WARRIOR,Arcane Shot,12
MAGE,Imp Gang Boss,12
DRUID,Wobbling Runts,12
ROGUE,Dirty Rat,12
MAGE,White Eyes,12
WARRIOR,Amani Berserker,12
ROGUE,Shadow Rager,12
DRUID,Acolyte of Pain,12
SHAMAN,Knife Juggler,12
DRUID,Holy Smite,12
DRUID,Sunfury Protector,12
SHAMAN,Felfire Potion,12
MAGE,Youthful Brewmaster,12
MAGE,Mukla's Champion,12
ROGUE,Arcanosmith,12
SHAMAN,Abomination,12
MAGE,Dread Corsair,12
MAGE,Book Wyrm,12
PRIEST,"Medivh, the Guardian",12
MAGE,Demented Frostcaller,12
MAGE,Consecration,12
DRUID,Jade Shuriken,11
MAGE,Pit Fighter,11
DRUID,"Y'Shaarj, Rage Unbound",11
PALADIN,Bloodsail Corsair,11
ROGUE,Armorsmith,11
WARLOCK,Murloc Tinyfin,11
HUNTER,Worgen Infiltrator,11
WARLOCK,Ysera Awakens,11
MAGE,Kabal Songstealer,11
DRUID,Arcane Explosion,11
ROGUE,Argent Commander,11
PRIEST,Arcane Missiles,11
MAGE,Jade Spirit,11
WARLOCK,Gadgetzan Auctioneer,11
SHAMAN,Kazakus Potion,11
WARLOCK,Cone of Cold,11
DRUID,Icehowl,11
DRUID,Jade Golem,11
DRUID,Maelstrom Portal,11
WARRIOR,Sen'jin Shieldmasta,11
PALADIN,Cairne Bloodhoof,11
HUNTER,Sylvanas Windrunner,11
PRIEST,Stormwind Knight,11
MAGE,Murloc Warleader,11
SHAMAN,Defender of Argus,11
SHAMAN,Kazakus Potion,11
ROGUE,Silent Knight,11
DRUID,Cellar Spider,11
WARLOCK,Lowly Squire,11
MAGE,Druid of the Claw,11
MAGE,Naga Sea Witch,11
MAGE,Princess Huhuran,11
PRIEST,Grommash Hellscream,11
PALADIN,Dragon Egg,11
ROGUE,C'Thun's Chosen,11
ROGUE,Cairne Bloodhoof,11
WARLOCK,Alexstrasza,11
WARRIOR,Skycap'n Kragg,11
MAGE,Jeweled Scarab,11
PALADIN,Abomination,11
PALADIN,Murloc Tinyfin,11
PRIEST,Jade Golem,11
SHAMAN,Jade Golem,11
PRIEST,Selfless Hero,11
ROGUE,Grimestreet Informant,11
HUNTER,Stranglethorn Tiger,10
ROGUE,Grommash Hellscream,10
SHAMAN,Naga Corsair,10
PRIEST,War Kodo,10
MAGE,Fireblast Rank 2,10
SHAMAN,Burgly Bully,10
PRIEST,Southsea Captain,10
WARRIOR,Bloodsail Corsair,10
WARLOCK,Injured Kvaldir,10
DRUID,Dragon's Breath,10
SHAMAN,Coldlight Seer,10
MAGE,Dread Infernal,10
WARLOCK,Flamewaker,10
PRIEST,Malygos,10
PRIEST,Prophet Velen,10
PRIEST,Gnomish Inventor,10
DRUID,Lava Shock,10
WARRIOR,Mind Control Tech,10
DRUID,Mind Spike,10
PRIEST,Crazed Worshipper,10
MAGE,Virmen Sensei,10
PRIEST,Heal,10
MAGE,Corrupted Healbot,10
MAGE,SI:7 Agent,10
PALADIN,Emperor Thaurissan,10
ROGUE,Sir Finley Mrrgglton,10
HUNTER,Brann Bronzebeard,10
MAGE,Stormpike Commando,10
MAGE,Jade Golem,10
DRUID,Jade Lightning,10
WARLOCK,Lightwarden,10
DRUID,Youthful Brewmaster,10
DRUID,Snipe,10
WARLOCK,"Finja, the Flying Star",10
ROGUE,Blood To Ichor,10
WARLOCK,Infested Tauren,10
SHAMAN,Baine Bloodhoof,10
MAGE,Infested Tauren,10
ROGUE,Sparring Partner,10
PALADIN,Secretkeeper,10
WARRIOR,Hammer of Wrath,10
WARRIOR,Explosive Shot,10
PRIEST,Shadowfiend,10
HUNTER,Twilight Guardian,10
MAGE,Holy Fire,10
HUNTER,Grimestreet Informant,9
MAGE,Faerie Dragon,9
ROGUE,Mind Control Tech,9
PRIEST,Injured Kvaldir,9
PALADIN,Ravaging Ghoul,9
PRIEST,Mana Wyrm,9
PRIEST,Mortal Coil,9
DRUID,Abyssal Enforcer,9
PRIEST,Arcane Explosion,9
DRUID,Arcane Shot,9
PRIEST,Crazed Alchemist,9
HUNTER,Harvest Golem,9
ROGUE,Hellfire,9
PRIEST,Consecration,9
ROGUE,Harvest Golem,9
PRIEST,Greater Arcane Missiles,9
MAGE,Kobold Geomancer,9
SHAMAN,Silent Knight,9
PALADIN,Slam,9
ROGUE,Faerie Dragon,9
PALADIN,Explosive Trap,9
MAGE,Soggoth the Slitherer,9
PRIEST,Nerubian,9
MAGE,The Curator,9
ROGUE,Abyssal Enforcer,9
ROGUE,Mortal Strike,9
WARRIOR,Holy Nova,9
DRUID,Frostbolt,9
WARLOCK,Zealous Initiate,9
ROGUE,Jade Chieftain,9
MAGE,Auctionmaster Beardo,9
SHAMAN,Leeroy Jenkins,9
PALADIN,Dire Wolf Alpha,9
WARLOCK,Alexstrasza's Champion,9
WARLOCK,Prince Malchezaar,9
DRUID,Menagerie Magician,9
PRIEST,Mind Shatter,9
PRIEST,Twin Emperor Vek'nilash,9
PALADIN,Arcane Shot,9
WARRIOR,Kazakus Potion,9
DRUID,Huge Toad,9
DRUID,Blackwing Technician,9
WARLOCK,Murloc Warleader,9
DRUID,Fire Elemental,9
WARRIOR,Shadowflame,9
WARLOCK,Jade Golem,9
WARRIOR,Dispatch Kodo,9
WARLOCK,Fierce Monkey,9
MAGE,Flamewreathed Faceless,9
MAGE,Harvest Golem,9
DRUID,Cone of Cold,9
PRIEST,Flamewaker,9
PRIEST,Flash Heal,9
MAGE,Animated Armor,9
MAGE,Tomb Pillager,9
WARRIOR,Demonwrath,9
DRUID,Worgen Infiltrator,8
DRUID,Bane of Doom,8
MAGE,Southsea Captain,8
MAGE,Dreadsteed,8
MAGE,Kabal Talonpriest,8
MAGE,Menagerie Magician,8
MAGE,Twilight Darkmender,8
MAGE,Rhonin,8
PRIEST,Onyxia,8
MAGE,Jinyu Waterspeaker,8
WARRIOR,Grim Patron,8
WARLOCK,Sunwalker,8
ROGUE,N'Zoth's First Mate,8
DRUID,Lord of the Arena,8
WARLOCK,Lesser Heal,8
WARLOCK,Coldlight Seer,8
PALADIN,Mad Bomber,8
WARLOCK,Void Terror,8
PRIEST,Toxic Sewer Ooze,8
DRUID,Sideshow Spelleater,8
ROGUE,Corrupted Seer,8
WARLOCK,Elemental Destruction,8
MAGE,Validated Doomsayer,8
WARLOCK,Jade Golem,8
PRIEST,Murloc Tinyfin,8
WARLOCK,Hungry Crab,8
SHAMAN,Ancient of Blossoms,8
MAGE,Anubisath Sentinel,8
WARLOCK,Kabal Demon,8
MAGE,Fierce Monkey,8
HUNTER,Corrupted Seer,8
WARRIOR,Sparring Partner,8
MAGE,Corrupted Seer,8
PRIEST,Wobbling Runts,8
DRUID,Stonetusk Boar,8
WARLOCK,Faerie Dragon,8
PRIEST,Kabal Lackey,8
WARLOCK,Violet Illusionist,8
PRIEST,Murloc Raider,8
WARRIOR,Don Han'Cho,8
DRUID,Chromaggus,8
PALADIN,Blood Knight,8
HUNTER,Dirty Rat,8
PRIEST,Bomb Squad,8
MAGE,Big Game Hunter,8
SHAMAN,Harvest Golem,8
ROGUE,Cutpurse,8
DRUID,Wind-up Burglebot,8
ROGUE,Tuskarr Totemic,8
PRIEST,Lightspawn,8
ROGUE,Master of Disguise,8
WARLOCK,Murloc Tidecaller,8
WARLOCK,Questing Adventurer,8
WARLOCK,Water Elemental,8
WARRIOR,Mad Bomber,8
PRIEST,Shadow Strike,8
PRIEST,Flame Juggler,8
MAGE,Jade Lightning,8
SHAMAN,Crazed Alchemist,8
HUNTER,Dart Trap,8
MAGE,Dalaran Aspirant,8
PRIEST,Lava Shock,8
PRIEST,Bladed Cultist,8
HUNTER,Refreshment Vendor,8
DRUID,Kill Command,8
SHAMAN,Jade Behemoth,8
DRUID,Arcane Blast,8
DRUID,Twilight Summoner,7
DRUID,Dread Infernal,7
HUNTER,Deathwing,7
PRIEST,Stonetusk Boar,7
ROGUE,Kobold Geomancer,7
WARLOCK,Kabal Songstealer,7
SHAMAN,Master Jouster,7
WARRIOR,Faceless Destroyer,7
WARLOCK,Soggoth the Slitherer,7
DRUID,Drain Life,7
WARLOCK,Huge Toad,7
DRUID,Wisp,7
WARLOCK,Jade Spirit,7
ROGUE,Pit Snake,7
ROGUE,Dust Devil,7
SHAMAN,Sergeant Sally,7
SHAMAN,Archmage,7
PRIEST,Lightwell,7
DRUID,Forgotten Torch,7
HUNTER,Small-Time Buccaneer,7
WARLOCK,Jade Golem,7
ROGUE,Crazed Worshipper,7
PALADIN,Revenge,7
DRUID,Volcanic Lumberer,7
ROGUE,Sea Reaver,7
DRUID,Kidnapper,7
SHAMAN,Beckoner of Evil,7
HUNTER,Defender of Argus,7
WARRIOR,Sunwalker,7
PALADIN,Wolfrider,7
ROGUE,Kidnapper,7
ROGUE,Red Mana Wyrm,7
WARRIOR,Volcanic Potion,7
WARLOCK,Ysera,7
SHAMAN,Lord of the Arena,7
DRUID,Elise Starseeker,7
ROGUE,Consecration,7
HUNTER,Mastiff,7
HUNTER,Wolfrider,7
MAGE,Twilight Whelp,7
PRIEST,Felguard,7
PALADIN,Powershot,7
ROGUE,Kazakus Potion,7
PRIEST,Squirming Tentacle,7
DRUID,Virmen Sensei,7
ROGUE,Pawn,7
MAGE,Dark Peddler,7
SHAMAN,Frigid Snobold,7
MAGE,Fallen Hero,7
WARLOCK,Tomb Pillager,7
PRIEST,Bloodhoof Brave,7
WARLOCK,Arcane Explosion,7
PRIEST,Anomalus,7
PRIEST,Soulfire,7
DRUID,Argent Commander,7
WARLOCK,Fearsome Doomguard,7
PRIEST,Jade Chieftain,7
DRUID,Stormcrack,7
PRIEST,Dragon's Breath,7
HUNTER,Acolyte of Pain,7
PRIEST,Fire Elemental,7
MAGE,Alexstrasza's Champion,7
WARRIOR,Searing Totem,7
PALADIN,Damaged Golem,7
ROGUE,Don Han'Cho,7
PALADIN,Stormwind Knight,7
WARRIOR,Forked Lightning,7
SHAMAN,Wrathion,7
WARRIOR,"Genzo, the Shark",7
MAGE,Recruiter,7
DRUID,Skeram Cultist,7
PALADIN,C'Thun,7
PRIEST,Cruel Taskmaster,7
DRUID,Shadow Strike,7
HUNTER,Second-Rate Bruiser,7
DRUID,Faceless Destroyer,6
MAGE,Explosive Trap,6
HUNTER,Ram Wrangler,6
SHAMAN,Imp Gang Boss,6
MAGE,Aya Blackpaw,6
WARLOCK,Slime,6
PALADIN,Lorewalker Cho,6
WARLOCK,Searing Totem,6
PRIEST,Corrupted Healbot,6
DRUID,Ravaging Ghoul,6
DRUID,Ivory Knight,6
DRUID,Wolfrider,6
HUNTER,Cult Master,6
HUNTER,Tomb Spider,6
PRIEST,Kabal Demon,6
PALADIN,Soggoth the Slitherer,6
