predator_class,predator_name,num_patches_killed
PRIEST,Twilight Drake,953
MAGE,Fireblast,951
HUNTER,Hound,950
SHAMAN,Brann Bronzebeard,940
WARLOCK,Disciple of C'Thun,928
WARLOCK,Faceless Shambler,903
MAGE,Twilight Flamecaller,897
PRIEST,Patches the Pirate,897
MAGE,Second-Rate Bruiser,890
WARLOCK,Mountain Giant,874
SHAMAN,Stoneclaw Totem,865
WARLOCK,Emperor Thaurissan,858
WARLOCK,Mind Control Tech,855
DRUID,Brann Bronzebeard,835
PRIEST,Kazakus Potion,825
DRUID,Aya Blackpaw,808
PRIEST,Southsea Deckhand,792
WARRIOR,Acidic Swamp Ooze,785
DRUID,Jade Golem,779
PALADIN,Aldor Peacekeeper,766
PRIEST,Chillmaw,765
PRIEST,Kazakus,762
MAGE,Kazakus Potion,757
MAGE,Manic Soulcaster,748
ROGUE,Undercity Huckster,739
WARLOCK,Imp,721
WARLOCK,Voidwalker,717
PRIEST,Backstab,715
WARRIOR,Cruel Taskmaster,704
MAGE,Fireball,702
PRIEST,Priest of the Feast,701
WARLOCK,Lord Jaraxxus,699
ROGUE,Dark Iron Skulker,684
WARLOCK,Kabal Courier,682
PALADIN,Murloc Warleader,656
ROGUE,Gadgetzan Auctioneer,656
ROGUE,Shadow Strike,644
WARRIOR,Bluegill Warrior,638
HUNTER,Arcane Shot,637
SHAMAN,Deathwing,630
PRIEST,Lightning Storm,621
WARRIOR,Azure Drake,610
PRIEST,Defender of Argus,608
SHAMAN,Jade Golem,606
PALADIN,Lady Liadrin,600
SHAMAN,Fire Elemental,594
MAGE,Emperor Thaurissan,585
DRUID,Dark Arakkoa,583
PRIEST,Maelstrom Portal,582
ROGUE,Argent Squire,571
WARRIOR,Grommash Hellscream,570
MAGE,Sorcerer's Apprentice,566
PRIEST,Dirty Rat,565
WARLOCK,Flame Imp,555
DRUID,C'Thun,552
MAGE,Babbling Book,541
ROGUE,Lightning Storm,528
PRIEST,Kabal Courier,527
DRUID,Gadgetzan Auctioneer,519
PALADIN,Silver Hand Recruit,504
WARRIOR,Faerie Dragon,495
WARRIOR,The Curator,491
MAGE,Medivh's Valet,483
PALADIN,Wickerflame Burnbristle,472
MAGE,Mind Control Tech,472
