player_class,card_name,times_played,wins,win_pc
ROGUE,Frost Shock,1901,836,0.4397685429
SHAMAN,Fireguard Destroyer,1899,870,0.458135861
DRUID,Acolyte of Pain,1898,814,0.4288724974
ROGUE,Perdition's Blade,1895,852,0.4496042216
ROGUE,Earth Shock,1892,834,0.4408033827
WARLOCK,Barnes,1884,918,0.4872611465
PRIEST,Kor'kron Elite,1882,1268,0.6737513284
WARRIOR,Public Defender,1879,530,28.21%
ROGUE,Tunnel Trogg,1877,859,0.4576451785
PALADIN,Emperor Thaurissan,1873,941,0.5024025627
HUNTER,Lesser Heal,1868,794,0.4250535332
ROGUE,Shadow Sensei,1867,930,0.4981253348
WARLOCK,Flame Juggler,1866,768,0.4115755627
WARLOCK,Dreadsteed,1863,946,0.5077831455
ROGUE,Devolve,1859,739,0.3975255514
ROGUE,Cairne Bloodhoof,1855,898,0.484097035
ROGUE,Flametongue Totem,1855,1010,0.5444743935
DRUID,Zoobot,1848,952,0.5151515152
PALADIN,Harrison Jones,1847,919,0.4975636167
WARLOCK,Zealous Initiate,1847,923,0.4997292907
PRIEST,Raven Idol,1845,862,0.4672086721
ROGUE,Arcane Missiles,1837,891,0.4850299401
ROGUE,Stormforged Axe,1836,784,0.4270152505
DRUID,Novice Engineer,1834,842,0.4591057797
WARLOCK,Lowly Squire,1833,954,0.5204582651
ROGUE,Lava Shock,1830,792,0.4327868852
PALADIN,Psych-o-Tron,1827,685,0.3749315818
PRIEST,Twilight Darkmender,1824,772,0.423245614
ROGUE,Ancestral Healing,1822,804,0.441273326
ROGUE,Fireguard Destroyer,1820,907,0.4983516484
MAGE,Abyssal Enforcer,1819,1127,0.619571193
ROGUE,Dust Devil,1814,697,0.3842337376
WARLOCK,Bilefin Tidehunter,1813,701,0.3866519581
ROGUE,Fire Elemental,1812,967,0.5336644592
WARRIOR,Soggoth the Slitherer,1811,845,46.66%
WARLOCK,Leper Gnome,1811,932,0.5146327996
PRIEST,C'Thun,1805,1062,0.588365651
PRIEST,Embrace the Shadow,1804,910,0.5044345898
DRUID,Wisps of the Old Gods,1802,1082,0.6004439512
PALADIN,Leeroy Jenkins,1794,1111,0.6192865106
WARLOCK,Tentacle of N'Zoth,1793,740,0.4127161182
HUNTER,Argent Squire,1791,722,0.4031267448
PRIEST,Sap,1787,871,0.4874090655
ROGUE,Tuskarr Totemic,1777,763,0.4293753517
ROGUE,Burgly Bully,1776,861,0.4847972973
WARLOCK,Armor Up!,1772,621,0.3504514673
SHAMAN,Murloc Tinyfin,1767,738,0.4176570458
PALADIN,Jeweled Scarab,1761,681,0.3867120954
WARLOCK,Prince Malchezaar,1756,836,0.4760820046
ROGUE,Rockbiter Weapon,1753,854,0.4871648602
PRIEST,Murloc Warleader,1749,859,0.491137793
SHAMAN,Eternal Sentinel,1747,737,0.4218660561
MAGE,Ysera,1746,1063,0.6088201604
ROGUE,Mana Tide Totem,1745,841,0.4819484241
PALADIN,Earthen Ring Farseer,1739,699,0.4019551466
WARLOCK,Runic Egg,1735,871,0.5020172911
ROGUE,Doomhammer,1732,911,0.5259815242
ROGUE,Spirit Claws,1730,807,0.4664739884
WARLOCK,Excavated Evil,1729,761,0.4401388086
PRIEST,Thing from Below,1727,802,0.4643891141
ROGUE,Assassin's Blade,1724,788,0.4570765661
PRIEST,Arcane Blast,1716,925,0.539044289
HUNTER,Carrion Grub,1713,682,0.3981319323
WARRIOR,Blackwing Technician,1712,778,45.44%
MAGE,Felfire Potion,1709,896,0.5242832066
WARRIOR,Don Han'Cho,1709,770,45.06%
ROGUE,Lightning Jolt,1707,721,0.4223784417
ROGUE,Charged Hammer,1706,779,0.4566236811
HUNTER,Stranglethorn Tiger,1705,745,0.4369501466
PALADIN,Mysterious Challenger,1697,893,0.526222746
SHAMAN,Coldlight Seer,1696,741,0.4369103774
PALADIN,Eadric the Pure,1693,730,0.4311872416
MAGE,Beckoner of Evil,1685,673,0.3994065282
WARRIOR,Reno Jackson,1680,807,48.04%
PRIEST,Manic Soulcaster,1677,1025,0.6112104949
PRIEST,Dark Peddler,1673,726,0.4339509863
MAGE,Dragonfire Potion,1670,827,0.4952095808
WARLOCK,Fireblast,1665,693,0.4162162162
PRIEST,Totem Golem,1663,975,0.5862898376
PALADIN,Holy Light,1661,691,0.4160144491
ROGUE,Lotus Illusionist,1660,787,0.4740963855
PRIEST,Auctionmaster Beardo,1656,886,0.5350241546
MAGE,Blastcrystal Potion,1653,813,0.4918330309
WARRIOR,Emerald Drake,1650,1022,61.94%
ROGUE,Windfury,1649,1067,0.6470588235
PRIEST,Arcane Intellect,1648,972,0.5898058252
ROGUE,Eternal Sentinel,1648,704,0.427184466
PALADIN,Sword of Justice,1642,633,0.3855054811
ROGUE,Evolve,1635,686,0.4195718654
WARRIOR,Twilight Summoner,1634,810,49.57%
ROGUE,Elemental Destruction,1632,510,0.3125
PRIEST,Cold Blood,1629,1138,0.6985880909
ROGUE,Rumbling Elemental,1618,738,0.456118665
ROGUE,Wicked Witchdoctor,1611,780,0.4841713222
WARRIOR,Ysera Awakens,1609,1112,69.11%
MAGE,Voidwalker,1604,845,0.52680798
ROGUE,Unbound Elemental,1604,701,0.437032419
ROGUE,The Mistcaller,1599,746,0.4665415885
