"player_class","card_name","times_played","wins"
"WARLOCK","Reno Jackson",41894,26413
"WARLOCK","Hellfire",41139,21628
"SHAMAN","Flamewreathed Faceless",40709,19507
"WARLOCK","Emperor Thaurissan",40191,24873
"MAGE","Blizzard",40024,18334
"WARRIOR","Naga Corsair",39660,21028
"WARLOCK","Dire Wolf Alpha",39182,19795
"WARRIOR","Life Tap",38634,18812
"WARLOCK","Doomguard",38633,19788
"WARRIOR","Fierce Monkey",38315,17640
"MAGE","Flamestrike",38203,18612
"PRIEST","Dragonfire Potion",37851,16863
"WARLOCK","Siphon Soul",37792,19986
"ROGUE","Bluegill Warrior",37619,19860
"PALADIN","Truesilver Champion",37412,18374
"PRIEST","Book Wyrm",37204,19935
"WARLOCK","INFERNO!",36773,25983
"WARRIOR","Fireblast",36658,16437
"WARLOCK","Abyssal Enforcer",36541,21840
"ROGUE","Bloodmage Thalnos",36259,17768
"WARRIOR","Twilight Guardian",35959,17275
"WARLOCK","Demonwrath",35460,17716
"MAGE","Acolyte of Pain",34855,17353
"WARLOCK","Knife Juggler",34783,16608
"SHAMAN","Spirit Claws",34219,16050
"PRIEST","Potion of Madness",34215,17360
"MAGE","Mirror Image",34081,16220
"ROGUE","Shaku, the Collector",33907,17040
"WARRIOR","Ravaging Ghoul",33449,15410
"WARRIOR","Patches the Pirate",32492,11531
"MAGE","Frost Nova",32098,14827
"WARRIOR","Leeroy Jenkins",32072,20248
"WARRIOR","Blackwing Corruptor",31956,16514
"MAGE","Kazakus",31881,17197
"ROGUE","Shadow Strike",31671,14733
"PALADIN","Reinforce",30480,13625
"ROGUE","Murloc Warleader",30265,15946
"ROGUE","Small-Time Buccaneer",30226,14097
"WARLOCK","Blastcrystal Potion",30070,15131
"ROGUE","Argent Horserider",29852,14942
"MAGE","Emperor Thaurissan",29741,16584
"MAGE","Volcanic Potion",29493,13499
"ROGUE","Leeroy Jenkins",29321,20647
"ROGUE","Shiv",29145,14627
"SHAMAN","Lava Burst",28728,14631
"WARRIOR","Slam",28648,12633
"DRUID","Bloodmage Thalnos",28567,15169
"WARRIOR","Armor Up!",28322,10630
"PALADIN","Aldor Peacekeeper",28294,12668
