opponent_class,avg_damage_soaked,avg_damage_output,win_rate
PRIEST,8.898464596,1.259700221,33.09
MAGE,8.839285714,1.361413043,41.01
DRUID,17.60271453,1.759979017,44.44
WARLOCK,14.27003357,1.19435119,44.55
PALADIN,16.62939099,1.771524735,47.65
ROGUE,15.41240852,1.561427369,49.1
WARRIOR,13.2947716,1.001756937,53
SHAMAN,13.98600734,2.981861369,60.3
HUNTER,14.85022706,2.188929826,66.59
