opponent_class,avg_damage_soaked,avg_damage_output,avg_atk_of_spikeridged_target,avg_health_of_spikeridged_target,win_rate
PRIEST,10.10147138,11.29719131,2.221209277,2.918035259,40.77
WARLOCK,12.15772061,9.166430356,2.304368375,3.03126055,47.53
MAGE,9.334456994,9.417584709,2.247506516,2.942276281,53.05
DRUID,12.8125761,11.37547421,2.307434596,3.06597034,55.06
SHAMAN,11.37974245,9.145694982,2.140728764,2.81884853,56.59
ROGUE,10.36585366,8.323335531,2.072923533,2.829268293,56.64
PALADIN,13.36388335,9.751358415,2.403518124,3.071583328,58.09
HUNTER,12.06786448,9.312936345,2.145482546,2.829466119,68.69
WARRIOR,11.4391999,8.185976785,2.031224568,2.75889836,70.72
