game_date,game_type,dbf_id,card_name,card_included_in_games_qdklw,wins,win_rate,total_games_for_card
2017-08-11,2,41099,Jungle Giants,2782,1287,46.26,2782
2017-08-11,2,41168,Open the Waygate,16547,7672,46.36,16538
2017-08-11,2,41222,The Caverns Below,749,342,45.66,749
2017-08-11,2,41368,The Marsh Queen,2083,754,36.19,2083
2017-08-11,2,41427,Fire Plume's Heart,13504,6918,51.22,13500
2017-08-11,2,41494,Awaken the Makers,25351,12488,49.26,25310
2017-08-11,2,41499,Unite the Murlocs,2319,1223,52.73,2319
2017-08-11,2,41856,Lakkari Sacrifice,6186,2472,39.96,6186
2017-08-11,2,41868,The Last Kaleidosaur,986,372,37.72,986
2017-08-11,2,42987,"Thrall, Deathseer",77772,43628,56.09,77594
2017-08-11,2,43392,Valeera the Hollow,39030,18331,46.96,38988
2017-08-11,2,43398,Deathstalker Rexxar,72020,36593,50.8,71864
2017-08-11,2,43406,Uther of the Ebon Blade,73412,40847,55.64,73230
2017-08-11,2,43408,Shadowreaper Anduin,112808,62555,55.45,112395
2017-08-11,2,43415,Bloodreaver Gul'dan,133719,69074,51.65,133193
2017-08-11,2,43417,Malfurion the Pestilent,89235,51866,58.12,88889
2017-08-11,2,43419,Frost Lich Jaina,70175,34743,49.5,70022
2017-08-11,2,43423,Scourgelord Garrosh,33115,14766,44.59,33086
2017-08-12,2,41099,Jungle Giants,2677,1231,45.98,2677
2017-08-12,2,41168,Open the Waygate,25966,12147,46.78,25939
2017-08-12,2,41222,The Caverns Below,935,417,44.59,935
2017-08-12,2,41368,The Marsh Queen,1508,555,36.8,1507
2017-08-12,2,41427,Fire Plume's Heart,16219,8284,51.07,16212
2017-08-12,2,41494,Awaken the Makers,24813,12082,48.69,24779
2017-08-12,2,41499,Unite the Murlocs,2623,1273,48.53,2622
2017-08-12,2,41856,Lakkari Sacrifice,4446,1802,40.53,4446
2017-08-12,2,41868,The Last Kaleidosaur,841,349,41.49,841
2017-08-12,2,42987,"Thrall, Deathseer",72497,39936,55.08,72324
2017-08-12,2,43392,Valeera the Hollow,41919,19811,47.26,41879
2017-08-12,2,43398,Deathstalker Rexxar,70309,35728,50.81,70175
2017-08-12,2,43406,Uther of the Ebon Blade,60335,32357,53.62,60215
2017-08-12,2,43408,Shadowreaper Anduin,135616,73553,54.23,135041
2017-08-12,2,43415,Bloodreaver Gul'dan,128649,65718,51.08,128166
2017-08-12,2,43417,Malfurion the Pestilent,139463,79720,57.16,138580
2017-08-12,2,43419,Frost Lich Jaina,66802,32806,49.1,66676
2017-08-12,2,43423,Scourgelord Garrosh,34363,15484,45.06,34333
2017-08-13,2,41099,Jungle Giants,2505,1179,47.06,2505
2017-08-13,2,41168,Open the Waygate,35497,16644,46.88,35435
2017-08-13,2,41222,The Caverns Below,1126,504,44.76,1126
2017-08-13,2,41368,The Marsh Queen,1372,514,37.46,1372
2017-08-13,2,41427,Fire Plume's Heart,15255,7711,50.54,15251
2017-08-13,2,41494,Awaken the Makers,21548,10174,47.21,21531
2017-08-13,2,41499,Unite the Murlocs,2216,1090,49.18,2216
2017-08-13,2,41856,Lakkari Sacrifice,3390,1388,40.94,3389
2017-08-13,2,41868,The Last Kaleidosaur,769,288,37.45,769
2017-08-13,2,42987,"Thrall, Deathseer",71138,39382,55.36,70977
2017-08-13,2,43392,Valeera the Hollow,43469,20811,47.87,43421
2017-08-13,2,43398,Deathstalker Rexxar,63942,32306,50.52,63848
2017-08-13,2,43406,Uther of the Ebon Blade,55398,29410,53.08,55305
2017-08-13,2,43408,Shadowreaper Anduin,155035,83378,53.78,154188
2017-08-13,2,43415,Bloodreaver Gul'dan,120101,60973,50.76,119640
2017-08-13,2,43417,Malfurion the Pestilent,154684,88233,57.04,153670
2017-08-13,2,43419,Frost Lich Jaina,64753,31310,48.35,64633
2017-08-13,2,43423,Scourgelord Garrosh,29442,13112,44.53,29417
2017-08-14,2,41099,Jungle Giants,2610,1190,45.59,2610
2017-08-14,2,41168,Open the Waygate,38047,17544,46.11,37988
2017-08-14,2,41222,The Caverns Below,997,432,43.32,997
2017-08-14,2,41368,The Marsh Queen,1277,493,38.6,1277
2017-08-14,2,41427,Fire Plume's Heart,13466,6686,49.65,13463
2017-08-14,2,41494,Awaken the Makers,16488,7758,47.05,16468
2017-08-14,2,41499,Unite the Murlocs,2227,1111,49.88,2227
2017-08-14,2,41856,Lakkari Sacrifice,2503,1037,41.43,2503
2017-08-14,2,41868,The Last Kaleidosaur,633,264,41.7,633
2017-08-14,2,42987,"Thrall, Deathseer",60211,33145,55.04,60101
2017-08-14,2,43392,Valeera the Hollow,39234,18493,47.13,39185
2017-08-14,2,43398,Deathstalker Rexxar,53141,26901,50.62,53069
2017-08-14,2,43406,Uther of the Ebon Blade,44774,23468,52.41,44730
2017-08-14,2,43408,Shadowreaper Anduin,139799,74117,53.01,139115
2017-08-14,2,43415,Bloodreaver Gul'dan,100147,50911,50.83,99855
