deck_games_qdklw,wins,game_date,game_type,f_card_name,dbf_id,total_games
38710,22222,2017-12-09,2,Val'anyr,46263,16454921
1032,461,2017-12-10,2,The Runespear,46305,6006460
85,40,2017-12-10,2,Unite the Murlocs,41499,6006460
60221,32315,2017-12-07,2,Bloodreaver Gul'dan,43415,9753137
744,340,2017-12-07,2,Jungle Giants,41099,9753137
3156,1538,2017-12-07,2,Awaken the Makers,41494,9753137
2414,1312,2017-12-07,30,Frost Lich Jaina,43419,1113621
646,328,2017-12-07,30,Kingsbane,47035,1113621
969,543,2017-12-08,30,Val'anyr,46263,1003286
18232,10643,2017-12-10,2,Val'anyr,46263,6006460
45126,24170,2017-12-07,2,Malfurion the Pestilent,43417,9753137
4264,2195,2017-12-07,2,Skull of the Man'ari,46299,9753137
115,57,2017-12-07,30,Dragon Soul,45528,1113621
13845,5625,2017-12-08,2,Open the Waygate,41168,13790106
7217,3713,2017-12-08,2,Uther of the Ebon Blade,43406,13790106
12200,6396,2017-12-08,2,Twig of the World Tree,46107,13790106
177,78,2017-12-08,30,Fire Plume's Heart,41427,1003286
482,282,2017-12-10,30,Val'anyr,46263,436295
102,58,2017-12-10,30,The Runespear,46305,436295
109,46,2017-12-10,30,The Last Kaleidosaur,41868,436295
56,28,2017-12-08,30,The Marsh Queen,41368,1003286
75096,40652,2017-12-07,2,Shadowreaper Anduin,43408,9753137
201,126,2017-12-07,30,Skull of the Man'ari,46299,1113621
243,122,2017-12-08,2,Unite the Murlocs,41499,13790106
1970,1102,2017-12-08,30,Aluneth,43426,1003286
79440,46029,2017-12-09,2,Rhok'delar,43369,16454921
2433,1288,2017-12-09,30,Malfurion the Pestilent,43417,1222740
1651,955,2017-12-09,30,Skull of the Man'ari,46299,1222740
6205,2990,2017-12-10,2,Scourgelord Garrosh,43423,6006460
5118,2939,2017-12-08,30,Shadowreaper Anduin,43408,1003286
43242,21314,2017-12-09,2,Frost Lich Jaina,43419,16454921
1007,486,2017-12-10,30,Valeera the Hollow,43392,436295
2363,1138,2017-12-07,2,Val'anyr,46263,9753137
207,124,2017-12-07,30,Rhok'delar,43369,1113621
4499,1957,2017-12-08,2,The Last Kaleidosaur,41868,13790106
28391,16181,2017-12-08,2,Val'anyr,46263,13790106
3422,1575,2017-12-08,2,The Runespear,46305,13790106
3062,1360,2017-12-08,30,Valeera the Hollow,43392,1003286
1658,842,2017-12-09,30,Awaken the Makers,41494,1222740
213,94,2017-12-10,30,Open the Waygate,41168,436295
314,172,2017-12-10,30,Uther of the Ebon Blade,43406,436295
