games_won,games_played,went_first,card_played,player_class
1,2,TRUE,Shieldbearer,ROGUE
1,2,TRUE,Young Priestess,PRIEST
1,2,TRUE,Clockwork Gnome,PRIEST
1,2,TRUE,Tournament Attendee,PRIEST
0,2,TRUE,Small-Time Buccaneer,PALADIN
1,1,TRUE,Voodoo Doctor,SHAMAN
1,1,TRUE,Redemption,PALADIN
1,1,TRUE,Secretkeeper,MAGE
1,1,TRUE,Murloc Raider,PRIEST
1,1,TRUE,Murloc Raider,WARLOCK
0,1,TRUE,Abusive Sergeant,MAGE
0,1,TRUE,Elven Archer,PRIEST
1,1,TRUE,Argent Squire,ROGUE
1,1,TRUE,Goldshire Footman,WARLOCK
1,1,TRUE,Young Priestess,SHAMAN
0,1,TRUE,Lightwarden,WARLOCK
0,1,TRUE,Grove Tender,DRUID
1,1,TRUE,Dragon Egg,PRIEST
0,1,TRUE,Lowly Squire,ROGUE
1,1,TRUE,Tournament Attendee,SHAMAN
1,1,TRUE,Brave Archer,HUNTER
1,1,TRUE,Competitive Spirit,PALADIN
0,1,TRUE,Tentacle of N'Zoth,WARLOCK
1,1,TRUE,Zealous Initiate,PALADIN
1,1,TRUE,Potion of Polymorph,MAGE
1,1,TRUE,Voodoo Doctor,WARRIOR
1,1,TRUE,Secretkeeper,PALADIN
0,1,TRUE,Wisp,PALADIN
1,1,TRUE,Grimscale Oracle,PRIEST
0,1,TRUE,Young Dragonhawk,WARLOCK
0,1,TRUE,Duplicate,MAGE
0,1,TRUE,Clockwork Gnome,SHAMAN
1,1,TRUE,Clockwork Gnome,HUNTER
0,1,TRUE,Dragon Egg,WARLOCK
0,1,TRUE,Gadgetzan Jouster,DRUID
0,1,TRUE,Tentacle of N'Zoth,PRIEST
0,1,TRUE,Jade Idol,DRUID
1,1,TRUE,Jade Blossom,DRUID
1,1,TRUE,Weasel Tunneler,WARLOCK
1,1,TRUE,Voodoo Doctor,PRIEST
1,1,TRUE,Repentance,PALADIN
0,1,TRUE,Elven Archer,MAGE
1,1,TRUE,Grimscale Oracle,MAGE
1,1,TRUE,Stonetusk Boar,MAGE
1,1,TRUE,Stonetusk Boar,SHAMAN
1,1,TRUE,Southsea Deckhand,HUNTER
0,1,TRUE,Cogmaster,DRUID
0,1,TRUE,Dragon Egg,HUNTER
1,1,TRUE,Gadgetzan Jouster,HUNTER
0,1,TRUE,Mounted Raptor,DRUID
1,1,TRUE,Zealous Initiate,MAGE
0,1,TRUE,Arcane Anomaly,SHAMAN
1,1,TRUE,Weasel Tunneler,WARRIOR
1,1,TRUE,Small-Time Buccaneer,SHAMAN
1,1,TRUE,Voodoo Doctor,HUNTER
0,1,TRUE,Secretkeeper,SHAMAN
1,1,TRUE,Elven Archer,HUNTER
0,1,TRUE,Leper Gnome,SHAMAN
1,1,TRUE,Southsea Deckhand,MAGE
1,1,TRUE,Southsea Deckhand,PALADIN
1,1,TRUE,Southsea Deckhand,SHAMAN
1,1,TRUE,Clockwork Gnome,WARRIOR
0,1,TRUE,Dragon Egg,PALADIN
1,1,TRUE,Lowly Squire,HUNTER
1,1,TRUE,Sacred Trial,PALADIN
0,1,TRUE,Arcane Anomaly,PRIEST
0,1,TRUE,Runic Egg,ROGUE
1,1,TRUE,Small-Time Buccaneer,HUNTER
