games_won,games_played,went_first,card_played,player_class
22,40,TRUE,Voodoo Doctor,MAGE
4,7,TRUE,Secretkeeper,PRIEST
3,4,TRUE,Murloc Raider,WARRIOR
1,5,TRUE,Murloc Raider,HUNTER
3,7,TRUE,Murloc Raider,SHAMAN
2,2,TRUE,Ice Block,MAGE
3,8,TRUE,Abusive Sergeant,WARLOCK
115,184,TRUE,Light's Justice,PALADIN
7,20,TRUE,Elven Archer,SHAMAN
7,14,TRUE,Elven Archer,ROGUE
16,34,TRUE,Elven Archer,MAGE
17,29,TRUE,Elven Archer,WARLOCK
9,12,TRUE,Elven Archer,HUNTER
7,16,TRUE,Elven Archer,PALADIN
134,187,TRUE,Blood Imp,WARLOCK
1,2,TRUE,Grimscale Oracle,WARRIOR
74,115,TRUE,Noble Sacrifice,PALADIN
1,2,TRUE,Young Dragonhawk,SHAMAN
5,9,TRUE,Leper Gnome,PALADIN
2,10,TRUE,Leper Gnome,DRUID
3,5,TRUE,Leper Gnome,SHAMAN
39,63,TRUE,Southsea Deckhand,ROGUE
19,32,TRUE,Southsea Deckhand,PALADIN
10,16,TRUE,Southsea Deckhand,SHAMAN
12,15,TRUE,Southsea Deckhand,HUNTER
143,191,TRUE,Argent Squire,WARLOCK
160,234,TRUE,Argent Squire,MAGE
15,23,TRUE,Argent Squire,WARRIOR
102,154,TRUE,Argent Squire,PALADIN
1,6,TRUE,Shieldbearer,MAGE
7,11,TRUE,Goldshire Footman,ROGUE
1,3,TRUE,Goldshire Footman,WARRIOR
149,209,TRUE,Worgen Infiltrator,WARLOCK
71,96,TRUE,Worgen Infiltrator,SHAMAN
45,68,TRUE,Worgen Infiltrator,HUNTER
87,137,TRUE,Worgen Infiltrator,PALADIN
61,129,TRUE,Mind Vision,PRIEST
15,21,TRUE,Young Priestess,ROGUE
14,21,TRUE,Young Priestess,HUNTER
49,75,TRUE,Young Priestess,WARLOCK
20,31,TRUE,Young Priestess,PALADIN
14,26,TRUE,Young Priestess,PRIEST
334,518,TRUE,Northshire Cleric,PRIEST
56,83,TRUE,Zombie Chow,HUNTER
48,71,TRUE,Zombie Chow,WARRIOR
46,74,TRUE,Zombie Chow,DRUID
11,14,TRUE,Undertaker,HUNTER
3,8,TRUE,Undertaker,PRIEST
12,16,TRUE,Cogmaster,SHAMAN
18,28,TRUE,Cogmaster,PALADIN
28,51,TRUE,Cogmaster,MAGE
64,103,TRUE,Clockwork Gnome,PALADIN
59,95,TRUE,Clockwork Gnome,PRIEST
111,172,TRUE,Clockwork Gnome,MAGE
18,33,TRUE,Clockwork Gnome,WARRIOR
18,29,TRUE,Clockwork Gnome,DRUID
96,155,TRUE,Twilight Whelp,PRIEST
63,86,TRUE,Lowly Squire,WARLOCK
14,24,TRUE,Lowly Squire,HUNTER
29,49,TRUE,Lowly Squire,SHAMAN
13,21,TRUE,Tournament Attendee,ROGUE
6,13,TRUE,Tournament Attendee,PRIEST
23,37,TRUE,Tournament Attendee,MAGE
12,20,TRUE,Injured Kvaldir,WARLOCK
23,34,TRUE,Injured Kvaldir,PRIEST
107,160,TRUE,Living Roots,DRUID
31,50,TRUE,Gadgetzan Jouster,HUNTER
41,66,TRUE,Gadgetzan Jouster,PRIEST
90,150,TRUE,Gadgetzan Jouster,MAGE
97,139,TRUE,Pit Snake,ROGUE
5,8,TRUE,Murloc Tinyfin,WARLOCK
1,2,TRUE,Murloc Tinyfin,DRUID
4,7,TRUE,Cursed Blade,WARRIOR
32,66,TRUE,Bladed Cultist,ROGUE
1,4,TRUE,Tentacle of N'Zoth,SHAMAN
26,39,TRUE,Zealous Initiate,WARLOCK
19,38,TRUE,Zealous Initiate,MAGE
18,22,TRUE,Zealous Initiate,SHAMAN
121,183,TRUE,Fiery Bat,HUNTER
84,131,TRUE,Selfless Hero,PALADIN
321,501,TRUE,Babbling Book,MAGE
24,42,TRUE,Arcane Anomaly,WARLOCK
34,56,TRUE,Arcane Anomaly,MAGE
17,29,TRUE,Arcane Anomaly,ROGUE
5,8,TRUE,Arcane Anomaly,DRUID
20,33,TRUE,Arcane Anomaly,PRIEST
15,26,TRUE,Arcane Anomaly,HUNTER
16,25,TRUE,Arcane Anomaly,SHAMAN
15,28,TRUE,Arcane Anomaly,PALADIN
309,485,TRUE,Swashburglar,ROGUE
193,279,TRUE,Malchezaar's Imp,WARLOCK
172,272,TRUE,Kabal Lackey,MAGE
431,649,TRUE,Smuggler's Run,PALADIN
283,439,TRUE,Alleycat,HUNTER
51,86,TRUE,Grimscale Chum,PALADIN
19,37,TRUE,Getaway Kodo,PALADIN
18,36,TRUE,Small-Time Buccaneer,PALADIN
9,14,TRUE,Small-Time Buccaneer,WARLOCK
36,54,TRUE,Small-Time Buccaneer,SHAMAN
1,2,TRUE,Small-Time Buccaneer,MAGE
16,27,TRUE,Small-Time Buccaneer,HUNTER
18,34,TRUE,Small-Time Buccaneer,WARRIOR
37,62,TRUE,Smuggler's Crate,HUNTER
470,639,TRUE,Mistress of Mixtures,WARLOCK
45,86,TRUE,Mistress of Mixtures,WARRIOR
405,623,TRUE,Mistress of Mixtures,MAGE
223,333,TRUE,Mistress of Mixtures,ROGUE
200,310,TRUE,Mistress of Mixtures,PRIEST
78,108,TRUE,Mistress of Mixtures,DRUID
219,343,TRUE,Mistress of Mixtures,PALADIN
1,2,TRUE,Counterspell,MAGE
1,7,TRUE,Voodoo Doctor,HUNTER
5,11,TRUE,Voodoo Doctor,PRIEST
1,1,TRUE,Secretkeeper,WARRIOR
0,1,TRUE,Wisp,PRIEST
2,3,TRUE,Wisp,WARLOCK
1,1,TRUE,Wisp,ROGUE
11,15,TRUE,Mirror Entity,MAGE
0,1,TRUE,Defias Ringleader,ROGUE
5,8,TRUE,Repentance,PALADIN
3,6,TRUE,Abusive Sergeant,SHAMAN
1,3,TRUE,Abusive Sergeant,WARRIOR
2,5,TRUE,Abusive Sergeant,HUNTER
1,1,TRUE,Wolfrider,DRUID
0,1,TRUE,Shadowstep,ROGUE
2,6,TRUE,Elven Archer,WARRIOR
4,6,TRUE,Murloc Tidecaller,PALADIN
2,2,TRUE,Murloc Tidecaller,HUNTER
0,3,TRUE,Ice Barrier,MAGE
5,10,TRUE,Young Dragonhawk,PALADIN
2,4,TRUE,Young Dragonhawk,PRIEST
1,3,TRUE,Stonetusk Boar,PRIEST
4,8,TRUE,Stonetusk Boar,ROGUE
1,1,TRUE,Stonetusk Boar,DRUID
1,6,TRUE,Stonetusk Boar,SHAMAN
6,10,TRUE,Stonetusk Boar,MAGE
