games_won,games_played,went_first,card_played,player_class
21,35,TRUE,Undertaker,PALADIN
139,200,TRUE,Clockwork Gnome,ROGUE
62,97,TRUE,Clockwork Gnome,HUNTER
32,55,TRUE,Dragon Egg,MAGE
40,55,TRUE,Dragon Egg,WARLOCK
122,184,TRUE,Lowly Squire,PALADIN
163,261,TRUE,Lowly Squire,MAGE
11,19,TRUE,Tournament Attendee,WARRIOR
54,82,TRUE,Tournament Attendee,WARLOCK
13,20,TRUE,Injured Kvaldir,ROGUE
554,831,TRUE,Buccaneer,ROGUE
48,81,TRUE,Gadgetzan Jouster,DRUID
176,340,TRUE,Raven Idol,DRUID
3,7,TRUE,Tentacle of N'Zoth,DRUID
19,28,TRUE,Tentacle of N'Zoth,WARLOCK
28,46,TRUE,Zealous Initiate,ROGUE
252,383,TRUE,N'Zoth's First Mate,WARRIOR
259,416,TRUE,Enchanted Raven,DRUID
10,13,TRUE,Jade Blossom,DRUID
100,154,TRUE,Mistress of Mixtures,HUNTER
3,8,TRUE,Voodoo Doctor,WARRIOR
19,29,TRUE,Voodoo Doctor,ROGUE
7,16,TRUE,Murloc Raider,PRIEST
20,28,TRUE,Murloc Raider,PALADIN
7,13,TRUE,Abusive Sergeant,ROGUE
0,1,TRUE,Hungry Crab,PRIEST
3,8,TRUE,Murloc Tidecaller,PRIEST
2,5,TRUE,Young Dragonhawk,WARLOCK
6,13,TRUE,Stonetusk Boar,WARLOCK
21,35,TRUE,Southsea Deckhand,WARRIOR
2,4,TRUE,Shieldbearer,HUNTER
23,34,TRUE,Goldshire Footman,WARLOCK
145,220,TRUE,Worgen Infiltrator,ROGUE
23,38,TRUE,Bloodsail Corsair,MAGE
4,8,TRUE,Bloodsail Corsair,DRUID
62,97,TRUE,Young Priestess,MAGE
12,21,TRUE,Young Priestess,WARRIOR
16,28,TRUE,Lightwarden,WARLOCK
20,29,TRUE,Cogmaster,PRIEST
24,34,TRUE,Cogmaster,ROGUE
0,1,TRUE,Target Dummy,DRUID
