avg_attack,average_health,player_class,turn
3.849,4.5102,MAGE,47
2.5357,3.2386,PALADIN,44
4.2857,2.8235,SHAMAN,67
3.0793,3.3084,SHAMAN,24
1.9804,2.7624,WARLOCK,7
4.0177,4.6119,WARLOCK,31
2.1886,2.5998,SHAMAN,11
2.9019,3.6802,PALADIN,26
14.5342,14.6164,DRUID,62
1.7198,2.1829,WARLOCK,4
3.8786,4.4942,MAGE,44
4.3191,6.6458,WARRIOR,62
4.6666,5.2,WARLOCK,55
2.7089,3.5444,PALADIN,15
2.476,3.2956,WARLOCK,9
2.0106,2.3167,SHAMAN,62
3.8672,3.9286,ROGUE,15
3.4995,4.9881,PRIEST,30
2.3404,2.6168,DRUID,7
2.8748,2.8838,SHAMAN,54
3.5907,3.5114,HUNTER,48
5,8.6,PRIEST,71
12.5,12.5,PRIEST,81
5,5,ROGUE,77
5.1051,5.693,DRUID,25
3.8534,4.3033,MAGE,38
3.1117,3.0663,HUNTER,31
4.0542,4.632,MAGE,54
3.0333,4.9243,PRIEST,14
2.5986,3.3076,MAGE,16
2.8253,4.457,WARRIOR,13
2.5377,3.7953,WARRIOR,9
2.9014,3.0803,SHAMAN,40
2.6489,3.0019,DRUID,9
3.1187,3.3346,SHAMAN,23
3.1144,3.2977,SHAMAN,19
4.3921,4.8559,WARLOCK,40
3.2358,5.9764,WARRIOR,29
4.4895,4.9249,WARLOCK,44
9.4521,9.895,DRUID,51
2.9934,3.8216,PALADIN,18
3.4483,4.8888,PRIEST,32
3.5377,6.1658,WARRIOR,44
2.4252,2.8158,PALADIN,55
4.7272,5,ROGUE,57
3.47,3.3946,HUNTER,43
4.75,6.25,ROGUE,58
3.3864,5.2356,PRIEST,18
1.9038,2.222,DRUID,5
2.8023,4.3543,WARRIOR,12
3.0338,3.2742,SHAMAN,26
4.2081,4.7606,DRUID,19
3.8677,4.3601,MAGE,39
2.6392,3.3864,PALADIN,36
3.6815,4.7875,PRIEST,54
4.279,4.8729,WARLOCK,50
4.5,4.2,HUNTER,62
3.0762,3.305,SHAMAN,25
2.9179,2.9962,SHAMAN,52
4.2669,4.3375,ROGUE,34
2.3881,2.7436,PALADIN,59
5.6655,6.2684,DRUID,29
1.7213,2.0939,WARLOCK,2
3.9569,4.5759,WARLOCK,30
3.9645,4.6653,MAGE,52
2.7937,3.6733,WARLOCK,11
3.1227,3.0771,HUNTER,29
4.138,4.2732,ROGUE,37
2.4459,2.8873,PALADIN,54
2,2,SHAMAN,65
3,4,ROGUE,64
3.0957,5.8196,WARRIOR,21
2.996,3.2352,SHAMAN,28
2.9892,2.9765,HUNTER,15
3.4769,4.945,PRIEST,31
1.3129,1.6431,DRUID,2
9.1457,9.6129,DRUID,47
4,4.3011,ROGUE,49
3.1958,4.2115,PRIEST,65
3.2222,5.5,WARRIOR,64
3.0011,3.8095,PALADIN,21
3.0289,3.2074,SHAMAN,17
3.2188,3.7083,MAGE,24
3.5861,4.7561,PRIEST,51
3.4017,3.3284,HUNTER,49
20.25,20.25,DRUID,83
4.6666,4.4444,HUNTER,61
3,4,ROGUE,63
3,4,ROGUE,62
3.1512,4.0266,WARLOCK,16
1.7403,2.2697,SHAMAN,7
3.0989,3.1189,HUNTER,22
3.4498,6.129,WARRIOR,42
3.877,4.6153,MAGE,53
1.6325,3.0097,PRIEST,4
3.1476,3.3441,SHAMAN,21
2.8463,2.8122,HUNTER,12
8.3766,8.8896,DRUID,45
3.9446,5.0716,MAGE,56
14.1392,14.2531,DRUID,60
3.1428,3.4285,MAGE,63
14.8771,14.9122,DRUID,65
2.8677,4.7192,WARRIOR,14
2.9123,3.0842,SHAMAN,39
3.3539,4.3721,PRIEST,62
3.0894,4.9582,PRIEST,15
2.2832,2.9741,PALADIN,9
2.3695,3.0236,MAGE,13
13.1264,13.4022,DRUID,58
20.4375,20.4375,DRUID,77
3.3189,5.1771,PRIEST,17
1.8417,2.626,WARRIOR,5
3.0778,3.4768,DRUID,12
3.3749,4.1783,WARLOCK,20
4.5886,4.5516,ROGUE,24
3.6618,6.2267,WARRIOR,46
2.5588,3.2562,PALADIN,43
3.0174,3.8477,PALADIN,17
2.2012,3.3287,WARRIOR,7
1.6399,1.9822,DRUID,4
2.9389,3.04,SHAMAN,51
3.7017,4.72,PRIEST,57
4.4545,4.8996,WARLOCK,43
11.539,11.6643,DRUID,55
2.9523,5.2857,WARRIOR,65
20,20,DRUID,74
15.1951,15.317,DRUID,68
2.1478,2.8379,PALADIN,8
2.6699,3.5198,WARLOCK,10
1.3104,1.927,PALADIN,3
2.5991,3.3275,PALADIN,39
4.2761,6.0699,WARRIOR,58
4.4657,4.7368,ROGUE,52
2.2523,2.9484,MAGE,11
3.069,3.2474,SHAMAN,18
4.6918,5.2664,DRUID,22
3.3609,3.6932,MAGE,28
1.2381,1.6899,SHAMAN,4
2.2023,2.8518,MAGE,10
1.9968,2.2006,ROGUE,7
3.9181,4.5492,WARLOCK,29
2.9197,3.0833,SHAMAN,41
4.2804,4.3415,ROGUE,33
4.2873,4.7979,WARLOCK,37
2.5091,3.098,PALADIN,50
3.3867,3.3557,HUNTER,42
19.9545,19.9545,DRUID,73
12,12,PRIEST,79
3.1156,3.3271,SHAMAN,22
1.3336,1.4553,ROGUE,4
3.8567,4.5052,MAGE,51
4.4444,3.8888,HUNTER,59
5,5,ROGUE,68
4.5548,5.1198,DRUID,21
4.5439,4.5129,ROGUE,26
4.193,6.2034,WARRIOR,54
3.0821,3.8717,PRIEST,66
3.5463,5.083,PRIEST,28
6.8696,7.4388,DRUID,36
4.0439,4.2687,ROGUE,42
2.4131,2.5486,SHAMAN,58
2.3799,3.0567,PALADIN,11
3.2053,5.9484,WARRIOR,27
4.8358,5.4118,DRUID,23
2.8485,3.621,PALADIN,28
3.1055,3.0821,HUNTER,26
3.8129,6.3008,WARRIOR,48
1.441,1.853,SHAMAN,5
3.2123,4.0789,PRIEST,64
2.003,2.7236,PALADIN,7
3.6362,3.9925,MAGE,33
1.1715,1.0099,WARRIOR,2
3.0762,3.0344,HUNTER,34
13,13,PRIEST,84
4.4565,3.826,HUNTER,55
5,5,ROGUE,70
1.853,2.5151,PALADIN,6
2.6649,4.0669,WARRIOR,10
3.0529,5.7309,WARRIOR,20
3.2879,6.0201,WARRIOR,34
6.6708,7.2402,DRUID,35
2.8902,2.9727,SHAMAN,53
2.6121,3.3399,PALADIN,38
9.8439,10.1371,DRUID,50
4.5,4.2,HUNTER,60
2.9306,3.0442,SHAMAN,49
4,5.125,WARRIOR,70
2.9122,4.8322,PRIEST,12
3.4664,3.9584,DRUID,15
1.6282,2.1789,MAGE,4
1.2248,1.0838,HUNTER,3
4.6052,6.3968,WARRIOR,56
3.7066,3.418,HUNTER,50
19.4166,19.4166,DRUID,72
5,10.5,WARLOCK,57
2.7848,3.009,SHAMAN,15
