n_games,num_turns,player_class
19304,28,WARLOCK
149712,28,WARRIOR
19408,29,DRUID
20943,29,HUNTER
100903,29,MAGE
40475,29,PALADIN
55153,29,PRIEST
30629,29,ROGUE
55160,29,SHAMAN
15327,29,WARLOCK
129038,29,WARRIOR
16246,30,DRUID
15357,30,HUNTER
84890,30,MAGE
35217,30,PALADIN
48882,30,PRIEST
22568,30,ROGUE
47935,30,SHAMAN
12669,30,WARLOCK
108058,30,WARRIOR
12716,31,DRUID
10508,31,HUNTER
68048,31,MAGE
30424,31,PALADIN
42323,31,PRIEST
15597,31,ROGUE
40530,31,SHAMAN
9746,31,WARLOCK
89502,31,WARRIOR
10279,32,DRUID
7626,32,HUNTER
56187,32,MAGE
26607,32,PALADIN
38077,32,PRIEST
10921,32,ROGUE
34431,32,SHAMAN
7932,32,WARLOCK
73406,32,WARRIOR
7871,33,DRUID
5130,33,HUNTER
43366,33,MAGE
22409,33,PALADIN
32154,33,PRIEST
7450,33,ROGUE
28811,33,SHAMAN
6024,33,WARLOCK
59021,33,WARRIOR
6386,34,DRUID
3782,34,HUNTER
34415,34,MAGE
19239,34,PALADIN
28907,34,PRIEST
5358,34,ROGUE
24575,34,SHAMAN
4861,34,WARLOCK
47675,34,WARRIOR
4659,35,DRUID
2547,35,HUNTER
26233,35,MAGE
16373,35,PALADIN
24461,35,PRIEST
3499,35,ROGUE
20207,35,SHAMAN
3890,35,WARLOCK
38135,35,WARRIOR
3756,36,DRUID
1850,36,HUNTER
20827,36,MAGE
14323,36,PALADIN
22122,36,PRIEST
2501,36,ROGUE
17318,36,SHAMAN
3213,36,WARLOCK
31598,36,WARRIOR
2715,37,DRUID
1342,37,HUNTER
15608,37,MAGE
12098,37,PALADIN
19184,37,PRIEST
1636,37,ROGUE
14212,37,SHAMAN
2512,37,WARLOCK
25083,37,WARRIOR
2090,38,DRUID
977,38,HUNTER
12585,38,MAGE
10360,38,PALADIN
17368,38,PRIEST
1223,38,ROGUE
12174,38,SHAMAN
1973,38,WARLOCK
21004,38,WARRIOR
1487,39,DRUID
703,39,HUNTER
9392,39,MAGE
9059,39,PALADIN
15065,39,PRIEST
823,39,ROGUE
10219,39,SHAMAN
1484,39,WARLOCK
17090,39,WARRIOR
1138,40,DRUID
588,40,HUNTER
7576,40,MAGE
7948,40,PALADIN
13874,40,PRIEST
548,40,ROGUE
8867,40,SHAMAN
1213,40,WARLOCK
14654,40,WARRIOR
837,41,DRUID
388,41,HUNTER
5880,41,MAGE
6821,41,PALADIN
12335,41,PRIEST
386,41,ROGUE
7424,41,SHAMAN
897,41,WARLOCK
12114,41,WARRIOR
568,42,DRUID
319,42,HUNTER
4691,42,MAGE
6198,42,PALADIN
11409,42,PRIEST
301,42,ROGUE
6454,42,SHAMAN
652,42,WARLOCK
10220,42,WARRIOR
405,43,DRUID
218,43,HUNTER
3534,43,MAGE
5325,43,PALADIN
9966,43,PRIEST
194,43,ROGUE
5469,43,SHAMAN
495,43,WARLOCK
8646,43,WARRIOR
307,44,DRUID
172,44,HUNTER
2847,44,MAGE
4837,44,PALADIN
9194,44,PRIEST
124,44,ROGUE
4559,44,SHAMAN
344,44,WARLOCK
7412,44,WARRIOR
177,45,DRUID
133,45,HUNTER
2072,45,MAGE
4259,45,PALADIN
7937,45,PRIEST
82,45,ROGUE
3913,45,SHAMAN
263,45,WARLOCK
6308,45,WARRIOR
141,46,DRUID
110,46,HUNTER
1674,46,MAGE
3728,46,PALADIN
7138,46,PRIEST
65,46,ROGUE
3496,46,SHAMAN
164,46,WARLOCK
5458,46,WARRIOR
100,47,DRUID
73,47,HUNTER
1310,47,MAGE
3060,47,PALADIN
6083,47,PRIEST
66,47,ROGUE
2874,47,SHAMAN
120,47,WARLOCK
4272,47,WARRIOR
68,48,DRUID
58,48,HUNTER
1011,48,MAGE
2782,48,PALADIN
5396,48,PRIEST
38,48,ROGUE
2410,48,SHAMAN
90,48,WARLOCK
3711,48,WARRIOR
44,49,DRUID
52,49,HUNTER
764,49,MAGE
2305,49,PALADIN
4543,49,PRIEST
30,49,ROGUE
2005,49,SHAMAN
53,49,WARLOCK
2756,49,WARRIOR
36,50,DRUID
25,50,HUNTER
578,50,MAGE
1882,50,PALADIN
3781,50,PRIEST
16,50,ROGUE
1601,50,SHAMAN
40,50,WARLOCK
2245,50,WARRIOR
26,51,DRUID
34,51,HUNTER
461,51,MAGE
1445,51,PALADIN
2983,51,PRIEST
6,51,ROGUE
1364,51,SHAMAN
20,51,WARLOCK
1743,51,WARRIOR
15,52,DRUID
