n_games,num_turns,player_class
38501,28,MAGE
16649,28,PALADIN
56034,28,PRIEST
13594,28,ROGUE
55057,28,SHAMAN
39945,28,WARLOCK
16307,28,WARRIOR
1,28,NEUTRAL
36072,29,DRUID
3259,29,HUNTER
32908,29,MAGE
13761,29,PALADIN
48616,29,PRIEST
10095,29,ROGUE
46009,29,SHAMAN
35463,29,WARLOCK
13567,29,WARRIOR
28922,30,DRUID
2530,30,HUNTER
29456,30,MAGE
12004,30,PALADIN
42064,30,PRIEST
7450,30,ROGUE
39516,30,SHAMAN
31048,30,WARLOCK
11330,30,WARRIOR
22409,31,DRUID
1916,31,HUNTER
24508,31,MAGE
9861,31,PALADIN
35988,31,PRIEST
5500,31,ROGUE
32878,31,SHAMAN
27678,31,WARLOCK
9608,31,WARRIOR
17597,32,DRUID
1375,32,HUNTER
21852,32,MAGE
8706,32,PALADIN
31566,32,PRIEST
4263,32,ROGUE
27826,32,SHAMAN
24147,32,WARLOCK
8202,32,WARRIOR
13346,33,DRUID
1061,33,HUNTER
18531,33,MAGE
7304,33,PALADIN
26970,33,PRIEST
3171,33,ROGUE
23128,33,SHAMAN
21384,33,WARLOCK
7071,33,WARRIOR
10347,34,DRUID
814,34,HUNTER
16802,34,MAGE
6205,34,PALADIN
23452,34,PRIEST
2384,34,ROGUE
19617,34,SHAMAN
18866,34,WARLOCK
6245,34,WARRIOR
7727,35,DRUID
608,35,HUNTER
14139,35,MAGE
5172,35,PALADIN
19849,35,PRIEST
1856,35,ROGUE
16381,35,SHAMAN
16417,35,WARLOCK
5377,35,WARRIOR
5944,36,DRUID
514,36,HUNTER
12713,36,MAGE
4534,36,PALADIN
17472,36,PRIEST
1485,36,ROGUE
14066,36,SHAMAN
14304,36,WARLOCK
4910,36,WARRIOR
4580,37,DRUID
399,37,HUNTER
11130,37,MAGE
3692,37,PALADIN
15169,37,PRIEST
1153,37,ROGUE
11727,37,SHAMAN
12372,37,WARLOCK
4198,37,WARRIOR
3480,38,DRUID
332,38,HUNTER
10004,38,MAGE
3195,38,PALADIN
13419,38,PRIEST
925,38,ROGUE
10267,38,SHAMAN
10979,38,WARLOCK
3862,38,WARRIOR
1,38,NEUTRAL
2541,39,DRUID
248,39,HUNTER
8728,39,MAGE
2718,39,PALADIN
11458,39,PRIEST
707,39,ROGUE
8651,39,SHAMAN
9619,39,WARLOCK
3446,39,WARRIOR
1980,40,DRUID
171,40,HUNTER
7906,40,MAGE
2438,40,PALADIN
10343,40,PRIEST
610,40,ROGUE
7453,40,SHAMAN
8212,40,WARLOCK
3187,40,WARRIOR
1474,41,DRUID
154,41,HUNTER
7135,41,MAGE
2014,41,PALADIN
9083,41,PRIEST
448,41,ROGUE
6220,41,SHAMAN
7163,41,WARLOCK
2987,41,WARRIOR
1103,42,DRUID
128,42,HUNTER
6642,42,MAGE
1720,42,PALADIN
8230,42,PRIEST
390,42,ROGUE
5523,42,SHAMAN
6121,42,WARLOCK
2799,42,WARRIOR
