avg_attack,average_health,player_class,turn
3.1336,3.864,MAGE,15
1.4411,1.6054,WARRIOR,4
3.2506,3.4573,PALADIN,23
3.2642,3.0909,ROGUE,11
4.2043,4.5706,MAGE,43
6.7184,7.1601,DRUID,34
3.7942,3.9234,ROGUE,28
4.9025,5.4819,WARRIOR,55
3.1996,2.9388,SHAMAN,60
1,1,HUNTER,64
3.5717,4.5364,MAGE,35
15.4515,4.7268,MAGE,50
3.1231,3.2485,HUNTER,46
3.8699,4.0744,ROGUE,40
5.1666,5.25,WARRIOR,80
3.15,3.6307,HUNTER,56
2.6666,2,HUNTER,63
4.0882,5.0799,WARRIOR,26
3.1631,4.1994,WARLOCK,13
4.1737,5.4936,PRIEST,70
3.7992,3.8987,ROGUE,27
8.174,8.5225,DRUID,40
8.9866,9.2966,DRUID,44
4.2277,5.206,WARRIOR,41
3.5875,3.4415,SHAMAN,30
3.706,4.7974,WARLOCK,23
3.2582,3.4989,PALADIN,20
5.0597,5.596,WARRIOR,59
1.834,3.7062,PRIEST,6
2.749,2.805,SHAMAN,15
1.3598,2.0419,MAGE,3
4.5632,4.7157,ROGUE,56
2,1,NEUTRAL,7
14.887,14.9677,DRUID,64
9,9,PRIEST,82
3.0447,3.2318,HUNTER,43
4.1111,4.6341,ROGUE,58
3.6415,3.4718,SHAMAN,31
3.2284,3.4494,PALADIN,22
1.4934,3.1207,PRIEST,3
3.8399,4.9164,WARLOCK,28
3.8427,4.0311,ROGUE,35
3.2877,3.5306,HUNTER,52
1.5,1.6363,PALADIN,67
4.8103,5.4961,WARRIOR,68
3.909,4.1928,ROGUE,54
2.5597,2.568,HUNTER,9
3.8557,5.0577,MAGE,60
4.5561,5.821,PRIEST,72
,2,SHAMAN,73
2.2,1.8,NEUTRAL,15
14.5844,14.6623,DRUID,63
2.9675,2.9529,HUNTER,13
1.1775,1.4378,WARRIOR,3
3.8019,3.9694,ROGUE,30
4.2328,5.1891,WARLOCK,61
3.6174,4.9243,MAGE,66
3.7722,4.8648,WARLOCK,25
3.8584,3.7951,ROGUE,21
3.0912,3.24,HUNTER,33
4.5223,5.6888,PRIEST,73
3.759,3.5869,ROGUE,17
1.4377,1.712,PALADIN,4
2.0727,2.3272,PALADIN,65
1.5769,1.6666,PALADIN,68
3.526,5.2069,PRIEST,22
4.1922,4.8192,DRUID,20
3.7445,4.8393,WARLOCK,24
2.7052,3.2601,DRUID,10
3.2091,3.5363,PALADIN,19
3.1927,3.214,PALADIN,37
3.5834,5.243,PRIEST,28
7.1843,7.5807,DRUID,36
3.3018,2.9745,SHAMAN,58
3.8705,4.0789,ROGUE,42
3.4835,3.3992,SHAMAN,27
10.494,10.8625,DRUID,52
17.7948,17.8974,DRUID,67
2.5064,3.6558,WARLOCK,8
8.2668,4.6671,MAGE,48
3.0692,3.3824,PALADIN,16
4.8434,5.4517,WARRIOR,53
3.9987,3.6105,SHAMAN,47
3.6456,5.2533,PRIEST,36
4.7714,5.3686,DRUID,24
5.3181,6.2272,WARRIOR,77
4.2645,5.2884,PRIEST,42
1.9941,2.5218,MAGE,6
4.078,5.1855,WARRIOR,35
1,1,HUNTER,65
16.3953,16.4418,DRUID,66
4.0538,5.1639,WARRIOR,31
1.9948,2.9051,WARLOCK,5
8.6078,8.9041,DRUID,42
19.7586,19.6551,DRUID,84
2.6774,2.7401,SHAMAN,14
3.5008,4.526,WARLOCK,18
5.7743,5.34,PRIEST,46
3.5824,4.5246,MAGE,31
2.503,2.4973,HUNTER,8
3.0493,3.2142,HUNTER,39
3.6299,4.9127,MAGE,65
11.4878,11.7427,DRUID,56
5.3703,6.4814,PRIEST,77
20.2413,20.1379,DRUID,86
3.1901,4.8903,PRIEST,16
3.7808,4.4366,DRUID,17
3.2123,3.5361,WARRIOR,15
3.6737,4.7578,WARLOCK,22
2.3078,3.1273,MAGE,8
3.6215,4.3027,WARRIOR,19
3.7122,5.2491,PRIEST,38
3.9635,3.5607,SHAMAN,48
7.3904,7.7683,DRUID,37
3.5852,4.3801,MAGE,22
4.0926,3.705,SHAMAN,43
4.496,5.1857,WARLOCK,51
3.9871,4.2319,ROGUE,44
3.6864,5.0642,MAGE,67
3.8132,3.9838,ROGUE,31
3.0696,3.23,HUNTER,41
3.0248,3.1774,HUNTER,40
4.8727,5.4795,WARRIOR,67
4.1071,4.7187,ROGUE,60
2,3,ROGUE,65
3.5156,4.5604,WARLOCK,19
2.1712,4.2252,PRIEST,8
4.0913,3.6937,SHAMAN,42
4.0426,5.163,WARRIOR,32
11.5,12.5,PRIEST,89
3.5531,5.2303,PRIEST,23
3.8374,3.8728,ROGUE,25
880.1647,4.9709,MAGE,58
3.6178,5.2619,PRIEST,35
17.9611,5.4331,PRIEST,50
2.9051,3.6225,MAGE,12
3.5443,4.1405,WARRIOR,18
1.7406,2.4392,WARLOCK,3
3.8092,3.951,ROGUE,29
4.9591,5.5253,WARRIOR,57
3.1231,3.2392,PALADIN,32
7.5849,4.6453,MAGE,47
1.1053,1.551,MAGE,2
3.1936,3.1999,PALADIN,44
3.0689,3.4576,SHAMAN,67
10,10,PRIEST,86
3.8,4.7272,WARLOCK,65
3.8414,5.3589,PRIEST,47
4.0823,4.9577,WARRIOR,23
2.8266,2.8658,SHAMAN,16
1.7944,2.0485,DRUID,6
4.3609,5.1603,WARLOCK,42
3.6045,4.4621,MAGE,25
7.6006,7.9592,DRUID,38
1.557,2.9564,PRIEST,2
2.3974,2.5276,PALADIN,61
19.8571,19.75,DRUID,82
4.6706,5.3685,WARRIOR,49
1.1295,1.4008,ROGUE,3
3.5855,5.2543,PRIEST,27
2.6703,2.7376,HUNTER,11
3.1835,3.316,HUNTER,24
3.5656,4.5269,MAGE,32
3.8074,4.5681,MAGE,41
2.6453,2.9517,PALADIN,12
2.8134,2.5968,ROGUE,8
3.8298,5.0274,MAGE,59
2.6606,2.7276,PALADIN,58
4.7272,5.3181,WARRIOR,78
17.3125,17.3437,DRUID,70
4.3196,5.2195,WARRIOR,43
2.5,2.6,SHAMAN,72
3.2614,3.2941,HUNTER,19
3.0461,3.1978,HUNTER,37
4.0577,5.1664,WARRIOR,33
3.9802,4.1616,ROGUE,48
4.2473,5.1695,WARLOCK,58
3.7058,5.8076,MAGE,72
3.5826,4.5312,MAGE,38
96.8485,4.8679,MAGE,54
4.9517,5.5356,DRUID,25
3.1084,3.2608,HUNTER,31
3.4,4.4545,WARLOCK,64
2.0677,2.2717,WARRIOR,6
1.9841,3.9774,PRIEST,7
3.1228,3.1867,HUNTER,17
1.8983,1.7487,ROGUE,5
6.5106,5.3457,PRIEST,45
6.5196,6.9825,DRUID,33
4.8684,5.7894,PRIEST,74
6.125,6.625,WARRIOR,82
2.0431,1.8448,HUNTER,5
4.1248,5.1851,WARRIOR,37
3.9964,4.2415,ROGUE,46
3.5778,5.2447,PRIEST,26
3.1877,3.1947,PALADIN,42
4.4622,4.6548,ROGUE,55
4.3365,5.9142,WARLOCK,60
2.4704,3.3558,MAGE,9
3.3442,5.0895,PRIEST,19
4.0062,5.0022,WARLOCK,34
3.1928,3.3888,PALADIN,25
8.7692,9.0981,DRUID,43
5.0543,6,WARRIOR,72
9.0845,5.3627,PRIEST,48
3.8465,3.7614,ROGUE,20
4.4679,5.0966,WARLOCK,53
3.7166,5.0406,MAGE,71
2.5,3,NEUTRAL,11
4.1938,5.2149,WARRIOR,40
5.9368,5.2467,WARLOCK,48
8.3134,8.6504,DRUID,41
12.696,12.864,DRUID,59
5.5,6.25,WARRIOR,81
4.0675,5.1607,WARRIOR,36
5.5091,5.2228,WARLOCK,47
3.8886,4.1161,ROGUE,41
3.9354,4.6176,ROGUE,59
5.4705,6.1176,PRIEST,78
11.4285,12.2857,PRIEST,88
,2,SHAMAN,76
4.0612,5.1038,WARRIOR,28
3.6136,5.2565,PRIEST,33
3.1118,3.2754,PALADIN,29
4,6,ROGUE,72
2.41,2.5791,SHAMAN,10
4.492,5.32,PRIEST,44
3.8158,5.0826,MAGE,64
2.8362,2.9595,PALADIN,51
4.4848,5.3714,WARLOCK,62
3.3277,4.3233,WARLOCK,15
3.2408,3.3045,HUNTER,20
3.0335,3.1722,HUNTER,35
1.0721,1.7543,SHAMAN,2
3.6347,4.2957,DRUID,16
4.0867,3.6761,SHAMAN,46
4.5227,5.2227,WARLOCK,52
4,6,MAGE,76
9,9,PRIEST,83
3.5613,3.4337,SHAMAN,29
3.9399,4.9712,WARLOCK,32
3.926,3.6044,SHAMAN,38
3.2339,3.3322,HUNTER,23
5.8753,6.3913,DRUID,30
4.1419,5.6007,PRIEST,55
3.8382,4.9823,MAGE,62
4.1947,5.5894,PRIEST,68
20.1666,20.0416,DRUID,88
20.2222,20.2222,DRUID,81
5.4622,6.013,DRUID,28
3.1842,3.8382,DRUID,13
3.9181,4.5616,DRUID,18
3.4421,5.1504,PRIEST,20
2.7285,4.5459,PRIEST,10
3.0148,3.1598,HUNTER,38
2.2886,2.188,HUNTER,6
12.345,12.6627,DRUID,57
3.3321,4.05,MAGE,17
3.4598,4.1712,MAGE,18
3.6032,4.5005,MAGE,27
4.1131,3.7084,SHAMAN,44
7.8254,8.1742,DRUID,39
5.8333,6.8333,PRIEST,80
1.6,2.1538,SHAMAN,71
1.4,1.4,HUNTER,66
18.1666,18.2777,DRUID,69
3.5834,3.3636,ROGUE,14
3.0024,3.1013,PALADIN,48
10.3542,10.6823,DRUID,53
9.946,5.3953,PRIEST,49
3.039,3.1257,PALADIN,49
2.6834,2.8182,PALADIN,56
2.7804,3.1136,HUNTER,58
20.3333,20.3333,DRUID,85
3.336,4.0055,DRUID,14
3.6728,3.482,SHAMAN,32
1.0375,1.2727,ROGUE,2
3.9758,4.2319,ROGUE,47
5.149,5.6472,WARRIOR,69
3.9473,3.2093,SHAMAN,68
4.3783,4.921,WARRIOR,76
1.8954,2.7496,WARLOCK,4
4.3044,4.5846,MAGE,44
4.8867,5.5447,WARRIOR,62
4.5045,5.1113,WARLOCK,55
4.6666,6,WARLOCK,68
4.4752,5.3143,WARRIOR,45
2.3505,2.7388,PALADIN,10
3.2677,3.3433,HUNTER,21
2.3737,4.4269,PRIEST,9
1.9534,2.4897,MAGE,5
3.8748,4.05,ROGUE,36
2.5278,2.687,WARRIOR,8
2.2979,2.5009,SHAMAN,9
3.9747,4.9889,WARLOCK,33
3.5901,4.5351,MAGE,37
3.0783,3.2469,HUNTER,32
3.0916,3.2099,HUNTER,44
4.75,4.2142,SHAMAN,69
3.6111,5.2545,PRIEST,34
4.2031,5.078,WARLOCK,39
3.6266,4.6233,MAGE,46
3.8268,3.7091,ROGUE,19
3.0632,2.8536,SHAMAN,61
2.7784,2.9457,PALADIN,53
5.5,6.258,WARRIOR,71
18.6129,18.7419,DRUID,71
3.0055,4.0955,WARLOCK,11
3.136,3.2925,HUNTER,29
3.9067,4.0973,ROGUE,37
2.7588,2.9048,PALADIN,54
3.5,3.25,SHAMAN,65
3.3333,3.3333,ROGUE,64
3.6257,4.6987,WARLOCK,21
4.1806,5.2124,WARRIOR,39
3.3243,3.0514,SHAMAN,55
720.3526,4.9698,MAGE,57
4.4655,5.1171,WARLOCK,54
3.7069,3.9015,ROGUE,51
1.682,3.4715,PRIEST,5
3.8487,4.5753,MAGE,42
3.0931,3.1152,PALADIN,46
2.1538,2.2371,PALADIN,63
19.0666,18.9666,DRUID,78
3.2473,3.2379,SHAMAN,22
1.4497,1.4565,ROGUE,4
3.6493,4.7779,MAGE,51
5.0317,5.8461,WARRIOR,73
3.4166,4.1153,HUNTER,59
3.1536,2.9641,ROGUE,10
3.1061,4.1547,WARLOCK,12
3.4514,4.4575,WARLOCK,17
3.7254,3.5321,ROGUE,16
4.0554,5.1391,WARRIOR,30
5.2029,4.6169,MAGE,45
3.8579,3.8466,ROGUE,23
3.7829,5.2591,PRIEST,39
3.1517,3.2301,PALADIN,34
6.2987,6.7843,DRUID,32
4.1712,5.645,PRIEST,69
,2,SHAMAN,75
2,1,NEUTRAL,3
2,1,NEUTRAL,8
4.0466,5.0261,WARLOCK,35
3.5537,4.3021,MAGE,20
4.149,5.0581,WARLOCK,38
18.7352,18.647,DRUID,80
3.4,4.4,WARLOCK,66
3.0111,3.1486,WARRIOR,12
3.4263,3.363,SHAMAN,26
4.0667,4.7074,DRUID,19
3.1578,3.1938,PALADIN,36
3.5362,4.5486,MAGE,39
4.4659,5.1606,WARLOCK,50
4.04,5.5304,PRIEST,54
2,2,NEUTRAL,6
2,2.0714,HUNTER,62
3.9102,3.5032,SHAMAN,49
5.16,5.8539,WARRIOR,70
3.0615,3.7828,MAGE,14
3.3868,3.7855,WARRIOR,16
2.5447,2.6386,SHAMAN,12
2.308,2.5181,WARRIOR,7
4.4629,5.1924,WARLOCK,43
1.4682,1.6428,DRUID,4
3.177,3.4873,PALADIN,17
4.3595,5.6725,PRIEST,57
3.7362,3.3409,SHAMAN,51
5.0665,5.7331,WARRIOR,65
11.498,11.8884,DRUID,55
5.175,5.425,WARRIOR,74
18.5641,18.5641,DRUID,68
18.75,18.6944,DRUID,74
3.0547,3.0705,SHAMAN,19
4.2454,5.1049,WARLOCK,40
4.5257,5.2147,WARLOCK,44
3.3233,3.3013,SHAMAN,23
4.0671,5.1272,WARRIOR,29
10.4625,10.681,DRUID,51
6.1666,6.8333,WARRIOR,83
3.2194,3.2333,HUNTER,18
3.0992,3.2539,PALADIN,30
1.7676,1.5406,HUNTER,4
4.7618,5.3711,WARRIOR,52
1.3789,1.6572,PALADIN,2
4.8441,5.2138,WARLOCK,46
2.9819,3.0719,PALADIN,47
4.1531,4.1889,ROGUE,53
5.0243,5.7152,WARRIOR,66
3,5,NEUTRAL,9
2.9871,4.7299,PRIEST,12
3.4917,4.1658,DRUID,15
1.731,2.3537,MAGE,4
1.4719,1.3519,HUNTER,3
4.9093,5.4966,WARRIOR,56
4.3652,5.1017,WARLOCK,57
3.3237,3.5096,HUNTER,50
17.5,17.5526,DRUID,72
9.6542,9.9378,DRUID,46
3.4375,4.647,MAGE,74
2.9775,2.997,HUNTER,14
2.9237,4.6547,PRIEST,11
2.4159,2.3721,HUNTER,7
3.5658,4.5427,MAGE,36
3.3782,2.9972,SHAMAN,57
2.1794,2.6829,PALADIN,66
3.3733,3.1697,ROGUE,12
3.9022,3.5969,SHAMAN,37
3.0567,3.1098,HUNTER,16
14.1423,4.6917,MAGE,49
3.4727,3.0043,SHAMAN,64
20.0625,20.0937,DRUID,75
3.5792,5.2519,PRIEST,25
2.2963,2.7172,DRUID,8
2.0349,2.9881,WARLOCK,6
2.6029,2.6763,SHAMAN,13
1.2069,1.3102,DRUID,3
1.1651,1.1797,HUNTER,2
2.8564,2.9448,PALADIN,52
21.1363,21.1363,DRUID,89
