n_games,num_turns,player_class
37241,28,WARLOCK
15260,28,WARRIOR
22340,29,DRUID
3238,29,HUNTER
39422,29,MAGE
10993,29,PALADIN
37779,29,PRIEST
8513,29,ROGUE
46290,29,SHAMAN
34073,29,WARLOCK
13082,29,WARRIOR
17784,30,DRUID
2556,30,HUNTER
35183,30,MAGE
9943,30,PALADIN
33405,30,PRIEST
6778,30,ROGUE
39024,30,SHAMAN
30236,30,WARLOCK
11423,30,WARRIOR
14293,31,DRUID
1930,31,HUNTER
31287,31,MAGE
8433,31,PALADIN
29166,31,PRIEST
4992,31,ROGUE
32839,31,SHAMAN
27723,31,WARLOCK
9885,31,WARRIOR
11829,32,DRUID
1632,32,HUNTER
28661,32,MAGE
7554,32,PALADIN
26057,32,PRIEST
3707,32,ROGUE
28470,32,SHAMAN
24773,32,WARLOCK
8859,32,WARRIOR
9353,33,DRUID
1256,33,HUNTER
24802,33,MAGE
6190,33,PALADIN
22741,33,PRIEST
2977,33,ROGUE
23717,33,SHAMAN
22176,33,WARLOCK
7636,33,WARRIOR
7327,34,DRUID
992,34,HUNTER
22905,34,MAGE
5707,34,PALADIN
20331,34,PRIEST
2247,34,ROGUE
20539,34,SHAMAN
20035,34,WARLOCK
7037,34,WARRIOR
5721,35,DRUID
771,35,HUNTER
20210,35,MAGE
4900,35,PALADIN
17529,35,PRIEST
1816,35,ROGUE
17371,35,SHAMAN
17897,35,WARLOCK
6121,35,WARRIOR
4566,36,DRUID
658,36,HUNTER
18718,36,MAGE
4226,36,PALADIN
16274,36,PRIEST
1423,36,ROGUE
15048,36,SHAMAN
16113,36,WARLOCK
5898,36,WARRIOR
3471,37,DRUID
554,37,HUNTER
16454,37,MAGE
3703,37,PALADIN
14242,37,PRIEST
1145,37,ROGUE
12833,37,SHAMAN
14655,37,WARLOCK
5215,37,WARRIOR
2903,38,DRUID
451,38,HUNTER
15775,38,MAGE
3223,38,PALADIN
13060,38,PRIEST
931,38,ROGUE
11538,38,SHAMAN
13252,38,WARLOCK
4961,38,WARRIOR
2188,39,DRUID
403,39,HUNTER
13721,39,MAGE
2804,39,PALADIN
11401,39,PRIEST
725,39,ROGUE
9753,39,SHAMAN
11618,39,WARLOCK
4305,39,WARRIOR
1726,40,DRUID
330,40,HUNTER
13206,40,MAGE
2542,40,PALADIN
10394,40,PRIEST
596,40,ROGUE
8681,40,SHAMAN
10273,40,WARLOCK
4294,40,WARRIOR
1346,41,DRUID
238,41,HUNTER
11795,41,MAGE
2127,41,PALADIN
9131,41,PRIEST
492,41,ROGUE
7183,41,SHAMAN
8935,41,WARLOCK
3875,41,WARRIOR
1001,42,DRUID
218,42,HUNTER
11445,42,MAGE
1937,42,PALADIN
8620,42,PRIEST
367,42,ROGUE
6581,42,SHAMAN
7905,42,WARLOCK
3894,42,WARRIOR
807,43,DRUID
136,43,HUNTER
10478,43,MAGE
1578,43,PALADIN
7568,43,PRIEST
